exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
4,3,5,0.9923915716156188,0.7692013643369626,0.9889396440562679,0.9082533021212944,0.6762096774193549
4,5,5,0.9932950790983547,0.7718244310510189,0.9900203504526001,0.8948839342307037,0.7241379310344828
4,12,5,0.9922125454933705,0.7395021321944568,0.990957746958221,0.9047598978521537,0.6835686777920411
4,28,5,0.9932863979089579,0.7173147289459187,0.9908113808752805,0.8931580259741806,0.5777777777777777
4,30,5,0.9920205854493593,0.6953942977551468,0.9895987294652153,0.9013980319028743,0.6885775862068966
4,36,5,0.9921501862501306,0.7442073047551773,0.9889350791427245,0.8806874750210463,0.6939799331103679
4,93,5,0.9920353906456683,0.6975710187554081,0.9893170165313895,0.8623812691578648,0.6399999999999999
4,96,5,0.991782749333764,0.7346657233421061,0.9877051591953621,0.9075492177720599,0.5853658536585366
4,110,5,0.9933468029647636,0.7584192153706837,0.9924602358126925,0.9056635956450878,0.6578947368421053
4,154,5,0.9940882384947286,0.7037355985310618,0.9919118146125341,0.922524193502857,0.6957070707070707
4,163,5,0.9918561281940139,0.7373161620181946,0.9899856367301071,0.9113215120578317,0.6785714285714286
4,181,5,0.9929949194745089,0.6950472028324775,0.9918756347574254,0.898500053644328,0.6956521739130435
4,189,5,0.9928633577313322,0.7448116547914466,0.9910472485980016,0.9177606628081768,0.6666666666666667
4,196,5,0.9889607429775861,0.6949614299074215,0.9838953270474079,0.9215901522632463,0.6830143540669856
4,201,5,0.993219235008827,0.6841280281246673,0.990804542333515,0.9428910603483438,0.7
4,204,5,0.9914459184581731,0.5679604644217139,0.986956917645193,0.8456113617635983,0.6229508196721312
4,211,5,0.9934624584491495,0.7513777849124648,0.9919748194487813,0.9512069178288717,0.7
6,3,5,0.9933183687443754,0.7269586368528945,0.9923801023621582,0.9063829405843292,0.75
6,5,5,0.9922615859350832,0.7590088046545573,0.9907898300651641,0.9165575149267381,0.75
6,12,5,0.9918134693688015,0.719679737802341,0.9895388883284961,0.8944130978233513,0.6666666666666667
6,28,5,0.9934269617269161,0.701186942493488,0.9905826479495748,0.9449356912236676,0.5827114427860696
6,30,5,0.991707573578543,0.7209503264731129,0.9904423528489581,0.9024058715327413,0.7692307692307693
6,36,5,0.9920025641769221,0.6777126874202203,0.990098544354169,0.9146519240985567,0.7071428571428571
6,93,5,0.9910896725950796,0.7126935354955842,0.9885697410133788,0.8966114864893444,0.6396103896103896
6,96,5,0.9912181768615166,0.7368866353183343,0.9898603453697797,0.8848043944766938,0.5557275541795665
6,110,5,0.9935284041540973,0.7456784336984025,0.9910996271512071,0.9376690309819274,0.6818181818181819
6,154,5,0.9938109943476782,0.7168271637438919,0.9930152942745197,0.9145261401881792,0.7
6,163,5,0.9911375812078406,0.7217173583644145,0.9880367884692963,0.9133848624877223,0.6666666666666666
6,181,5,0.9930163926362824,0.7869934206758309,0.9891281564168796,0.9226706037389859,0.6545092838196287
6,189,5,0.9929549917891836,0.7153805891426923,0.9912912717425072,0.9075686416402508,0.6609195402298851
6,196,5,0.9883526227951628,0.7390949739842314,0.9814578431863565,0.8558266718503476,0.7142857142857143
6,201,5,0.9936899321232046,0.6730296505451576,0.9916113499817346,0.8930914884845542,0.7083333333333334
6,204,5,0.9910536535565372,0.49596542247858855,0.9881082151661836,0.8891760963868356,0.75
6,211,5,0.9930696123200535,0.7703032910095053,0.9903287704236534,0.941969166951072,0.6896551724137931
16,3,5,0.9936470654081622,0.7109099894070475,0.9915807755443687,0.9340479259362298,0.6599999999999999
16,5,5,0.9940286149784981,0.7261919010233507,0.9912279009833073,0.9356247427132379,0.6785714285714286
16,12,5,0.9934448901078428,0.7011350204680871,0.9908064996626886,0.8898103776513069,0.6521739130434783
16,28,5,0.9933576870552361,0.6920865449792217,0.9903581587091249,0.9222105975052233,0.6399999999999999
16,30,5,0.9934947496330303,0.7097151976128488,0.9898403791417784,0.9492699781268709,0.657142857142857
16,36,5,0.9928239482176838,0.6570082589572058,0.9912472557382137,0.9513884174678068,0.657142857142857
16,93,5,0.993380338368737,0.6433529636076323,0.991415051211419,0.845419138193651,0.5941722972972973
16,96,5,0.9924779051180417,0.6755790943051261,0.9899651310034303,0.9221759582048353,0.5862068965517242
16,110,5,0.9940979310463355,0.6515224638940103,0.9911209659273063,0.93858435891105,0.6428571428571428
16,154,5,0.9936615219157414,0.6701580142137171,0.9919579161342015,0.9271971524423004,0.6726721938775511
16,163,5,0.9928668386878992,0.6315821744880801,0.9904420691159014,0.9105060030745444,0.6510869565217391
16,181,5,0.9938904695808284,0.6607288718925274,0.9910171245230024,0.9360771383722584,0.6414285714285713
16,189,5,0.99334908652823,0.6978083660716374,0.9912624346289418,0.9462602586701164,0.6515306122448979
