exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
1,3,2,high,none,0.11560568759653678,-0.10573616169101485,0.09355862554653782,0.0651086680949926,-0.12192690526295835
1,5,2,high,none,0.12478517453857874,-0.047115550592282895,0.11325354713986868,0.13670528484691014,-0.12821151226994776
1,12,2,high,none,0.1265663566020211,-0.09381346366901755,0.14473331897020236,0.12662949563723025,-0.17900320039893491
1,28,2,high,none,0.10822601264981946,-0.038461793388554155,0.11601025360429695,0.15081621414637247,-0.201717445845623
1,30,2,high,none,0.12193319440324735,-0.040367753793834615,0.1120297941339311,0.1878774191028315,-0.17850693426763942
1,36,2,high,none,0.10459310210467954,-0.08287178017370223,0.07827629812563308,0.11479766171536454,-0.152094516502854
1,38,2,high,none,0.12003921329647094,-0.07523429744679577,0.13815202400290938,0.0815588950238747,-0.1249166719274093
1,59,2,high,none,0.12457414591534632,-0.00239761975664754,0.12721965421496795,0.202443636209113,-0.1514028414319678
1,93,2,high,none,0.1069361513567626,0.04537946081034394,0.11549798285008661,0.08367257081969703,-0.18260906296058899
1,96,2,high,none,0.11527545576601772,-0.1064937600617325,0.09841270738807528,0.11681839648656323,-0.21661202644782562
1,106,2,high,none,0.10610185584010057,-0.06099321854925743,0.10201226167423649,0.14800796366698155,-0.12269776555679957
1,110,2,high,none,0.10937722464852373,-0.05023188942430501,0.09665502929632752,0.1330089321916652,-0.13074485148806503
1,116,2,high,none,0.11768883403200137,0.02949574776834951,0.12112313683609743,0.18791474784957596,-0.21716939945503788
1,141,2,high,none,0.12003847889248431,-0.03232449063010345,0.11269589297678706,0.1670624019877881,-0.22586224775088581
1,154,2,high,none,0.11926331428762582,-0.13364977582123372,0.1407783459069717,0.15716153134073463,-0.06888303797540096
1,163,2,high,none,0.11237084389707475,0.0014555599658664375,0.10257364759649001,0.11639636597330705,-0.1962381044014201
1,181,2,high,none,0.10903021991306605,-0.011712714276387648,0.11588094925294035,0.15080561635616507,-0.1565612290244156
1,189,2,high,none,0.11674657291039547,-0.06956691461160192,0.09801932752627907,0.11627134692104679,-0.21180166723401828
1,196,2,high,none,0.11448151131158901,-0.07968659706388204,0.14334454065883273,0.15286066573461643,-0.10374945629739352
1,201,2,high,none,0.1100464079573481,-0.03876738902098398,0.10742440232590322,0.09501450470892026,-0.1282577254195587
1,204,2,high,none,0.1517191623721803,-0.031991063378964846,0.13769024603785318,0.17069886725658,-0.11102617038315543
1,211,2,high,none,0.11119216601968218,-0.06925803003426778,0.11573003487024847,0.16180791472817935,-0.20982416058914666
1,216,2,high,none,0.09924144926257572,-0.09565420482129572,0.08049190898830738,0.17034349435399165,-0.1081822641686484
26,3,2,high,none,0.11874390702518667,-0.06279643296793902,0.11380443888218705,0.0672551293464122,-0.17480866495494296
26,5,2,high,none,0.10963989528399876,-0.023060911823493124,0.1088817450241435,0.12306765668598074,-0.2394417029029956
26,12,2,high,none,0.11314096766467285,0.011671355019447827,0.11736459728764537,0.11564465458769346,-0.19054067832952015
26,28,2,high,none,0.11299910007998426,0.003260223638521631,0.115009455157011,0.15424071754325575,-0.20957862496503166
