exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
3,5,2,none,none,0.11508533344803695,-0.09517548180817559,0.11187703496347845,0.10024570573251046,-0.1692599735512651
3,12,2,none,none,0.12496461139224424,-0.05484755366910421,0.1384533015241569,0.1991600806492324,-0.1898857464002741
3,28,2,none,none,0.12043932489195397,-0.07090746510463153,0.0970993128797566,0.040095898420778764,-0.14510252873320062
3,30,2,none,none,0.11925189342215026,-0.053292036586631286,0.10011895386402336,0.13642799491577207,-0.10485805671256176
3,36,2,none,none,0.11814787042958141,-0.04673736133547557,0.12346577633532119,0.1912881481564288,-0.1433201649368807
3,38,2,none,none,0.11053845100921766,-0.054166101125991295,0.10022980518434232,0.11690626677848859,-0.13836875841596163
3,59,2,none,none,0.10870356421927574,-0.04347340344168871,0.10836537804424273,0.1330724316518005,-0.1787477864691266
3,93,2,none,none,0.12747328496780175,-0.04954914161043156,0.12461231557658992,0.1842923474727407,-0.17132566379786296
3,96,2,none,none,0.11362368769929465,-0.0333717053832735,0.10808414884455808,0.11374051522025708,-0.23482776178361076
3,106,2,none,none,0.11773291502463956,-0.09716870921554588,0.11801117329253519,0.17239753439552696,-0.09657285917383518
3,110,2,none,none,0.126733664790453,-0.009913146749999657,0.11353609905866568,0.09486410153634406,-0.11100440211150586
3,116,2,none,none,0.10840496592967708,-0.05052338820763158,0.11605982590834418,0.11658633849371636,-0.204516284170415
3,141,2,none,none,0.11449269809350826,-0.051400272625724,0.11658555629128964,0.19460942686687877,-0.20309052240649894
3,154,2,none,none,0.11476927228844092,-0.05007607173819495,0.1452733070940193,0.161002661959466,-0.10050552070739371
3,163,2,none,none,0.11766970867104609,-0.007755057681464228,0.11286111529864429,0.13524125028339629,-0.17481035407743994
3,181,2,none,none,0.11280424078224582,-0.05327935841692577,0.1353874863090896,0.13410611182369692,-0.15085859078027763
3,189,2,none,none,0.13717811637688138,-0.08354373650161184,0.14197387999349498,0.20435342007083435,-0.18207456352627283
3,196,2,none,none,0.11412033475409744,-0.06593471828464192,0.13584430634367295,0.13045717003273727,-0.07800756302429523
3,201,2,none,none,0.11512156797372641,-0.07010913804933849,0.11389081754666186,0.15408049550306147,-0.08494366794536168
3,204,2,none,none,0.12071646438671413,0.011077112726203264,0.14267519063154366,0.11761998997568401,-0.07118216734874028
3,211,2,none,none,0.11658849288487227,0.01371653434310427,0.12423648027414125,0.09553624260694571,-0.19186533573519615
3,216,2,none,none,0.11642116762666721,-0.09494672289094142,0.10301129683008936,0.17993255626042348,-0.11358675003070995
5,3,2,none,none,0.10672981742014842,-0.0948094812380007,0.09777916098398132,0.10481413001234696,-0.16551649464295226
5,12,2,none,none,0.11883975613369857,0.007610300289393912,0.1158361416195457,0.10750718415435279,-0.19914829518727595
