exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
48,68,5,high,high,0.11353112981129732,-0.027098291153602627,0.10954084308042433,0.1402810232680285,-0.1532817793360437
48,69,5,high,high,0.12320321776951315,-0.01879498172596561,0.14165137597479815,0.169658545364461,-0.248817377507362
48,80,5,high,high,0.10495416496687116,-0.1267608138398849,0.12149253145607153,0.08916777391746022,-0.06696190441479088
48,82,5,high,high,0.12191821724729113,-0.01744500490898393,0.1464081048082282,0.13088718794636423,-0.26810315104028526
48,86,5,high,high,0.1088539479996049,-0.033674566077586454,0.11935531351833262,0.12393575818214198,-0.24823668212764738
48,87,5,high,high,0.11789876589297887,-0.10997219176644712,0.12896056224703611,0.1913487939880043,-0.2665517893705128
48,118,5,high,high,0.10360119362029396,-0.05674672111068357,0.07770857024681044,0.16057764224927462,-0.28626021659440426
48,178,5,high,high,0.11114766966762668,-0.04365135891624394,0.10922061524148285,0.1672049110524706,-0.053574274781937437
68,48,5,high,high,0.10770972039856785,-0.016496337708856945,0.09712257600344787,0.12194153456616985,-0.11920139454116796
68,69,5,high,high,0.11806601236430325,-0.09957811209408718,0.1321640723567029,0.16425000736486262,-0.17399204422166692
68,80,5,high,high,0.10566943073542578,-0.17740160550372353,0.10749405250698296,0.1506171573671915,-0.113639782866232
68,82,5,high,high,0.10442400981618072,-0.024208023460678962,0.10395535675322509,0.12120483320549813,-0.21088025034862212
68,86,5,high,high,0.12165141611000307,-0.05286058156325302,0.1349327169099528,0.17980035032545316,-0.17521800659545406
68,87,5,high,high,0.11315233844041395,-0.0808884825399302,0.12229959176631489,0.195879346770224,-0.24290472717219302
68,118,5,high,high,0.11552780357817627,-0.03754295020046139,0.11014850387120745,0.1738580202337089,-0.165534668633888
68,178,5,high,high,0.11882200941230314,-0.0820398249455212,0.10897901611782534,0.186474444799,-0.16072312419364054
69,48,5,high,high,0.1320000943931935,-0.030303602604220492,0.13275280895324615,0.1734756002410457,-0.2636679402945846
69,68,5,high,high,0.12061852553423114,-0.07447172062168139,0.12984858633165308,0.17560685690760203,-0.15446711471644303
69,80,5,high,high,0.11953100099093361,-0.08616046676790268,0.13325844728777736,0.12579178799322177,-0.15219225121588786
69,82,5,high,high,0.1099141500114067,-0.062422512166156574,0.12097333055371873,0.17060459736792066,-0.18824951145367486
69,86,5,high,high,0.11417963485386384,-0.05947284584593038,0.1024821892929606,0.1742487674539237,-0.19804900862910735
69,87,5,high,high,0.11772762883393217,-0.03226458722259895,0.11187961233152688,0.12734361850941311,-0.19810110512142898
69,118,5,high,high,0.11630017554607996,-0.06947280556652302,0.13295965030370405,0.14484159531548757,-0.24177800611943112
69,178,5,high,high,0.11536443215476821,-0.07937335067200113,0.11537715722786945,0.14540891376824117,-0.19949175272692654
80,48,5,high,high,0.11774996030095264,-0.07899500851196661,0.11173022796559295,0.10420268263791055,-0.0733559451806044
80,68,5,high,high,0.12222008286875519,-0.1457579854917317,0.12343297175660917,0.16770891457214676,-0.13153218710533632
80,69,5,high,high,0.1286296485963091,-0.07261749118610783,0.15066369600144514,0.137740323107995,-0.13855422518096527
80,82,5,high,high,0.10480004370055429,-0.15814064407107775,0.10541042985774429,0.1821833545852629,-0.24029215503247092
80,86,5,high,high,0.12375222065563951,-0.06557658397088872,0.14951422760748734,0.15420838484883403,-0.23703667670052153
80,87,5,high,high,0.11411766712360516,-0.026301204522764854,0.11768667561551094,0.14276125579568721,-0.20765591815106743
