exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
10,13,5,low,low,0.11884061802326162,-0.04543662535953097,0.13863685045410312,0.11894282543662515,-0.2319759035470509
10,21,5,low,low,0.11609802088520305,-0.038653343536188656,0.14256617738575794,0.1493904892196154,-0.096560265088239
10,27,5,low,low,0.12352461806316128,-0.08340346398272702,0.10543594971846404,0.09494016268070071,-0.20223941910516774
10,29,5,low,low,0.10955745776496884,-0.08515187916830513,0.10255750073831982,0.13537939617615435,-0.1888244863363716
10,31,5,low,low,0.11863280978107238,-0.08695650869604332,0.11324171412861772,0.13599606541201148,-0.13985430763647555
10,34,5,low,low,0.11189239831366804,-0.025535815688126018,0.102123469602166,0.12445909640984332,-0.2370255112846993
10,35,5,low,low,0.10854892517806247,-0.05761731347620169,0.09680218550055575,0.16656957320073007,-0.25099735958929636
10,37,5,low,low,0.11086298944138973,-0.07343348647681625,0.1096257227922447,0.20017470080643562,-0.2178750086286797
10,41,5,low,low,0.1197270740804921,-0.05094809409483769,0.1284702417759388,0.13230505520843416,-0.1411044404561792
10,43,5,low,low,0.11002340721615411,-0.09090944326298622,0.10237294620030424,0.1116721969978326,-0.1714882622422811
10,44,5,low,low,0.10828737834260826,-0.011073804301566681,0.09830032206995731,0.11066832401447613,-0.21057963113918599
10,56,5,low,low,0.11402021409971297,-0.021484212887884935,0.130286577224208,0.08897732238560985,-0.18747944874161415
10,60,5,low,low,0.12430899125572659,0.03292200090560227,0.11089755801837298,0.12638640307931415,-0.2162687552363265
10,63,5,low,low,0.12128301440312217,0.004494778566670243,0.11276471760265683,0.13408703045437398,-0.19431226587307415
10,64,5,low,low,0.10971227674568407,-0.037911628533784825,0.12073446607535387,0.14201743667431743,-0.13263750357807447
10,65,5,low,low,0.12079686448396998,-0.08864072897944797,0.12425094429328143,0.20729804222213455,-0.19747309082646547
10,74,5,low,low,0.11613671908894907,-0.02559153415881288,0.11356443490420043,0.12643163695388426,-0.18186217916166136
10,77,5,low,low,0.12305317177399355,-0.03485585772086763,0.12981759395327963,0.13539062404141133,-0.16936591381412802
10,78,5,low,low,0.11397666949667051,-0.057215247170924965,0.11718512319404928,0.11631179651648504,-0.22827866872027291
10,79,5,low,low,0.11684016133630148,-0.08215233196160909,0.10697856871705158,0.1267042569885266,-0.17517561547263472
10,94,5,low,low,0.11208631740155073,-0.0846188209534704,0.10320445883224749,0.08401299578889576,-0.20140069600111588
10,99,5,low,low,0.12533039066920337,-0.04185450906386701,0.12634484875473118,0.13523158078439945,-0.1488482243202287
10,101,5,low,low,0.13414850190944083,0.017545366562189635,0.18399160780739188,0.2022216461464612,-0.12088207129329698
10,104,5,low,low,0.10838953900025416,-0.04611712474531049,0.12467129610213612,0.09594699500199266,-0.18239670128150676
10,114,5,low,low,0.10405107735551966,-0.033212214710921395,0.10306503804219036,0.1789614447577038,-0.18158982480486918
10,124,5,low,low,0.12358467620742253,0.04437502789494374,0.13093613704310403,0.14771663714442662,-0.18828473707922067
10,126,5,low,low,0.11438446872228836,-0.022971364071147526,0.12440371042593212,0.14061862487214194,-0.1330744803676812
10,128,5,low,low,0.12390105446468758,-0.07030653425444233,0.16378155288426155,0.10737961927745543,-0.17553606246557496
10,132,5,low,low,0.11694692576224774,-0.057740993809033414,0.12957316816110975,0.11712030221979053,-0.20048486012046118
10,139,5,low,low,0.12100870600302338,-0.0627417753915398,0.11540598717287354,0.18448033278122244,-0.15470443362671382
10,140,5,low,low,0.11553081032967827,-0.07471270635393235,0.1327953013249259,0.14855928280324981,-0.19450247377816698
10,164,5,low,low,0.115037353786127,-0.09514088798764986,0.10762250533420725,0.1662443742182087,-0.16080026593601637
10,170,5,low,low,0.12530641135485643,0.01698202215378053,0.1279211440878527,0.17170121266272043,-0.16282637527719435
10,176,5,low,low,0.12494268175555334,0.002356855428601312,0.1603049628700708,0.13467757118298873,-0.18843177288998658
10,179,5,low,low,0.13012312694034833,-0.028273863203233773,0.1708783904855059,0.12806936799215762,-0.18101690862672926
10,180,5,low,low,0.1269238458235844,-0.012894939182603204,0.13590218509476248,0.09455536899440287,-0.166578393483932
10,182,5,low,low,0.10603557453696866,-0.057194126201921214,0.1223538030984459,0.12341166150264071,-0.17308498228735458
10,200,5,low,low,0.11307290596297637,-0.04269158959061681,0.10223007763192782,0.12216917863758892,-0.14338325135856367
10,208,5,low,low,0.12124735232112538,-0.056325509054308,0.11981420178304736,0.11547144792402786,-0.19936868993009949
13,10,5,low,low,0.13216046196506048,0.0005520159222165422,0.15577952128351968,0.12811679152955857,-0.23749034123459456
13,21,5,low,low,0.11190508155111711,-0.08821787957981753,0.11203612266352814,0.1818795409932109,-0.18419196922780934
13,27,5,low,low,0.13061813356777763,0.030208191475894042,0.18312759989558847,0.2314232793226848,-0.20512888974208265
13,29,5,low,low,0.11959590525854225,-0.03989678732451951,0.16823991245481362,0.17438308190702012,-0.14749949177583077
13,31,5,low,low,0.11775989131611808,-0.0570689866821269,0.12101585987549068,0.17488802697819428,-0.18536020317336577
13,34,5,low,low,0.11677284908613605,-0.04588511689636621,0.12542204066794405,0.17108004979865166,-0.17600553703030986
13,35,5,low,low,0.11547004388131543,-0.044790878958037905,0.1108077811540592,0.1895185184042646,-0.22041635933775017
13,37,5,low,low,0.11995548085242669,-0.0022044220673240744,0.12959310314452788,0.11201770973220193,-0.23495383499137867
13,41,5,low,low,0.10970509636144044,-0.05616774580845374,0.10859003578098159,0.17953435361832548,-0.15772349529806373
13,43,5,low,low,0.11745028398519364,-0.04130413357893448,0.12575709110680466,0.1862812230899047,-0.18844499153591443
13,44,5,low,low,0.1241385586661411,-0.04409570335448376,0.14105411888573438,0.1702259558359619,-0.19018426486050055
13,56,5,low,low,0.12709222194618852,0.04508587836238909,0.1665337356577936,0.1846300196667392,-0.22495155963721702
13,60,5,low,low,0.12198838447417704,-0.05340575113342061,0.11713586522355734,0.1664826122623183,-0.2004202136532256
13,63,5,low,low,0.11998263205475457,-0.022567048937610856,0.13154794111802293,0.16201530242981532,-0.20759397721182293
13,64,5,low,low,0.11098764858489718,-0.048031818208846055,0.11058368205228397,0.11955683467907208,-0.1927474077593767
13,65,5,low,low,0.13086906148766642,-0.04295213917554008,0.15365839435134798,0.14880197644949877,-0.1806708586445902
13,74,5,low,low,0.12894155975575894,0.0013405333775544648,0.1908119785943584,0.20817206458592596,-0.21282066979667436
13,77,5,low,low,0.1079809583834429,-0.06473516572811011,0.10381936547501402,0.1502864779828983,-0.2157467574264761
13,78,5,low,low,0.1199491219519897,0.037512198544272235,0.1341841325627413,0.17889097948129307,-0.21211260678525923
13,79,5,low,low,0.12006718451898313,-0.02753290339694292,0.12661120022323546,0.1819745056748271,-0.21988282547970484
13,94,5,low,low,0.11830881862119369,-0.028615538100398408,0.1548860967299902,0.21644939120349316,-0.17947143258688403
13,99,5,low,low,0.1183160897918627,-0.019765379294932606,0.1185978734444132,0.18889587433263355,-0.21959292437813138
13,101,5,low,low,0.11447819125981207,-0.06061836673021326,0.11999948639727587,0.1480602988178562,-0.22977994154612735
13,104,5,low,low,0.11502774507186375,-0.09057797522261612,0.1183939486895117,0.15981655449650656,-0.19806564529562276
13,114,5,low,low,0.12996098030992975,0.0030720410350904004,0.16334310484265924,0.18657662522726548,-0.162552057002334
13,124,5,low,low,0.11806821545792401,-0.04171705649022028,0.12926448944141677,0.1460992567585797,-0.22736959641794097
13,126,5,low,low,0.11668366243104555,-0.0683864399938996,0.12103441137505033,0.14934695688499033,-0.20882903301707267
13,128,5,low,low,0.1134363398741779,-0.06819963293259401,0.11503894620097788,0.14352550251793272,-0.17967018043279148
13,132,5,low,low,0.11405826417534182,-0.10212469681243941,0.11797449887102363,0.17489615531099045,-0.22231040429328297
13,139,5,low,low,0.13187517314928443,-0.03071827304072472,0.17642397665870801,0.20712951775490018,-0.18984347593451545
13,140,5,low,low,0.13034753224617734,-0.049135270116955176,0.17147354181798458,0.14733596372847646,-0.21652487649735896
13,164,5,low,low,0.11260010847462731,-0.08191491055528055,0.12875729746445808,0.15083041451129564,-0.22262477983549944
13,170,5,low,low,0.12130119265995165,-0.05267295970345176,0.12180927683127374,0.16598148019876824,-0.21500652159149025
13,176,5,low,low,0.11347352520515419,-0.06306461538104358,0.10612842506329434,0.1458350600462185,-0.17801558236078696
13,179,5,low,low,0.10653904946171389,-0.08888082504791583,0.11572379993616433,0.13747314117131693,-0.18307610456575585
13,180,5,low,low,0.12444362908271811,-0.030133037481560376,0.13752418830885504,0.17953503805660986,-0.1972684345866207
13,182,5,low,low,0.10956163609455916,-0.03447002142732103,0.10794919713983742,0.15616364344053024,-0.2102674395256201
13,200,5,low,low,0.11037213362672138,-0.08009738800743949,0.12407561378318765,0.14323902391461096,-0.21395309556465159
13,208,5,low,low,0.10792163342155903,-0.01384270507162566,0.11200540304179296,0.16473958023177004,-0.21809980084087066
21,10,5,low,low,0.12332820463078764,-0.04680186728714453,0.14969037845520372,0.15092796018225163,-0.10377751109358735
21,13,5,low,low,0.11013152059998821,-0.07899195808611648,0.10709328693497544,0.1716704842190827,-0.18801870442053414
21,27,5,low,low,0.12643053626302292,-0.07695675628650733,0.13792493338787482,0.1710472061339806,-0.13896980605262765
21,29,5,low,low,0.1092953377003617,-0.09819695733872025,0.12755276250885372,0.14965926516998307,-0.13443936867562778
21,31,5,low,low,0.11642409925960495,-0.06356293060493934,0.09815957153144594,0.1452041999796998,-0.14201361547173685
21,34,5,low,low,0.10030414415286493,-0.10360439542711697,0.10700290817866653,0.14350985602201272,-0.20187370020855144
21,35,5,low,low,0.10940988657643891,-0.11692862710744034,0.12733724176454897,0.17044587312188508,-0.30232527491173466
21,37,5,low,low,0.11529498570696528,-0.07802867798157864,0.11952268780077091,0.0994589165517018,-0.1947447409228651
21,41,5,low,low,0.11253800063768904,-0.10891695865332818,0.11179808183153639,0.0890848350973531,-0.12355005271383124
21,43,5,low,low,0.11676208962906753,-0.06213618955577371,0.12426944799578354,0.12631107706473732,-0.15919000969095343
21,44,5,low,low,0.12257088397095584,-0.07765435958191602,0.1237229286109578,0.16585806997571328,-0.16711103287423146
21,56,5,low,low,0.11924507585887556,-0.01370190782931957,0.13848662663228506,0.15478434261081597,-0.1787725176024091
21,60,5,low,low,0.10883319882988596,-0.08621147945669383,0.10662040900488434,0.15025443665085692,-0.1788668621002525
21,63,5,low,low,0.1050826064752588,-0.0723099578066213,0.10198075987496458,0.10898788289998307,-0.19146572388033767
21,64,5,low,low,0.113498760145889,-0.06995685418531139,0.10604185247292852,0.10461588993592541,-0.1789180861057128
21,65,5,low,low,0.11984378892524084,-0.06119226022634172,0.1557630492164579,0.19501880975631491,-0.11740832167816129
21,74,5,low,low,0.12356664608410506,-0.0690813253230117,0.15074440210968132,0.13127660519469386,-0.19034416174580726
21,77,5,low,low,0.10606892463402107,-0.06233177958010738,0.11401456409030086,0.1378180351424203,-0.1705396986007861
21,78,5,low,low,0.1135067290115348,-0.10118678243544432,0.10227047688956747,0.13141981402432668,-0.15551777665796018
21,79,5,low,low,0.11081180010427638,-0.08220926086246316,0.11045616309190043,0.15257625635865268,-0.14565748797370226
21,94,5,low,low,0.11668882241213485,-0.08693623001692419,0.13941543524389888,0.20352219816392425,-0.19680936643492752
21,99,5,low,low,0.11685922174641994,-0.07646010078885601,0.10926589584126511,0.15186883661831518,-0.16542801549257258
21,101,5,low,low,0.12018966134290687,-0.02164320684302512,0.1329373270558023,0.16920693964732736,-0.11319845507694315
21,104,5,low,low,0.10852651231830868,-0.1168472087072916,0.10142692653450269,0.14673160705595278,-0.1002321393034421
21,114,5,low,low,0.12434974496219642,-0.07795988872002535,0.1701997159357559,0.16993501965197555,-0.11289466487141708
21,124,5,low,low,0.1193062142924377,-0.08829042333939541,0.12395744273562281,0.1481272550210896,-0.12754815734465896
21,126,5,low,low,0.10933343335511525,-0.033002462807221744,0.10925455943828266,0.14915931545603645,-0.1556332672790841
21,128,5,low,low,0.11233934350861385,-0.06445962771854474,0.11480288922455217,0.13754975894734367,-0.17313391272742829
21,132,5,low,low,0.09850754482652646,-0.028163685303784658,0.09723562770691074,0.1024095428924433,-0.1301103808381956
21,139,5,low,low,0.12230814700400261,-0.06901123066338333,0.1399759796888067,0.19138062360895614,-0.16906708490733013
21,140,5,low,low,0.12212713709617262,-0.05513322907553164,0.14440815837066057,0.17632088230638499,-0.1466917563476866
21,164,5,low,low,0.1124875430916712,-0.09487622048317501,0.1279813876650765,0.1400471859099749,-0.10054531380181986
21,170,5,low,low,0.113996942656169,-0.041396682858621525,0.1174825359640489,0.15317441725714753,-0.16387487504710263
21,176,5,low,low,0.11754017638383596,-0.058820373802425,0.11103879074005585,0.16564300716774327,-0.16780746976606564
21,179,5,low,low,0.1146360065005213,-0.07470803025854555,0.12309954477472806,0.13720739015833205,-0.19368095270832564
21,180,5,low,low,0.11201040017005426,-0.10115546336633785,0.12570202222089588,0.1484673104170383,-0.1240588943326213
21,182,5,low,low,0.10889269354481645,-0.10909784692508095,0.10754988853627168,0.1220078452308121,-0.12375355435744151
21,200,5,low,low,0.11055188994608656,-0.11805293703720898,0.1268412221071442,0.1026645662468042,-0.11613561100000791
21,208,5,low,low,0.10359274591730849,-0.1029447560642488,0.10748114043130264,0.15101720363685767,-0.13282663122721627
27,10,5,low,low,0.11205035246841599,-0.1084570130530167,0.09237510520760328,0.10605092066820387,-0.17672013177189916
27,13,5,low,low,0.12802892523226006,0.008791980077384354,0.16865132899787327,0.18231696752792237,-0.22813790114897736
27,21,5,low,low,0.12564589190883835,-0.07145131649601422,0.14623012076620623,0.1827122044488677,-0.1063739980898204
27,29,5,low,low,0.11171765564376956,-0.021292147264561523,0.09582193787077109,0.1359096608431657,-0.16288273566497713
27,31,5,low,low,0.1302103870066451,-0.039744273873739244,0.13402786520819132,0.13648195870918745,-0.17033802898414596
27,34,5,low,low,0.11231004125125299,-0.031858609251463665,0.12936033249464107,0.13944433783044896,-0.17513350066755484
27,35,5,low,low,0.11694039327207217,-0.035336490147408806,0.11365283452285946,0.12283710873919196,-0.3508850288756947
27,37,5,low,low,0.11366142850750427,-0.05427614273339176,0.12231012090269688,0.10258481978374645,-0.16739971480052895
27,41,5,low,low,0.12924919069862117,-0.06025943733718342,0.14663429182860965,0.12331202013050213,-0.13138083000470968
27,43,5,low,low,0.11572053479576838,-0.07597351757310544,0.0817669478256956,0.12545463367735699,-0.16644182326834744
27,44,5,low,low,0.12874728069711672,-0.04826792392544377,0.11179459680700954,0.16221961336986668,-0.13571776900038546
27,56,5,low,low,0.11526518578151101,-0.09218959208445221,0.11725723596291404,0.12916074887761297,-0.22463034698544582
27,60,5,low,low,0.11080793137273137,-0.06417747013388564,0.10414058413143323,0.17424334723602963,-0.1452650595702628
27,63,5,low,low,0.12139975189675445,-0.05753026666389982,0.10625916094205934,0.1730913083011263,-0.16342156217636394
27,64,5,low,low,0.12762349911439852,-0.01056815814588663,0.16025430245196193,0.13453118022958843,-0.08627401101645182
27,65,5,low,low,0.11562526798892725,-0.1152894104896699,0.14280740291007565,0.04555305595349313,-0.043631323885930495
27,74,5,low,low,0.12317777696342691,-0.13700993120879001,0.12032102166664016,0.11116506751853372,-0.21399146483169096
27,77,5,low,low,0.12587927558652323,-0.044697416067070894,0.13637900732086172,0.20825748695145552,-0.1801982631016048
27,78,5,low,low,0.11679337640086052,-0.043324952619267276,0.10058157286107794,0.1600269110332182,-0.09769012847390623
27,79,5,low,low,0.11431762105742904,-0.01535127637654432,0.13213036135573297,0.13502096465644653,-0.1350787331667539
27,94,5,low,low,0.11770492123646514,-0.08065813837886227,0.10968050043326405,0.1746432638758223,-0.17933021628244916
27,99,5,low,low,0.12242488212374514,-0.08686696332151467,0.15461018978586605,0.14163191954701293,-0.08682688031416763
27,101,5,low,low,0.14163731353583564,0.009119017297624876,0.19940088442084136,0.17295991857220339,-0.14198851649330202
27,104,5,low,low,0.116497379917745,-0.0447002825686299,0.13353194331981877,0.09560820742665976,-0.09381610737344825
27,114,5,low,low,0.11955948748602385,-0.07471864135499406,0.11982917949653649,0.10215245877105794,-0.15145924235143493
27,124,5,low,low,0.1327893374180712,-0.025862226113870124,0.14788595597667886,0.12568626672555594,-0.04636153168976964
27,126,5,low,low,0.11945250749660286,-0.022309515834688987,0.14447033908944995,0.18882172076611614,-0.08104537940539458
27,128,5,low,low,0.127018709300165,0.0030753655204112107,0.16252571105657854,0.1699138995468542,-0.176998959454304
