exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
13,3,2,low,none,0.99358854798629,0.7548942022305339,0.990559001232916,0.892667483282792,0.6199346405228758
13,5,2,low,none,0.9930483473852744,0.7524892967278748,0.9908678728491048,0.9419905450362802,0.6071428571428572
13,12,2,low,none,0.991518722328684,0.7153009791297967,0.9894789042292904,0.8938746723914541,0.6666666666666666
13,28,2,low,none,0.9913749520915626,0.6767160249198172,0.9886849625957276,0.9443662028175148,0.6456575682382134
13,30,2,low,none,0.9921378040829356,0.7355014617326863,0.9897538379175598,0.9027797790985956,0.6094771241830066
13,36,2,low,none,0.9922884567458304,0.6853716043901782,0.9894096789258588,0.8890201303994714,0.6165158371040724
13,38,2,low,none,0.9927294805173844,0.7285452745879601,0.9904395109466934,0.8367226215921063,0.5957446808510638
13,59,2,low,none,0.9922611363974716,0.7338147686774992,0.9888703647127478,0.8572540632911884,0.6363636363636365
13,93,2,low,none,0.9916427560080524,0.6510875883151455,0.9873122625707104,0.8824060862396919,0.6923076923076923
13,96,2,low,none,0.9920883568951716,0.7433337819227719,0.9892534975098878,0.8997248024630031,0.6071428571428572
13,106,2,low,none,0.9912055211508806,0.7318282144599468,0.9885103307109352,0.8666390387205837,0.6071428571428572
13,110,2,low,none,0.9932106191281702,0.7227806411715076,0.9899733107925772,0.9149527643037848,0.653846153846154
13,116,2,low,none,0.9930490578188422,0.7736891087148777,0.9916351036524118,0.9312151559997868,0.638888888888889
13,141,2,low,none,0.9918762554373268,0.7455757188978204,0.9880700938584048,0.8764078102391772,0.6736912156166814
13,154,2,low,none,0.9915746030371992,0.6820939052507455,0.9893359473803858,0.8969963129858635,0.6318840579710145
13,163,2,low,none,0.9916289047797736,0.755953866396049,0.9877152498017938,0.9094677059652476,0.6485294117647058
13,181,2,low,none,0.9930465523140396,0.6439403216955424,0.9901189960147152,0.9301029578204976,0.629100529100529
13,189,2,low,none,0.992558031101622,0.7186598256016647,0.98987930242484,0.8961897733422347,0.5942028985507246
13,196,2,low,none,0.9903974815661148,0.7139922377314056,0.9862989231717116,0.909398864298258,0.6153846153846154
13,201,2,low,none,0.9924261803711356,0.7347591149050936,0.9892474570424604,0.9095114413290668,0.6428571428571428
13,204,2,low,none,0.9898235089514136,0.6363463709529558,0.9825665900887408,0.8602794748007588,0.5625
13,211,2,low,none,0.9946023030015044,0.776313788030035,0.9930071509384896,0.921782202084888,0.6501610305958132
13,216,2,low,none,0.9916932721536432,0.7233980923668489,0.9888426576232242,0.8823151797957516,0.5555555555555556
21,3,2,low,none,0.9933954344782964,0.7429495211546335,0.992244532837675,0.9152463649526028,0.6981132075471699
21,5,2,low,none,0.9942789025812284,0.7041577240044137,0.9931026191671554,0.9084753451116584,0.6904761904761905
21,12,2,low,none,0.9918829030349956,0.6960014650891274,0.989579523043937,0.9013026713463622,0.6536731634182908
21,28,2,low,none,0.993491800796227,0.7375847684411352,0.9917376331904302,0.8939972662401471,0.6666666666666666
21,30,2,low,none,0.9935771925392024,0.6908863217075814,0.9912937542095348,0.8734405885018073,0.653061224489796
21,36,2,low,none,0.9931740518474796,0.6417321299780877,0.9908175410830062,0.8717196057116954,0.7058823529411764
21,38,2,low,none,0.9928002340881223,0.6991996150673518,0.9916259990056642,0.8971137652125245,0.7083333333333334
21,59,2,low,none,0.9916310428067052,0.7285320929047804,0.989472141444138,0.8715822694020929,0.7058823529411764
21,93,2,low,none,0.99348103114954,0.5966140342079864,0.9912155901104168,0.8762969830689191,0.7222222222222223
21,96,2,low,none,0.9921181333925406,0.7494048264700871,0.989372817330215,0.8602457190964955,0.626453488372093
21,106,2,low,none,0.9916935095010776,0.6712453658021369,0.9905830923693848,0.8846439058090703,0.6956521739130435
21,110,2,low,none,0.9937507355584044,0.7072551273389678,0.9918331425484954,0.9128187855771892,0.7198401162790697
21,116,2,low,none,0.9921063871733627,0.7803219384343172,0.988757184214696,0.8912303753927584,0.6341463414634145
21,141,2,low,none,0.991029342805128,0.7516283041185975,0.9877118845869364,0.9220236376727418,0.6333333333333333
21,154,2,low,none,0.9929142635480456,0.6653994460682862,0.9910741420075208,0.9249916199051196,0.7272727272727273
21,163,2,low,none,0.9926799607362692,0.7119384137917399,0.9904211387047648,0.8880074199255366,0.6785714285714286
21,181,2,low,none,0.992706794925324,0.6792464152792763,0.9889032158125756,0.916622531357042,0.7
21,189,2,low,none,0.9927133393459364,0.6727696619751083,0.9909926912933842,0.8500523390016815,0.65625
21,196,2,low,none,0.9919932466944438,0.7552006962066654,0.989078493043943,0.9194105966241226,0.6984848484848485
21,201,2,low,none,0.9925965331406242,0.7011169487201396,0.9896498421652378,0.8896155835009731,0.7142857142857142
21,204,2,low,none,0.9909967813613942,0.5658014502391032,0.987142279530787,0.9004746130272469,0.7777777777777779
21,211,2,low,none,0.9946152609025584,0.7665300693113168,0.9933877867737352,0.9457363672952008,0.695048309178744
21,216,2,low,none,0.9924457647961744,0.6781030695638475,0.9899494031328844,0.8550612722042464,0.7230113636363636
27,3,2,low,none,0.9946011939703464,0.6186204428139477,0.9923870100627792,0.9475952668224936,0.7391304347826088
27,5,2,low,none,0.9919615066341624,0.6328218341529535,0.988706064921745,0.890885248736801,0.6521739130434783
27,12,2,low,none,0.9919641468007364,0.6169630171338754,0.9879731908203712,0.8810073157085796,0.6086956521739131
27,28,2,low,none,0.990247401605185,0.6474286751658846,0.9848703501223772,0.9123247326336876,0.6172161172161172
27,30,2,low,none,0.99076224164413,0.7449586850531873,0.9870243567789454,0.9540235153599428,0.7083333333333334
27,36,2,low,none,0.9907598170230464,0.7607904117090258,0.9876273740053504,0.9391915295403958,0.6666666666666666
27,38,2,low,none,0.9929593276874727,0.6714437117794135,0.9900716477293938,0.8585108411195397,0.75
27,59,2,low,none,0.9896123462107056,0.671568819036138,0.9840436143687707,0.9181483193884452,0.6363636363636365
27,93,2,low,none,0.9910709088899308,0.6939291662141361,0.9866835687468812,0.9116512966621064,0.6892857142857143
27,96,2,low,none,0.9923811082495224,0.7579073508063384,0.989991283380966,0.9263260488937078,0.575
27,106,2,low,none,0.9906256584891237,0.617012092450753,0.9858262899313148,0.940035307328382,0.7777777777777779
27,110,2,low,none,0.9934120765052704,0.7340543784452793,0.9910760874804792,0.9343049955434276,0.7609523809523808
27,116,2,low,none,0.9918076284901358,0.6568084246928994,0.988139904783628,0.9410763917915124,0.5769230769230769
27,141,2,low,none,0.9900933979466509,0.790302901669108,0.9820396517091532,0.8515557317254114,0.56
27,154,2,low,none,0.9923213198829544,0.5451295686122677,0.9867961844965312,0.9345043175406188,0.7
27,163,2,low,none,0.988564652366618,0.780934194628485,0.9817136833203745,0.925116053035238,0.6875
27,181,2,low,none,0.9921883188568368,0.6950590428540784,0.9884792628630296,0.9205890985820604,0.6966632962588474
27,189,2,low,none,0.9919902033103836,0.7132264022849222,0.988620549311964,0.9291080245490554,0.606060606060606
27,196,2,low,none,0.9892519372275366,0.636353605263397,0.9819829238665492,0.8863133164187743,0.736842105263158
27,201,2,low,none,0.9925034391517112,0.6231953336059535,0.9905970958153072,0.9244657568070904,0.7142857142857142
27,204,2,low,none,0.986955452849044,0.6638067199035917,0.979502334900534,0.9321801939249604,0.7727272727272728
27,211,2,low,none,0.9942334288664338,0.6931078136950325,0.9917487510241552,0.8507270938234814,0.676470588235294
27,216,2,low,none,0.9887215513476596,0.7410976366517538,0.9862601296942596,0.9267096382346958,0.8
29,3,2,low,none,0.9922050851808056,0.7033465898242258,0.9916620812768356,0.9130094548600852,0.6666666666666666
29,5,2,low,none,0.9905317881432596,0.6688334336099633,0.9875949835856072,0.8819641030716239,0.6129032258064516
29,12,2,low,none,0.9914031335224583,0.7216995449310948,0.9896649010362872,0.9398229131609946,0.6666666666666666
29,28,2,low,none,0.989144617346299,0.7298289540273166,0.986074538525926,0.910719708236944,0.6193214491086831
29,30,2,low,none,0.9899871866487614,0.7188841608309909,0.9880958976370192,0.8778343760177182,0.6666666666666667
29,36,2,low,none,0.9895414535228568,0.7009266185337198,0.9826255584391234,0.9240775699858198,0.6551724137931034
29,38,2,low,none,0.9912845452561252,0.7430413753060571,0.9899917574432808,0.9115512999597748,0.6385933806146572
29,59,2,low,none,0.9897343859393464,0.711512434596679,0.9873244990200484,0.9060501904519116,0.6666666666666666
29,93,2,low,none,0.9895823788846394,0.6429353414014761,0.984368665848,0.9406821433403038,0.6792857142857143
29,96,2,low,none,0.991407333930451,0.7236751072668527,0.990015249935802,0.88830212396944,0.6071428571428572
29,106,2,low,none,0.989293290497508,0.7318360991735877,0.9879371785303848,0.9134838779037536,0.6896551724137931
29,110,2,low,none,0.9904802954462838,0.7264121170496166,0.9877707661018144,0.889908819245035,0.6948275862068966
29,116,2,low,none,0.9903651127148608,0.7108292955375777,0.9889106428531464,0.8900727210756599,0.6086956521739131
29,141,2,low,none,0.990555763327014,0.7305317429844205,0.9868490296914092,0.8904866106868015,0.592214663643235
29,154,2,low,none,0.9914224793605818,0.6177795516777952,0.9895158756150434,0.9026474838558702,0.674916573971079
29,163,2,low,none,0.988774108096444,0.7550177596423644,0.9838317927082276,0.9057799093772492,0.6666666666666666
29,181,2,low,none,0.9904022555045388,0.7009384817493145,0.986882881408379,0.8923646567961916,0.6666666666666666
29,189,2,low,none,0.9899876940837652,0.723409462493108,0.987750960669534,0.8920604379418647,0.6734693877551021
29,196,2,low,none,0.9882993872950588,0.686570575146912,0.98406929681986,0.8966336376260218,0.6956521739130435
29,201,2,low,none,0.9901096434606472,0.6804632282551157,0.9867453255135038,0.8939940822117927,0.676944971537002
29,204,2,low,none,0.988056805526765,0.551294394835065,0.9814710908115196,0.8820734032866858,0.6961538461538461
29,211,2,low,none,0.992817876975998,0.7073888853411338,0.9914375108112732,0.9085508033490082,0.6363636363636365
29,216,2,low,none,0.9901913387279896,0.7053671228248478,0.98709856481258,0.8823170199241165,0.6666666666666667
31,3,2,low,none,0.9940189397502904,0.7044374574518975,0.9926415093638002,0.8600702956652126,0.75
31,5,2,low,none,0.9935669845788608,0.7195310620241896,0.9922501708407436,0.9405001266574258,0.7142857142857142
31,12,2,low,none,0.9930704020810484,0.6998505862909195,0.9914060562637308,0.8984688586832306,0.6545454545454545
31,28,2,low,none,0.9926221172273412,0.7057578420448017,0.9904249483744308,0.9519186626707584,0.6510869565217391
31,30,2,low,none,0.99263074124317,0.6848239754619352,0.9903665944473168,0.8969584768486997,0.7027027027027026
31,36,2,low,none,0.9925090474649962,0.6803133246109683,0.989059854273868,0.8940854920388075,0.7220689655172413
31,38,2,low,none,0.9931682562221672,0.7312665837995138,0.9908977576329986,0.8612493944758831,0.7171428571428571
31,59,2,low,none,0.9920003363997172,0.7567045170728547,0.9890696671397716,0.903245098236966,0.6666666666666666
31,93,2,low,none,0.992838977161112,0.6719833351864862,0.9906528595373588,0.8751993311122209,0.6875
31,96,2,low,none,0.9927804204428968,0.7604320952550045,0.9907803909685912,0.9152020073519164,0.6296296296296298
31,106,2,low,none,0.9924304166230888,0.7094806241766938,0.9907237076560224,0.8906146148636819,0.6870629370629371
31,110,2,low,none,0.9939265409654926,0.7528181435299361,0.9919101068150268,0.9326149343520632,0.7333333333333334
31,116,2,low,none,0.993619357674887,0.702077012982711,0.9919555291956296,0.9385245056419392,0.6363636363636364
31,141,2,low,none,0.9924009941951228,0.7276904817660537,0.989098647853088,0.9098858815385448,0.6444444444444445
31,154,2,low,none,0.992676414731364,0.6783184518443032,0.9904861345110856,0.9179631873087362,0.7037037037037037
31,163,2,low,none,0.9914649460010818,0.6982989277874037,0.9875382025686682,0.904984173902634,0.6776927282668125
31,181,2,low,none,0.9929274227881232,0.7023029873970263,0.9911838552686904,0.9309124449043518,0.725705329153605
31,189,2,low,none,0.9931551464172722,0.6895416506326905,0.990954151852607,0.8919800542559249,0.6428571428571428
31,196,2,low,none,0.9909257925657876,0.69435529333673,0.9879605445016656,0.9102360858290124,0.7142857142857142
31,201,2,low,none,0.9935279256892164,0.6620338503889766,0.991349657799314,0.8832289848021192,0.6939799331103679
31,204,2,low,none,0.9911337707630452,0.6043633508121171,0.9859224958101462,0.9061834554526208,0.7692307692307693
31,211,2,low,none,0.994707109860922,0.7690658870552288,0.993624046521238,0.9582366821208138,0.6428571428571428
31,216,2,low,none,0.9915667673749812,0.6574880855076464,0.98776102259708,0.8976773235095225,0.7071428571428571
34,3,2,low,none,0.9924072676237669,0.7316632006645893,0.9908091453707636,0.91033282574833,0.6666666666666666
34,5,2,low,none,0.9924484987242422,0.7482124134876851,0.9890555881389712,0.9082172796027737,0.625
34,12,2,low,none,0.992411747565762,0.6804300447443596,0.9888808018837876,0.9148565971164492,0.6107994389901823
34,28,2,low,none,0.9912770254159392,0.7077055170032875,0.9883995226803974,0.9191868592720578,0.6111111111111112
34,30,2,low,none,0.9916002873684724,0.6639943242046764,0.99145830043549,0.8918856926522742,0.7060185185185186
34,36,2,low,none,0.9915706081920908,0.6548446416576954,0.988836377060311,0.9124497626365432,0.6702898550724637
34,38,2,low,none,0.9927932298942396,0.7304319566238298,0.9908506197190348,0.8582858823292893,0.6470588235294117
34,59,2,low,none,0.9887502385232748,0.7610454752953397,0.9839396745528198,0.9116494222262306,0.6507936507936508
34,93,2,low,none,0.9903638676035412,0.568005756869495,0.9844960104285312,0.9000927674833819,0.6923076923076923
34,96,2,low,none,0.9922513023801393,0.7170771754218378,0.9906663389317092,0.8912261202439018,0.6153846153846154
34,106,2,low,none,0.9907574399271202,0.6560382915305296,0.9883642371920348,0.9111806190851666,0.6666666666666666
34,110,2,low,none,0.9929548384027436,0.7370108448127388,0.9905425626985712,0.9020720728635064,0.6866071428571427
34,116,2,low,none,0.9920791085504184,0.6864731558720456,0.989398109147334,0.91746531082797,0.6399036531513449
34,141,2,low,none,0.9910949941660782,0.7814911012710131,0.9876373690495436,0.9156422069623622,0.6744565217391304
