exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
13,4,2,low,medium,0.1158395552553945,-0.027003286870598,0.1314007651147726,0.1220980539338407,-0.1854618259951005
13,6,2,low,medium,0.1283980953177957,-0.0109812764851054,0.1423787896363701,0.1569649362610367,-0.191669384220646
13,14,2,low,medium,0.1108345521830849,-0.0412278527704339,0.1024122153655014,0.1819230809100375,-0.1896214794583802
13,15,2,low,medium,0.1120569238611256,-0.0798801140654279,0.1122001599562254,0.1323147487889786,-0.1976019617556883
13,16,2,low,medium,0.1212081087742943,-0.1287703666285797,0.1226810642630786,0.1649776509819136,-0.2002882941863805
13,17,2,low,medium,0.1120989620480229,-0.0861848050574701,0.1097635747619533,0.121793715940652,-0.1822484353917024
13,18,2,low,medium,0.1080779817811277,-0.0780083752119789,0.1125328203510351,0.1241394770279301,-0.1769149327417142
13,20,2,low,medium,0.1099718822911125,-0.0350704706139818,0.1023337489694918,0.1531909540155407,-0.1919636228376955
13,24,2,low,medium,0.1149676803408765,-0.0794856705773287,0.1226869210522065,0.0988210287782546,-0.2691467376288579
13,25,2,low,medium,0.1108855003871632,-0.0868027702262074,0.1125767636006918,0.1903240426143002,-0.1820730367745326
13,32,2,low,medium,0.1204351178960565,-0.0138087940404054,0.1192256262854747,0.1859373094319713,-0.2019293018711687
13,33,2,low,medium,0.1036997595166311,-0.060048231554455,0.1090789094618353,0.1379367574530708,-0.1855114329846219
13,40,2,low,medium,0.1233837771496024,-0.0507942620640858,0.115350968929704,0.1420466351316348,-0.2126767885342905
13,42,2,low,medium,0.1232477110358404,-0.0451173035720336,0.1318134835717739,0.1358731024037685,-0.2464529857674899
13,50,2,low,medium,0.1092994351571657,-0.0545177195875776,0.1095189444039623,0.0950230280678928,-0.2485241752382527
13,51,2,low,medium,0.1254384389071677,0.0336932659850162,0.188902829129906,0.1209908104360769,-0.2295770608285849
13,53,2,low,medium,0.1084326174974061,-0.0675858922299543,0.1147329696530217,0.1004575636536304,-0.215163317519506
13,54,2,low,medium,0.1084967588514249,-0.0867603007726338,0.0919752088058908,0.0625069665280722,-0.1914827753858661
13,55,2,low,medium,0.1135848201261692,-0.0193764988219419,0.1124887323664549,0.1493047323142723,-0.2158500808060055
13,57,2,low,medium,0.1250091065800924,0.0098374208537634,0.1375621804827903,0.1625234337298537,-0.2268420989836523
13,58,2,low,medium,0.1153781908226394,-0.0359789043202168,0.1115110847283813,0.1669231900127226,-0.2454193341950401
13,61,2,low,medium,0.1014676122952937,-0.0627707937686691,0.1042218362163683,0.1225725453084241,-0.1902433480664688
13,62,2,low,medium,0.1153671466900152,-0.0584232634674676,0.1333917035453991,0.1193046703812599,-0.1910765486574798
13,66,2,low,medium,0.1330823064225903,0.0991326937960037,0.1427392331598892,0.0986759339855012,-0.2915246322424092
13,72,2,low,medium,0.1134228101729325,-0.0635936485963404,0.111350603618996,0.1260890097546408,-0.2456429800053846
13,73,2,low,medium,0.1058423760293399,-0.1026895530412104,0.1092099209103099,0.153136593215786,-0.210462283795954
13,75,2,low,medium,0.1136837343237204,-0.0741963205202147,0.1212456208082777,0.1282861775136939,-0.2361589489231561
13,81,2,low,medium,0.1068446385175196,-0.031335160374841,0.1071867629707502,0.1099370961510797,-0.2136493429568284
13,83,2,low,medium,0.1094972275577621,-0.0880012110387152,0.1065363823881714,0.1245749436028567,-0.1827172723085961
13,84,2,low,medium,0.1094247461144819,-0.0496592457120836,0.1040567574978795,0.1354889564314504,-0.173768112483356
13,88,2,low,medium,0.1308406304613529,-0.0697773301399056,0.1506232761954257,0.1787773505846901,-0.2377343026775418
13,89,2,low,medium,0.1106093567573708,-0.0193780494653421,0.1154974653037375,0.1607248380969494,-0.2012049690480883
13,91,2,low,medium,0.109864256441122,-0.0374089223984125,0.1092954457072196,0.1383126320021818,-0.2039616082419668
13,97,2,low,medium,0.1061788970097259,-0.0607203405618941,0.1074214041940074,0.1433985863667104,-0.1848020768420075
13,105,2,low,medium,0.1223887397419389,-0.0594033823320044,0.1210723429129946,0.191133061053617,-0.2408769361071083
13,108,2,low,medium,0.1241641636218264,0.0039673753852043,0.1645730501716493,0.1718337478830965,-0.2455067270314928
13,112,2,low,medium,0.1043880314027642,-0.1433207189081584,0.1043784375809449,0.1458237899450218,-0.2091092560292899
13,115,2,low,medium,0.1167274396790858,-0.0080615446162015,0.1068846401353447,0.1548095583860578,-0.189057750937287
13,117,2,low,medium,0.1192720648471442,-0.030739579723088,0.102087151151289,0.1227549539111447,-0.238758811983918
13,120,2,low,medium,0.1177139208497304,-0.0763808631534724,0.1097345845555851,0.1597618366102567,-0.1969879168778259
13,125,2,low,medium,0.1229479554366559,-0.0301175085439462,0.131121096693709,0.1864689816953603,-0.247758732365168
13,135,2,low,medium,0.1152056735596489,-0.1151415881220314,0.1136277687410243,0.1631716928733366,-0.1721098294055287
13,142,2,low,medium,0.1075970066228826,-0.0430634118279416,0.0900763270037895,0.1351307861455126,-0.1899885077037817
13,143,2,low,medium,0.1178194547679801,0.0356688830525306,0.1438150930186638,0.1589115091400271,-0.196103097987928
13,145,2,low,medium,0.1186217414896497,-0.1098783524966852,0.1265529841991619,0.1309654492142991,-0.2828783749376038
13,147,2,low,medium,0.1169174895187136,-0.0464076149322436,0.1082080263522399,0.1714740254348654,-0.2042288119333015
13,151,2,low,medium,0.1162035985544434,-0.083563309401393,0.1251092667052578,0.1560733388582171,-0.1804232343785228
13,155,2,low,medium,0.1114052641967028,-0.0282120147721556,0.1192548444504585,0.1336510836840967,-0.2165300064280362
13,158,2,low,medium,0.1113643725896667,-0.0329198639173899,0.1212637260785154,0.1378219272089552,-0.1777207957793511
13,168,2,low,medium,0.1141118533969397,-0.0726838768851541,0.1226697028118931,0.1494224388032738,-0.2310910176802042
13,169,2,low,medium,0.1147488002655244,-0.0410161056252149,0.1186679611828703,0.1299602120525484,-0.2400682772466633
13,171,2,low,medium,0.1118768017466089,-0.0359985528210611,0.1157268965721969,0.1683172829777501,-0.1893968414356104
13,185,2,low,medium,0.1187267524603808,-0.0371603611970644,0.1187347390731742,0.1788120532206945,-0.1998065977417531
13,190,2,low,medium,0.1097392710886807,-0.0346356201025885,0.1165833626587253,0.1734914304799202,-0.2102002560881563
13,191,2,low,medium,0.1155242372581922,-0.0240419908497632,0.1146014683488069,0.1304392354379214,-0.1791454600025078
13,192,2,low,medium,0.1134006410827651,-0.0962205830674233,0.1385756269793838,0.1618378358820003,-0.1936465307754958
13,194,2,low,medium,0.1105312028049764,-0.0725291962603883,0.1165676574997841,0.1603284846444714,-0.1896097042375832
13,197,2,low,medium,0.1016835537802249,-0.0559788314239941,0.093670070116283,0.1505773020525024,-0.2118158881034132
