exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
13,3,2,low,none,0.1135194638307317,-0.0475055771946015,0.1169250268083798,0.1106043626089895,-0.2204725186380046
13,5,2,low,none,0.111445749320982,-0.0632142486510635,0.1151320559918032,0.1634648325251881,-0.2221425179511384
13,12,2,low,none,0.1115802677560954,-0.0909149105851185,0.1107086096789194,0.1350083785055409,-0.1631289213187104
13,28,2,low,none,0.1156708770556577,-0.1418332573889318,0.1183463860920197,0.158991191192064,-0.1783116519463091
13,30,2,low,none,0.1137231998556521,-0.0308317453030574,0.115586324736608,0.1372571825500486,-0.2220012946805555
13,36,2,low,none,0.1336296217267294,-0.0137002577249975,0.1445634660733123,0.1553317440418595,-0.2125650175820772
13,38,2,low,none,0.1145545245871647,-0.0650728418840228,0.1164366341283623,0.0720729492452664,-0.2365745175302249
13,59,2,low,none,0.1131334149149386,-0.0822693064271777,0.1249444265673694,0.0793414155410324,-0.2074397419990539
13,93,2,low,none,0.1344948032293134,-0.0124869973968225,0.1828873294981026,0.1355704063715386,-0.165139872881545
13,96,2,low,none,0.1164264652629951,-0.0459325995912518,0.1192076019825709,0.1302311318957011,-0.2253016766905533
13,106,2,low,none,0.1056235680897967,-0.0583929290031401,0.0993690616641187,0.1074315887669753,-0.2443279034958669
13,110,2,low,none,0.1167695937168823,-0.0566828944967049,0.1114757303175311,0.1511992701657359,-0.1737038189156388
13,116,2,low,none,0.1211863203240144,-0.0297295813077557,0.1174339276040854,0.1665887457458695,-0.1773733194011836
13,141,2,low,none,0.1161920802983295,-0.0422134703211271,0.1060531753750452,0.0867458326249523,-0.1620149546911484
13,154,2,low,none,0.1177179917856563,-0.0780022041941006,0.1076905952963739,0.1258107747796127,-0.2031111756123698
13,163,2,low,none,0.1184177628163465,-0.0437859512120186,0.1293947768436882,0.1473817338179536,-0.170474607622953
13,181,2,low,none,0.1167472239333212,-0.0764560559002349,0.119288705446697,0.1534491828156083,-0.1888815837452795
13,189,2,low,none,0.1169438996647246,-0.0408766392173101,0.1205457736210066,0.1449640505448174,-0.23803040886589
13,196,2,low,none,0.1111951958462176,-0.0733367537133549,0.1110047648172674,0.130817743532839,-0.2297773421616208
13,201,2,low,none,0.1182078144278968,-0.0217458093896214,0.1242984251532322,0.1368449843436994,-0.1891028661571214
13,204,2,low,none,0.1543825076512492,0.1025974156485298,0.2657552225460404,0.1550806544179753,-0.3059224520504808
13,211,2,low,none,0.1143134015630424,-0.0130803038715721,0.108671789348362,0.1488886764107004,-0.1791317383012123
13,216,2,low,none,0.1169332152355309,-0.0600541439549615,0.1292769372189851,0.1469150383627917,-0.2441451273582419
21,3,2,low,none,0.116683966119764,-0.0449050372903814,0.1158556013848293,0.153974440023688,-0.1278361652985205
21,5,2,low,none,0.1139425558814318,-0.0500989079279597,0.1077359196632447,0.1608013840743033,-0.1430082287312147
21,12,2,low,none,0.1177242196638347,-0.1121711217178565,0.1172477066385803,0.1214742540464886,-0.1887683465356084
21,28,2,low,none,0.1141973846342814,-0.0657652911463739,0.1172297944272449,0.116412899054311,-0.157385084352844
21,30,2,low,none,0.1192393294857443,-0.0464631102550047,0.1401748945886481,0.1210875147485101,-0.1685119653133114
21,36,2,low,none,0.133218190249121,-0.0274033429982706,0.1217921183085166,0.140078278597951,-0.1428050452710256
21,38,2,low,none,0.1213149192331233,-0.0804062397877911,0.1277249020768746,0.1331886186901993,-0.1190721368506593
21,59,2,low,none,0.1179023821642367,-0.0695153447467753,0.1010561133799278,0.0908512848016609,-0.1283043923757997
21,93,2,low,none,0.1418676363379561,-0.0068864181545642,0.1721163483911859,0.1052331947568456,-0.1303659307998685
21,96,2,low,none,0.1039738306508964,-0.0639720331583748,0.097228326469146,0.0726127400177064,-0.2061964980651517
21,106,2,low,none,0.1218134609615396,-0.1184928173464487,0.1194600447792119,0.1200060957189811,-0.1540852767465822
21,110,2,low,none,0.113684659300819,-0.0542976950452855,0.13246311988512,0.1515814391062832,-0.1131155607256797
21,116,2,low,none,0.1046064006772466,-0.0159422028238551,0.1177238355453904,0.1352881338565544,-0.2013035545005129
21,141,2,low,none,0.1210548928451257,-0.0005333860830728,0.1084808229107375,0.1516738472061654,-0.1987701276561173
21,154,2,low,none,0.112108291937755,-0.1421139455688463,0.1089234488818372,0.1550183259979655,-0.1119928554093241
21,163,2,low,none,0.108140663584159,-0.0840857067972715,0.1192502981752999,0.1156292863487218,-0.1446690062101936
21,181,2,low,none,0.1302068955534646,0.0301234904612645,0.1545363158214322,0.2075953421933555,-0.1349354986339483
21,189,2,low,none,0.1169174531498951,-0.0117501771306846,0.1313771537593926,0.1019769561519534,-0.1780601463674305
21,196,2,low,none,0.1128019414556635,-0.0469488473305076,0.1063532494298447,0.1363066593338215,-0.1471170450052343
21,201,2,low,none,0.1271733263382165,-0.0075196487095907,0.1445798670646428,0.1255745937585068,-0.1102378184128559
21,204,2,low,none,0.1427270537321903,0.0093092289735295,0.1762052722235375,0.1432518273477894,-0.0411542332046562
21,211,2,low,none,0.1176297769316657,-0.0455941731846751,0.1153597441899628,0.1743174556745886,-0.1272542519370247
21,216,2,low,none,0.1248976625905958,0.0051804089992604,0.1286377123857178,0.1155597351428073,-0.1113867637078677
27,3,2,low,none,0.1223488220412918,-0.0793682770872443,0.1244523314672032,0.1793999161732151,-0.1072076407741258
27,5,2,low,none,0.1209121770518071,-0.094808352914091,0.1268229413766348,0.1562475872096457,-0.1696238615741065
27,12,2,low,none,0.1379427571690533,0.0409717319962235,0.1859400602074883,0.1314203030860453,-0.2347010719661728
27,28,2,low,none,0.1256965397200997,-0.0515277934405915,0.165771048971918,0.1735082909024125,-0.2183810474016125
27,30,2,low,none,0.1108140144332432,-0.0389165618585671,0.1012448399896367,0.1947731954193792,-0.0895699516146237
27,36,2,low,none,0.1252363435362656,-0.0402419781105473,0.1172669509576495,0.1872438494792078,-0.155604607343314
27,38,2,low,none,0.1201277907923336,-0.024501982283022,0.138527392930566,0.1026887642953026,-0.0914713778710234
27,59,2,low,none,0.1135854133454504,0.043445787881497,0.1575970655383899,0.1538797178640086,-0.1925432197463672
27,93,2,low,none,0.1295534709694149,-0.1166416106699249,0.147225665896198,0.1487563463118524,-0.1705337927732602
27,96,2,low,none,0.1258847530721797,0.0886780020241414,0.1398283397771641,0.2116098826469122,-0.2695039024703025
27,106,2,low,none,0.1068209474247101,-0.090060026996311,0.0908091387553848,0.202962796619316,-0.0822698792675097
27,110,2,low,none,0.1047833638639592,-0.0131850825466919,0.1004094087620877,0.1450490981372987,-0.0831210300873175
27,116,2,low,none,0.1326013911289918,-0.0361820792364324,0.1472474769271265,0.1688138946762962,-0.2793601052157219
27,141,2,low,none,0.1285164199273921,0.1097839401154155,0.1382623185747057,0.1008951409710021,-0.261184877474048
27,154,2,low,none,0.1390195477389597,-0.0723705339536499,0.1958855907426283,0.1776000443886347,-0.1374194285076517
27,163,2,low,none,0.1231785234440795,0.1065899920755545,0.1361479639413744,0.1508893754824761,-0.1424595088151525
27,181,2,low,none,0.1232454394833291,-0.0753184096999844,0.1220330277011439,0.1581772344533145,-0.1272436531403595
27,189,2,low,none,0.1145487171429338,-0.099611643015958,0.1230887862357762,0.1712626033125717,-0.2215129637732893
27,196,2,low,none,0.1258526095928459,-0.0124413514725879,0.1689357078331166,0.1492237853571959,-0.1104789611042246
27,201,2,low,none,0.1197999504004225,-0.1165288780001402,0.1302883290982689,0.1643385674941323,-0.1198335649003787
27,204,2,low,none,0.118346323564217,-0.1044706957865551,0.1126739961546838,0.1591271325873612,-0.1086427573190674
27,211,2,low,none,0.1254662235750158,0.0390671838172482,0.1472697933473536,0.1083067674525279,-0.1528366423667276
27,216,2,low,none,0.1153967816660157,-0.0500379012201696,0.1090178502987908,0.1597251553113787,-0.0200120610930295
29,3,2,low,none,0.1054685109618206,-0.0882617437111259,0.0959300191588965,0.136261795045531,-0.1747965815761449
29,5,2,low,none,0.1133107263609208,-0.113974623976979,0.1080710146523731,0.1144538374133801,-0.2427357980813321
