exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
4,3,5,medium,none,0.1185872935282591,-0.032599975966469,0.1331520491478928,0.1368436424505901,-0.1702327780626826
4,5,5,medium,none,0.1277504331521456,-0.0096708616809833,0.1324947375229923,0.1133740409989387,-0.1005433484015748
4,12,5,medium,none,0.1182014145977081,-0.0626978398668456,0.1071754374238767,0.1350591969956419,-0.1612809153962211
4,28,5,medium,none,0.1155516491570276,-0.0326722995226427,0.1060412393334001,0.139458567630474,-0.2537981332145194
4,30,5,medium,none,0.1124468713870242,-0.0841907424200479,0.0891601350668326,0.1340198119466897,-0.140964625135477
4,36,5,medium,none,0.112451413484229,-0.0381131489185294,0.1201086043499924,0.1309415487507167,-0.1350001412617688
4,93,5,medium,none,0.1223279361279543,-0.0247930496756988,0.1355164856182837,0.0981550485417578,-0.1466059346780773
4,96,5,medium,none,0.1136537677144877,-0.0634725258992964,0.1110292680060932,0.1226839924953837,-0.2485661109401621
4,110,5,medium,none,0.1147448841757109,-0.0025868871325902,0.1193354469158646,0.1309770747449518,-0.1937939985303847
4,154,5,medium,none,0.1098886673901151,-0.0989057196966645,0.1100997729474302,0.1548411243907617,-0.1330500543767295
4,163,5,medium,none,0.1148793198270554,-0.0498587050736958,0.1153730320845481,0.1208642176578833,-0.1430238444238829
4,181,5,medium,none,0.1142251181550784,-0.0676786364588091,0.1057128706714395,0.1340404083180482,-0.151963604816272
4,189,5,medium,none,0.1089965363404044,-0.0571162716837326,0.1155877968055666,0.138094651685641,-0.1680849420284398
4,196,5,medium,none,0.1166839620911749,-0.040480605368052,0.1286137172139874,0.1619061924963825,-0.1482338586303527
4,201,5,medium,none,0.1200372994241685,-0.0283625362353103,0.1219221696697127,0.2031203677581985,-0.136382972853856
4,204,5,medium,none,0.150907652830969,-0.0568354554448876,0.1403213634207872,0.1977432818272044,-0.1912961663364633
4,211,5,medium,none,0.1065492677663523,-0.0667763711219847,0.1097880499160754,0.1765925937171287,-0.1388821112727448
6,3,5,medium,none,0.1213376524010657,-0.0701950415015036,0.1277093359938962,0.1457780803385969,-0.0880072618596661
6,5,5,medium,none,0.1183409691342772,-0.0527663457939402,0.1042534052269111,0.1362951411806534,-0.0684519878381423
6,12,5,medium,none,0.1149633886805792,-0.0408609123861199,0.1082121175778841,0.1165746069067581,-0.1593655924297949
6,28,5,medium,none,0.1100666352709898,-0.0798525472478687,0.0985124327775704,0.1592304070652788,-0.2575941774083062
6,30,5,medium,none,0.1213895085002332,-0.0269358344732401,0.1196916833168815,0.1332158964184514,-0.0794162139748076
6,36,5,medium,none,0.1078199930181845,-0.1226423986391115,0.1081632732583927,0.1529870452431277,-0.1116762037976832
