exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
48,68,5,high,high,0.1135311298112973,-0.0270982911536026,0.1095408430804243,0.1402810232680285,-0.1532817793360437
48,69,5,high,high,0.1232032177695131,-0.0187949817259656,0.1416513759747981,0.169658545364461,-0.248817377507362
48,80,5,high,high,0.1049541649668711,-0.1267608138398849,0.1214925314560715,0.0891677739174602,-0.0669619044147908
48,82,5,high,high,0.1219182172472911,-0.0174450049089839,0.1464081048082282,0.1308871879463642,-0.2681031510402852
48,86,5,high,high,0.1088539479996049,-0.0336745660775864,0.1193553135183326,0.1239357581821419,-0.2482366821276473
48,87,5,high,high,0.1178987658929788,-0.1099721917664471,0.1289605622470361,0.1913487939880043,-0.2665517893705128
48,118,5,high,high,0.1036011936202939,-0.0567467211106835,0.0777085702468104,0.1605776422492746,-0.2862602165944042
48,178,5,high,high,0.1111476696676266,-0.0436513589162439,0.1092206152414828,0.1672049110524706,-0.0535742747819374
68,69,5,high,high,0.1180660123643032,-0.0995781120940871,0.1321640723567029,0.1642500073648626,-0.1739920442216669
68,80,5,high,high,0.1056694307354257,-0.1774016055037235,0.1074940525069829,0.1506171573671915,-0.113639782866232
68,82,5,high,high,0.1044240098161807,-0.0242080234606789,0.103955356753225,0.1212048332054981,-0.2108802503486221
68,86,5,high,high,0.121651416110003,-0.052860581563253,0.1349327169099528,0.1798003503254531,-0.175218006595454
68,87,5,high,high,0.1131523384404139,-0.0808884825399302,0.1222995917663148,0.195879346770224,-0.242904727172193
68,118,5,high,high,0.1155278035781762,-0.0375429502004613,0.1101485038712074,0.1738580202337089,-0.165534668633888
68,178,5,high,high,0.1188220094123031,-0.0820398249455212,0.1089790161178253,0.186474444799,-0.1607231241936405
69,80,5,high,high,0.1195310009909336,-0.0861604667679026,0.1332584472877773,0.1257917879932217,-0.1521922512158878
69,82,5,high,high,0.1099141500114067,-0.0624225121661565,0.1209733305537187,0.1706045973679206,-0.1882495114536748
69,86,5,high,high,0.1141796348538638,-0.0594728458459303,0.1024821892929606,0.1742487674539237,-0.1980490086291073
69,87,5,high,high,0.1177276288339321,-0.0322645872225989,0.1118796123315268,0.1273436185094131,-0.1981011051214289
69,118,5,high,high,0.1163001755460799,-0.069472805566523,0.132959650303704,0.1448415953154875,-0.2417780061194311
69,178,5,high,high,0.1153644321547682,-0.0793733506720011,0.1153771572278694,0.1454089137682411,-0.1994917527269265
80,82,5,high,high,0.1048000437005542,-0.1581406440710777,0.1054104298577442,0.1821833545852629,-0.2402921550324709
80,86,5,high,high,0.1237522206556395,-0.0655765839708887,0.1495142276074873,0.154208384848834,-0.2370366767005215
80,87,5,high,high,0.1141176671236051,-0.0263012045227648,0.1176866756155109,0.1427612557956872,-0.2076559181510674
80,118,5,high,high,0.1075135326752745,-0.0108464245380233,0.0980271059397169,0.1472789623146302,-0.2157364019899512
80,178,5,high,high,0.1265364587992176,-0.1285092476657544,0.1490361908709998,0.0921015254162992,-0.0942142703339414
82,86,5,high,high,0.1094016697501448,-0.0428411377655344,0.1176458859281038,0.147911702925252,-0.208052492860167
82,87,5,high,high,0.1154928590138451,-0.0877286497625515,0.1096315376213069,0.1120939248388349,-0.1946152144355051
82,118,5,high,high,0.1013881282612478,-0.0034081544266633,0.1100087285142397,0.1517909856777886,-0.2224335965087417
82,178,5,high,high,0.1163841570191909,-0.0417472657841886,0.1169673602164338,0.1352917995121837,-0.2249451738939177
86,87,5,high,high,0.1082896879190745,-0.0385138913401467,0.1108274006401455,0.1269174613431296,-0.2243099312708777
86,118,5,high,high,0.122592497968522,-0.0337870226638823,0.1248035042678976,0.1295414480794857,-0.1812165552866697
86,178,5,high,high,0.1147209787092802,0.0171048053474969,0.1334943140323177,0.1560511778539608,-0.2446051151020565
87,118,5,high,high,0.1321493773612561,-0.1127035269623977,0.1416300652053104,0.1473723778210965,-0.2611739614325721
87,178,5,high,high,0.1168352224162029,-0.0769657398692602,0.1119806803599414,0.1743024630778326,-0.3076269058639318
118,178,5,high,high,0.1043768901210663,-0.0484469851568031,0.0966249169503939,0.1443142191540991,-0.2011058451048971
