exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
13,4,2,low,medium,0.9932915575353388,0.7748951672943165,0.991369068246276,0.9002302295428666,0.645497311827957
13,6,2,low,medium,0.9921634495632172,0.7113822059629087,0.9888220226052776,0.9207432021103532,0.6296296296296298
13,14,2,low,medium,0.9919509545372271,0.7193067745986121,0.9899616213723932,0.9534774995701322,0.6461538461538462
13,15,2,low,medium,0.9929581979354996,0.6959829160729012,0.9907428535921642,0.8928471647007985,0.6499999999999999
13,16,2,low,medium,0.991757945041752,0.675309650223733,0.9886622228053163,0.9368536036624888,0.6274509803921569
13,17,2,low,medium,0.9917913512479408,0.7329267060910221,0.9894679534871073,0.9052264921015266,0.6530100334448161
13,18,2,low,medium,0.9908593947045816,0.7094492440870723,0.9893959066359794,0.8980947609209415,0.6516683518705764
13,20,2,low,medium,0.9927500871638372,0.7576804056933165,0.9896327309746972,0.9213401454122,0.6428571428571428
13,24,2,low,medium,0.992883181335217,0.7157567838920204,0.9913841769065754,0.8803002296918941,0.5662650602409638
13,25,2,low,medium,0.99393506915174,0.712433954017918,0.9925851125655047,0.9490311526785036,0.6516683518705764
13,32,2,low,medium,0.9929968475068898,0.7458796710784277,0.989865101009104,0.9255688591230984,0.6415094339622642
13,33,2,low,medium,0.9921676075487004,0.7533661257742315,0.9890789526310408,0.927828603623651,0.6511627906976745
13,40,2,low,medium,0.9913824212102196,0.7396248786430664,0.9893226309590591,0.9142637625132084,0.5976190476190476
13,42,2,low,medium,0.9919962246388968,0.6891854101508518,0.9898437398332908,0.9081327464033728,0.6153846153846154
13,50,2,low,medium,0.9906174993494608,0.7359374569712267,0.9881099893648204,0.873399668226937,0.5714285714285714
13,51,2,low,medium,0.9933914247472134,0.6898774125365017,0.9903782408696288,0.8668148737066854,0.6295031055900621
13,53,2,low,medium,0.9897787175927424,0.7214984999591882,0.9880693746593494,0.8825990311405449,0.6363636363636365
13,54,2,low,medium,0.991453066492118,0.67800160329175,0.9900081591418368,0.8503901571639996,0.6394444444444445
13,55,2,low,medium,0.992799202022392,0.7646260050825394,0.9898358170580184,0.9110844867819352,0.6122448979591837
13,57,2,low,medium,0.9920749953397916,0.7277317456691936,0.9875624984951792,0.8628961932447881,0.6199346405228758
13,58,2,low,medium,0.9924686740953034,0.75326661284574,0.9910348919860992,0.9272805350973652,0.5873015873015872
13,61,2,low,medium,0.9918117504726764,0.7462301147655347,0.9894325045539072,0.907619478019272,0.657142857142857
13,62,2,low,medium,0.991857256707322,0.7334587582000545,0.9883624145241992,0.884874524119161,0.657142857142857
13,66,2,low,medium,0.991862772729801,0.7144453188939839,0.9872217635134748,0.8649798219440294,0.5555555555555556
13,72,2,low,medium,0.9919062204726607,0.7195268037274849,0.9905168580525636,0.913757353017834,0.5999999999999999
13,73,2,low,medium,0.9920503676227244,0.6969094011285389,0.9889697947746764,0.9347883014879472,0.6304347826086957
13,75,2,low,medium,0.990391305039624,0.7220364048620109,0.987610277513872,0.9134373414760768,0.5945945945945945
13,81,2,low,medium,0.9915893728416172,0.766489320571766,0.9878578898868324,0.8839343088445666,0.6226415094339623
13,83,2,low,medium,0.9921757144211762,0.7265747996931033,0.9897696804575622,0.8937189234968359,0.6499999999999999
13,84,2,low,medium,0.9928838785861612,0.7388030846985554,0.990864737831121,0.9122515190869334,0.6578397212543554
13,88,2,low,medium,0.9919825890161292,0.6102317351509601,0.9897015293211006,0.9106823359849,0.5941722972972973
13,89,2,low,medium,0.9922966898368778,0.7487682870063812,0.9892615166108202,0.9160697074621248,0.6363636363636365
13,91,2,low,medium,0.9916850459162118,0.8014199045740582,0.9876671831312128,0.927725141476317,0.6237254901960785
13,97,2,low,medium,0.9925607948910636,0.7411945254727279,0.9897564418661714,0.9152684869806152,0.632996632996633
13,105,2,low,medium,0.9912918678481184,0.6934983815419408,0.9893223489997902,0.951914228056508,0.5947473404255319
