"random_effect","experiment","dimension","AIC","BIC"
"exp_a","fix_expertise","Shape",-12610.1493537528,-12568.2759363148
"exp_a","fix_expertise","Length",-11862.6705554502,-11820.7971380122
"exp_a","fix_expertise","Direction",-4457.37248222158,-4415.49906478358
"exp_a","fix_expertise","Position",-5499.32290339134,-5457.44948595335
"exp_a","fix_expertise","Duration",-5250.59940928209,-5208.7259918441
"exp_a","fix_expertise_rendering","Shape",-3934.86924141805,-3902.26647316934
"exp_a","fix_expertise_rendering","Length",-3692.06050748578,-3659.45773923708
"exp_a","fix_expertise_rendering","Direction",-1395.97203428719,-1363.36926603848
"exp_a","fix_expertise_rendering","Position",-1702.99760939738,-1670.39484114867
"exp_a","fix_expertise_rendering","Duration",-1622.7001497234,-1590.09738147469
"exp_a","fix_rendering_mean_diff","Shape",-7828.45535440007,-7804.41015786985
"exp_a","fix_rendering_mean_diff","Length",-7345.43974419807,-7321.39454766785
"exp_a","fix_rendering_mean_diff","Direction",-2436.4968232044,-2412.45162667419
"exp_a","fix_rendering_mean_diff","Position",-3525.04385099525,-3500.99865446504
"exp_a","fix_rendering_mean_diff","Duration",-3340.55650968427,-3316.51131315406
"exp_a","fix_rendering_pairtype","Shape",-7828.45535440006,-7804.41015786985
"exp_a","fix_rendering_pairtype","Length",-7345.43974419807,-7321.39454766785
"exp_a","fix_rendering_pairtype","Direction",-2436.4968232044,-2412.45162667419
"exp_a","fix_rendering_pairtype","Position",-3525.04385099525,-3500.99865446504
"exp_a","fix_rendering_pairtype","Duration",-3340.55650968427,-3316.51131315406
"exp_b","fix_expertise","Shape",-12486.7466667938,-12444.8732493558
"exp_b","fix_expertise","Length",-11655.9456642119,-11614.0722467739
"exp_b","fix_expertise","Direction",-4176.9539877507,-4135.0805703127
"exp_b","fix_expertise","Position",-5424.79481729584,-5382.92139985785
"exp_b","fix_expertise","Duration",-5164.82900980689,-5122.95559236889
"exp_b","fix_expertise_rendering","Shape",-3923.35688926976,-3890.75412102105
"exp_b","fix_expertise_rendering","Length",-3675.49982355582,-3642.89705530711
"exp_b","fix_expertise_rendering","Direction",-1384.25280370183,-1351.65003545312
"exp_b","fix_expertise_rendering","Position",-1711.61325747651,-1679.0104892278
"exp_b","fix_expertise_rendering","Duration",-1641.76288250779,-1609.16011425908
"exp_b","fix_rendering_mean_diff","Shape",-7829.54672697262,-7805.50153044241
"exp_b","fix_rendering_mean_diff","Length",-7350.61953264144,-7326.57433611122
"exp_b","fix_rendering_mean_diff","Direction",-2429.53194677658,-2405.48675024637
"exp_b","fix_rendering_mean_diff","Position",-3548.08932386533,-3524.04412733512
"exp_b","fix_rendering_mean_diff","Duration",-3296.26701070823,-3272.22181417801
"exp_b","fix_rendering_pairtype","Shape",-7829.54672697262,-7805.50153044241
