"experiment","dimension","comparison","chisq","df","p_value","significant"
"fix_expertise","Shape","exp_a_vs_both",236.22226684327,1,2.62087743803232e-53,"Yes"
"fix_expertise","Shape","exp_b_vs_both",359.62495380224,1,3.39820290567535e-80,"Yes"
"fix_expertise","Length","exp_a_vs_both",190.735593953237,1,2.19668793671372e-43,"Yes"
"fix_expertise","Length","exp_b_vs_both",397.460485191512,1,1.96679661132674e-88,"Yes"
"fix_expertise","Direction","exp_a_vs_both",178.546585249101,1,1.00639086144353e-40,"Yes"
"fix_expertise","Direction","exp_b_vs_both",458.96507971998,1,8.07436425650284e-102,"Yes"
"fix_expertise","Position","exp_a_vs_both",58.8456050252798,1,1.70542279960163e-14,"Yes"
"fix_expertise","Position","exp_b_vs_both",133.373691120781,1,7.48994454583411e-31,"Yes"
"fix_expertise","Duration","exp_a_vs_both",125.789660020576,1,3.41864102493332e-29,"Yes"
"fix_expertise","Duration","exp_b_vs_both",211.56005949578,1,6.27351438394314e-48,"Yes"
"fix_expertise_rendering","Shape","exp_a_vs_both",20.309216565402,1,6.58824626959557e-06,"Yes"
"fix_expertise_rendering","Shape","exp_b_vs_both",31.8215687136963,1,1.69005511635303e-08,"Yes"
"fix_expertise_rendering","Length","exp_a_vs_both",22.7085014959985,1,1.885319070051e-06,"Yes"
"fix_expertise_rendering","Length","exp_b_vs_both",39.2691854259615,1,3.69222528742208e-10,"Yes"
"fix_expertise_rendering","Direction","exp_a_vs_both",19.3598993555286,1,1.08256583581953e-05,"Yes"
"fix_expertise_rendering","Direction","exp_b_vs_both",31.0791299408916,1,2.47720595841667e-08,"Yes"
"fix_expertise_rendering","Position","exp_a_vs_both",14.3570753149038,1,0.000151210389375882,"Yes"
"fix_expertise_rendering","Position","exp_b_vs_both",5.74142723578166,1,0.0165693232949476,"Yes"
"fix_expertise_rendering","Duration","exp_a_vs_both",37.3957058004025,1,9.64342215780632e-10,"Yes"
"fix_expertise_rendering","Duration","exp_b_vs_both",18.3329730160117,1,1.85469155344729e-05,"Yes"
"fix_rendering_mean_diff","Shape","exp_a_vs_both",46.8652790732804,1,7.60379696068708e-12,"Yes"
"fix_rendering_mean_diff","Shape","exp_b_vs_both",45.7739065007227,1,1.32719701664624e-11,"Yes"
"fix_rendering_mean_diff","Length","exp_a_vs_both",53.6994992878181,1,2.33622793365031e-13,"Yes"
"fix_rendering_mean_diff","Length","exp_b_vs_both",48.5197108444509,1,3.26985786372632e-12,"Yes"
"fix_rendering_mean_diff","Direction","exp_a_vs_both",50.1853396862311,1,1.39889014151707e-12,"Yes"
"fix_rendering_mean_diff","Direction","exp_b_vs_both",57.150216114052,1,4.03763475339126e-14,"Yes"
"fix_rendering_mean_diff","Position","exp_a_vs_both",28.5750937501821,1,9.01341132719291e-08,"Yes"
"fix_rendering_mean_diff","Position","exp_b_vs_both",5.52962088010145,1,0.0186971562179536,"Yes"
"fix_rendering_mean_diff","Duration","exp_a_vs_both",68.5488451153396,1,1.23773542219908e-16,"Yes"
"fix_rendering_mean_diff","Duration","exp_b_vs_both",112.838344091385,1,2.3410439107842e-26,"Yes"
"fix_rendering_pairtype","Shape","exp_a_vs_both",46.8652790732822,1,7.60379696068002e-12,"Yes"
"fix_rendering_pairtype","Shape","exp_b_vs_both",45.7739065007254,1,1.32719701664439e-11,"Yes"
"fix_rendering_pairtype","Length","exp_a_vs_both",53.6994992878181,1,2.33622793365031e-13,"Yes"
"fix_rendering_pairtype","Length","exp_b_vs_both",48.5197108444509,1,3.26985786372632e-12,"Yes"
"fix_rendering_pairtype","Direction","exp_a_vs_both",50.1853396862339,1,1.39889014151512e-12,"Yes"
"fix_rendering_pairtype","Direction","exp_b_vs_both",57.1502161140525,1,4.03763475339032e-14,"Yes"
"fix_rendering_pairtype","Position","exp_a_vs_both",28.5750937501807,1,9.01341132719927e-08,"Yes"
"fix_rendering_pairtype","Position","exp_b_vs_both",5.52962088009963,1,0.0186971562179729,"Yes"
"fix_rendering_pairtype","Duration","exp_a_vs_both",68.5488451153396,1,1.23773542219908e-16,"Yes"
"fix_rendering_pairtype","Duration","exp_b_vs_both",112.838344091386,1,2.34104391078366e-26,"Yes"
