"random_effect","experiment","dimension","AIC","BIC"
"exp_a","fix_expertise","score",-2320.69132516334,-2281.62362447203
"exp_a","fix_expertise_rendering","score",-955.220555288389,-923.511920539441
"exp_a","fix_rendering_mean_diff","score",-1347.13180041594,-1324.4411012971
"exp_a","fix_rendering_pairtype","score",-1347.13180041594,-1324.4411012971
"exp_b","fix_expertise","score",-2217.46925978797,-2178.40155909666
"exp_b","fix_expertise_rendering","score",-966.524971236496,-934.816336487549
"exp_b","fix_rendering_mean_diff","score",-1373.21886221332,-1350.52816309448
"exp_b","fix_rendering_pairtype","score",-1373.21886221332,-1350.52816309449
"both","fix_expertise","score",-2354.78740827348,-2310.83624499576
"both","fix_expertise_rendering","score",-972.304101804624,-936.631887712058
"both","fix_rendering_mean_diff","score",-1375.58029274218,-1348.35145379957
"both","fix_rendering_pairtype","score",-1375.58029274218,-1348.35145379957
"none","fix_expertise","score",-2198.85551223719,-2164.67127413229
"none","fix_expertise_rendering","score",-952.826425788051,-925.081370382722
"none","fix_rendering_mean_diff","score",-1343.13888217008,-1324.98632287501
"none","fix_rendering_pairtype","score",-1343.13888217008,-1324.98632287501
