"random_effect","experiment","dimension","AIC","BIC"
"exp_a","within_stimulus_within_rectangle","Shape",-28704.7936764583,-28669.1267234748
"exp_a","within_stimulus_within_rectangle","Length",-25605.0788553091,-25569.4119023255
"exp_a","within_stimulus_within_rectangle","Direction",-9836.48154816121,-9800.81459517762
"exp_a","within_stimulus_within_rectangle","Position",-13968.2148078316,-13932.547854848
"exp_a","within_stimulus_within_rectangle","Duration",-9168.43271387757,-9132.76576089398
"exp_a","within_stimulus_within_vehicle","Shape",-30612.4009989449,-30576.368796541
"exp_a","within_stimulus_within_vehicle","Length",-27430.1166360493,-27394.0844336454
"exp_a","within_stimulus_within_vehicle","Direction",-9883.916719065,-9847.8845166611
"exp_a","within_stimulus_within_vehicle","Position",-13415.5616275223,-13379.5294251184
"exp_a","within_stimulus_within_vehicle","Duration",-9216.04085313663,-9180.00865073273
"exp_a","within_stimulus_between_rectangle","Shape",-55517.2347016326,-55484.2307077563
"exp_a","within_stimulus_between_rectangle","Length",-49625.4429834846,-49592.4389896082
"exp_a","within_stimulus_between_rectangle","Direction",-18361.466264427,-18328.4622705507
"exp_a","within_stimulus_between_rectangle","Position",-25688.2456232571,-25655.2416293807
"exp_a","within_stimulus_between_rectangle","Duration",-17588.7580309172,-17555.7540370409
"exp_a","within_stimulus_between_vehicle","Shape",-64005.8143197539,-63972.1665254061
"exp_a","within_stimulus_between_vehicle","Length",-57336.4697649756,-57302.8219706278
"exp_a","within_stimulus_between_vehicle","Direction",-19988.3172150291,-19954.6694206813
"exp_a","within_stimulus_between_vehicle","Position",-27628.3453530614,-27594.6975587136
"exp_a","within_stimulus_between_vehicle","Duration",-19631.4693514819,-19597.8215571341
"exp_a","within_group","Shape",-59061.996949054,-58995.3115496149
"exp_a","within_group","Length",-52835.1784991753,-52768.4930997362
"exp_a","within_group","Direction",-19549.0755338428,-19482.3901344037
"exp_a","within_group","Position",-27063.3970221968,-26996.7116227577
"exp_a","within_group","Duration",-18416.3780663259,-18349.6926668868
"exp_a","between_group_mean_diff","Shape",-118785.900173574,-118741.737791765
"exp_a","between_group_mean_diff","Length",-106272.730504451,-106228.568122642
"exp_a","between_group_mean_diff","Direction",-38009.3887944167,-37965.2264126076
"exp_a","between_group_mean_diff","Position",-52290.1967398866,-52246.0343580775
"exp_a","between_group_mean_diff","Duration",-37117.7092714744,-37073.5468896653
"exp_a","between_group_pairtype","Shape",-118784.125001795,-118725.241826049
"exp_a","between_group_pairtype","Length",-106271.774877241,-106212.891701496
"exp_a","between_group_pairtype","Direction",-38006.8749727098,-37947.9917969643
"exp_a","between_group_pairtype","Position",-52289.2395573361,-52230.3563815906
"exp_a","between_group_pairtype","Duration",-37114.5138199235,-37055.6306441781
