"experiment","dimension","comparison","chisq","df","p_value","significant"
"within_group","Shape","exp_a_vs_both",4039.78964318614,1,0,"Yes"
"within_group","Shape","exp_b_vs_both",3354.47493319368,1,0,"Yes"
"within_group","Length","exp_a_vs_both",3534.42586260804,1,0,"Yes"
"within_group","Length","exp_b_vs_both",2824.0705173198,1,0,"Yes"
"within_group","Direction","exp_a_vs_both",1030.23379711394,1,4.81531891316923e-226,"Yes"
"within_group","Direction","exp_b_vs_both",744.24221200843,1,7.1673462073689e-164,"Yes"
"within_group","Position","exp_a_vs_both",668.622655574407,1,1.99130368122662e-147,"Yes"
"within_group","Position","exp_b_vs_both",553.741241028176,1,1.93251625052802e-122,"Yes"
"within_group","Duration","exp_a_vs_both",2118.60641913214,1,0,"Yes"
"within_group","Duration","exp_b_vs_both",2554.71740742508,1,0,"Yes"
"between_group_mean_diff","Shape","exp_a_vs_both",7988.9222837441,1,0,"Yes"
"between_group_mean_diff","Shape","exp_b_vs_both",9129.04114510644,1,0,"Yes"
"between_group_mean_diff","Length","exp_a_vs_both",7135.33578399263,1,0,"Yes"
"between_group_mean_diff","Length","exp_b_vs_both",7263.44371450241,1,0,"Yes"
"between_group_mean_diff","Direction","exp_a_vs_both",3302.9810876613,1,0,"Yes"
"between_group_mean_diff","Direction","exp_b_vs_both",1391.76193350326,1,1.29593188358723e-304,"Yes"
"between_group_mean_diff","Position","exp_a_vs_both",1683.32635244532,1,0,"Yes"
"between_group_mean_diff","Position","exp_b_vs_both",1622.40570864209,1,0,"Yes"
"between_group_mean_diff","Duration","exp_a_vs_both",4904.50046773167,1,0,"Yes"
"between_group_mean_diff","Duration","exp_b_vs_both",4428.25989390989,1,0,"Yes"
"between_group_pairtype","Shape","exp_a_vs_both",7988.24685836855,1,0,"Yes"
"between_group_pairtype","Shape","exp_b_vs_both",9127.82413815569,1,0,"Yes"
"between_group_pairtype","Length","exp_a_vs_both",7134.35114741421,1,0,"Yes"
"between_group_pairtype","Length","exp_b_vs_both",7261.53719417308,1,0,"Yes"
"between_group_pairtype","Direction","exp_a_vs_both",3302.60147935793,1,0,"Yes"
"between_group_pairtype","Direction","exp_b_vs_both",1390.2700621386,1,2.73382356921811e-304,"Yes"
"between_group_pairtype","Position","exp_a_vs_both",1682.53544026963,1,0,"Yes"
"between_group_pairtype","Position","exp_b_vs_both",1621.8620702621,1,0,"Yes"
"between_group_pairtype","Duration","exp_a_vs_both",4904.23887518252,1,0,"Yes"
"between_group_pairtype","Duration","exp_b_vs_both",4427.30665767555,1,0,"Yes"
