"random_effect","experiment","dimension","AIC","BIC"
"exp_a","within_stimulus_within_rectangle","score",-11392.0752082093,-11356.4082552257
"exp_a","within_stimulus_within_vehicle","score",-10858.2299583297,-10822.1977559258
"exp_a","within_stimulus_between_rectangle","score",-21719.2384747172,-21686.2344808409
"exp_a","within_stimulus_between_vehicle","score",-21915.1598565422,-21881.5120621944
"exp_a","within_group","score",-22038.8513793657,-21972.1659799265
"exp_a","between_group_mean_diff","score",-41531.1496345659,-41486.9872527568
"exp_a","between_group_pairtype","score",-41532.68153066,-41473.7983549145
"exp_b","within_stimulus_within_rectangle","score",-11432.4223488164,-11396.7553958328
"exp_b","within_stimulus_within_vehicle","score",-10967.2506156522,-10931.2184132483
"exp_b","within_stimulus_between_rectangle","score",-21690.4684679753,-21657.464474099
"exp_b","within_stimulus_between_vehicle","score",-22565.4540726486,-22531.8062783009
"exp_b","within_group","score",-22186.7268251291,-22120.04142569
"exp_b","between_group_mean_diff","score",-41829.0065799585,-41784.8441981494
"exp_b","between_group_pairtype","score",-41833.4875685115,-41774.604392766
"both","within_stimulus_within_rectangle","score",-11707.8182185489,-11666.2067734013
"both","within_stimulus_within_vehicle","score",-11405.4808117559,-11363.4432422847
"both","within_stimulus_between_rectangle","score",-22527.4809466303,-22487.8761539787
"both","within_stimulus_between_vehicle","score",-23668.6763616539,-23628.2990084365
"both","within_group","score",-22728.736119718,-22655.382180335
"both","between_group_mean_diff","score",-43402.7075513989,-43351.1847726216
"both","between_group_pairtype","score",-43402.5565930793,-43336.3130203656
"none","within_stimulus_within_rectangle","score",-11192.0707919132,-11162.3483310936
"none","within_stimulus_within_vehicle","score",-10573.3467763365,-10543.3199409999
"none","within_stimulus_between_rectangle","score",-21058.9204123468,-21032.5172172457
"none","within_stimulus_between_vehicle","score",-21175.2016450871,-21148.2834096088
"none","within_group","score",-21627.851000825,-21567.8341413298
"none","between_group_mean_diff","score",-40143.1857563767,-40106.3837715358
"none","between_group_pairtype","score",-40180.6960398659,-40129.1732610886
