"random_effect","experiment","dimension","AIC","BIC"
"exp_a","within_stimulus_within_rectangle","score",-10766.1747885094,-10730.5078355258
"exp_a","within_stimulus_within_vehicle","score",-10707.6199927815,-10671.5877903776
"exp_a","within_stimulus_between_rectangle","score",-20147.5454843876,-20114.5414905113
"exp_a","within_stimulus_between_vehicle","score",-21305.6593545592,-21272.0115602114
"exp_a","within_group","score",-21336.6871399466,-21270.0017405075
"exp_a","between_group_mean_diff","score",-40886.7176688646,-40842.5552870555
"exp_a","between_group_pairtype","score",-40883.152473055,-40824.2692973095
"exp_b","within_stimulus_within_rectangle","score",-10676.2611431156,-10640.594190132
"exp_b","within_stimulus_within_vehicle","score",-11023.8975378387,-10987.8653354348
"exp_b","within_stimulus_between_rectangle","score",-20450.1698289089,-20417.1658350325
"exp_b","within_stimulus_between_vehicle","score",-23184.0759011794,-23150.4281068316
"exp_b","within_group","score",-21532.0571548906,-21465.3717554515
"exp_b","between_group_mean_diff","score",-43068.0309183689,-43023.8685365598
"exp_b","between_group_pairtype","score",-43064.9938470082,-43006.1106712627
"both","within_stimulus_within_rectangle","score",-12107.4346485849,-12065.8232034373
"both","within_stimulus_within_vehicle","score",-12092.7071005743,-12050.669531103
"both","within_stimulus_between_rectangle","score",-23524.425899706,-23484.8211070544
"both","within_stimulus_between_vehicle","score",-25643.1686940423,-25602.791340825
"both","within_group","score",-23447.82840272,-23374.474463337
"both","between_group_mean_diff","score",-46929.117625126,-46877.5948463487
"both","between_group_pairtype","score",-46925.2752447409,-46859.0316720272
"none","within_stimulus_within_rectangle","score",-9992.69374358102,-9962.97128276136
"none","within_stimulus_within_vehicle","score",-10174.1943902888,-10144.1675549522
"none","within_stimulus_between_rectangle","score",-18512.0737303023,-18485.6705352012
"none","within_stimulus_between_vehicle","score",-20183.8658752904,-20156.9476398122
"none","within_group","score",-20152.8155347837,-20092.7986752885
"none","between_group_mean_diff","score",-38661.959322882,-38625.1573380411
"none","between_group_pairtype","score",-38665.1988282425,-38613.6760494652
