"random_effect","experiment","dimension","AIC","BIC"
"exp_a","within_trial_within_2","Shape",7995.21566338954,8036.08557687842
"exp_a","within_trial_within_2","Length",7880.89181868813,7921.76173217701
"exp_a","within_trial_within_2","Direction",6195.7114033873,6236.58131687618
"exp_a","within_trial_within_2","Position",6152.92084104281,6193.79075453169
"exp_a","within_trial_within_2","Duration",7471.80698686322,7512.6769003521
"exp_a","within_trial_within_5","Shape",5946.65658379467,5985.74051215747
"exp_a","within_trial_within_5","Length",5861.92097804263,5901.00490640543
"exp_a","within_trial_within_5","Direction",4621.66987785608,4660.75380621888
"exp_a","within_trial_within_5","Position",4588.98921278209,4628.07314114489
"exp_a","within_trial_within_5","Duration",5581.13187712437,5620.21580548718
"exp_a","within_trial_between_2","Shape",16138.6972123081,16176.2841312977
"exp_a","within_trial_between_2","Length",15891.9022357202,15929.4891547097
"exp_a","within_trial_between_2","Direction",12441.9935272135,12479.580446203
"exp_a","within_trial_between_2","Position",12424.4686296111,12462.0555486006
"exp_a","within_trial_between_2","Duration",15071.9007772323,15109.4876962219
"exp_a","within_trial_between_5","Shape",11615.3516940657,11651.2911452814
"exp_a","within_trial_between_5","Length",11436.9377269907,11472.8771782063
"exp_a","within_trial_between_5","Direction",8920.94907466511,8956.8885258808
"exp_a","within_trial_between_5","Position",8928.56950221551,8964.5089534312
"exp_a","within_trial_between_5","Duration",10859.335883436,10895.2753346517
"exp_a","within_group","Shape",13937.872527146,14011.5425489659
"exp_a","within_group","Length",13738.8131128703,13812.4831346902
"exp_a","within_group","Direction",10813.3912684691,10887.0612902889
"exp_a","within_group","Position",10737.918703593,10811.5887254129
"exp_a","within_group","Duration",13048.975630355,13122.6456521749
"exp_a","between_group_mean_diff","Shape",27730.2224766571,27778.5782406792
"exp_a","between_group_mean_diff","Length",27304.9281099327,27353.2838739547
"exp_a","between_group_mean_diff","Direction",21337.8723569663,21386.2281209883
"exp_a","between_group_mean_diff","Position",21329.654850527,21378.010614549
"exp_a","between_group_mean_diff","Duration",25907.1616826528,25955.5174466748
"exp_a","between_group_pairtype","Shape",27746.8324729704,27811.3068249998
"exp_a","between_group_pairtype","Length",27321.5709156256,27386.045267655
"exp_a","between_group_pairtype","Direction",21354.1006317098,21418.5749837392
"exp_a","between_group_pairtype","Position",21346.7839761128,21411.2583281422
"exp_a","between_group_pairtype","Duration",25923.6420567379,25988.1164087673
"exp_b","within_trial_within_2","Shape",7995.21566338954,8036.08557687842
"exp_b","within_trial_within_2","Length",7880.89181868813,7921.76173217701
"exp_b","within_trial_within_2","Direction",6195.7114033873,6236.58131687618
"exp_b","within_trial_within_2","Position",6152.92084104281,6193.79075453169
"exp_b","within_trial_within_2","Duration",7471.80698686322,7512.6769003521
"exp_b","within_trial_within_5","Shape",5946.65658379467,5985.74051215747
"exp_b","within_trial_within_5","Length",5861.92097804263,5901.00490640543
"exp_b","within_trial_within_5","Direction",4621.66987785608,4660.75380621888
"exp_b","within_trial_within_5","Position",4588.98921278209,4628.07314114489
"exp_b","within_trial_within_5","Duration",5581.13187712437,5620.21580548718
"exp_b","within_trial_between_2","Shape",16138.6972123081,16176.2841312977
"exp_b","within_trial_between_2","Length",15891.9022357202,15929.4891547097
