"experiment","dimension","comparison","chisq","df","p_value","significant"
"within_trial_within_2","Shape","exp_a_vs_both",3532.81941985848,1,0,"Yes"
"within_trial_within_2","Shape","exp_b_vs_both",2840.18902044858,1,0,"Yes"
"within_trial_within_2","Length","exp_a_vs_both",3068.73068703698,1,0,"Yes"
"within_trial_within_2","Length","exp_b_vs_both",2312.14802508203,1,0,"Yes"
"within_trial_within_2","Direction","exp_a_vs_both",612.062717339437,1,3.98203483729385e-135,"Yes"
"within_trial_within_2","Direction","exp_b_vs_both",517.72024756029,1,1.32597182850472e-114,"Yes"
"within_trial_within_2","Position","exp_a_vs_both",462.843430919351,1,1.15642025363878e-102,"Yes"
"within_trial_within_2","Position","exp_b_vs_both",428.474131676805,1,3.49135900422766e-95,"Yes"
"within_trial_within_2","Duration","exp_a_vs_both",1393.53829260911,1,5.32812145203256e-305,"Yes"
"within_trial_within_2","Duration","exp_b_vs_both",1662.28185173755,1,0,"Yes"
"within_trial_within_5","Shape","exp_a_vs_both",2890.86873688001,1,0,"Yes"
"within_trial_within_5","Shape","exp_b_vs_both",2784.44687117335,1,0,"Yes"
"within_trial_within_5","Length","exp_a_vs_both",2217.27585922079,1,0,"Yes"
"within_trial_within_5","Length","exp_b_vs_both",2146.95328616135,1,0,"Yes"
"within_trial_within_5","Direction","exp_a_vs_both",625.908293386183,1,3.87913235551676e-138,"Yes"
"within_trial_within_5","Direction","exp_b_vs_both",449.003531299049,1,1.18843455420106e-99,"Yes"
"within_trial_within_5","Position","exp_a_vs_both",412.296766537213,1,1.15926506431926e-91,"Yes"
"within_trial_within_5","Position","exp_b_vs_both",388.148894524475,1,2.09347409186007e-86,"Yes"
"within_trial_within_5","Duration","exp_a_vs_both",894.392057182561,1,1.62526552473089e-196,"Yes"
"within_trial_within_5","Duration","exp_b_vs_both",1100.49766689266,1,2.57465899798829e-241,"Yes"
"within_trial_between_2","Shape","exp_a_vs_both",6709.73677192844,1,0,"Yes"
"within_trial_between_2","Shape","exp_b_vs_both",7135.30204009029,1,0,"Yes"
"within_trial_between_2","Length","exp_a_vs_both",5941.97777356666,1,0,"Yes"
"within_trial_between_2","Length","exp_b_vs_both",5862.21831735021,1,0,"Yes"
"within_trial_between_2","Direction","exp_a_vs_both",2301.36495735783,1,0,"Yes"
"within_trial_between_2","Direction","exp_b_vs_both",1142.09477640146,1,2.34412062194759e-250,"Yes"
"within_trial_between_2","Position","exp_a_vs_both",1052.29993939213,1,7.69892452940787e-231,"Yes"
"within_trial_between_2","Position","exp_b_vs_both",1244.16655466141,1,1.53750949061037e-272,"Yes"
"within_trial_between_2","Duration","exp_a_vs_both",3312.76026595398,1,0,"Yes"
"within_trial_between_2","Duration","exp_b_vs_both",3087.56049788757,1,0,"Yes"
"within_trial_between_5","Shape","exp_a_vs_both",5165.79835956848,1,0,"Yes"
"within_trial_between_5","Shape","exp_b_vs_both",5938.21264125038,1,0,"Yes"
"within_trial_between_5","Length","exp_a_vs_both",4401.72294770907,1,0,"Yes"
"within_trial_between_5","Length","exp_b_vs_both",4619.17484863622,1,0,"Yes"
"within_trial_between_5","Direction","exp_a_vs_both",1691.38105818728,1,0,"Yes"
"within_trial_between_5","Direction","exp_b_vs_both",846.554469121758,1,4.07975247977201e-186,"Yes"
"within_trial_between_5","Position","exp_a_vs_both",811.80620260875,1,1.46286233953912e-178,"Yes"
"within_trial_between_5","Position","exp_b_vs_both",770.244857557598,1,1.59044245750411e-169,"Yes"
"within_trial_between_5","Duration","exp_a_vs_both",2168.04312835319,1,0,"Yes"
"within_trial_between_5","Duration","exp_b_vs_both",1868.93747752965,1,0,"Yes"
"within_group","Shape","exp_a_vs_both",4145.2202886412,1,0,"Yes"
"within_group","Shape","exp_b_vs_both",3486.91901023765,1,0,"Yes"
"within_group","Length","exp_a_vs_both",3613.01394346457,1,0,"Yes"
"within_group","Length","exp_b_vs_both",2937.65751168909,1,0,"Yes"
"within_group","Direction","exp_a_vs_both",928.826077191206,1,5.31479544212294e-204,"Yes"
"within_group","Direction","exp_b_vs_both",650.372520830872,1,1.85393825314293e-143,"Yes"
"within_group","Position","exp_a_vs_both",601.072297866544,1,9.78511781214816e-133,"Yes"
"within_group","Position","exp_b_vs_both",549.771869572371,1,1.41129492637014e-121,"Yes"
"within_group","Duration","exp_a_vs_both",2186.17097791935,1,0,"Yes"
"within_group","Duration","exp_b_vs_both",2616.09597198779,1,0,"Yes"
"between_group_mean_diff","Shape","exp_a_vs_both",7846.60673338595,1,0,"Yes"
"between_group_mean_diff","Shape","exp_b_vs_both",9062.14966277461,1,0,"Yes"
"between_group_mean_diff","Length","exp_a_vs_both",7010.84999762551,1,0,"Yes"
"between_group_mean_diff","Length","exp_b_vs_both",7281.57458515286,1,0,"Yes"
"between_group_mean_diff","Direction","exp_a_vs_both",3367.57214037027,1,0,"Yes"
"between_group_mean_diff","Direction","exp_b_vs_both",1390.170647561,1,2.87325115897043e-304,"Yes"
"between_group_mean_diff","Position","exp_a_vs_both",1416.48369740209,1,5.50175777999498e-310,"Yes"
"between_group_mean_diff","Position","exp_b_vs_both",1360.70476146146,1,7.26866784853703e-298,"Yes"
"between_group_mean_diff","Duration","exp_a_vs_both",4852.20057622485,1,0,"Yes"
"between_group_mean_diff","Duration","exp_b_vs_both",4395.58785114962,1,0,"Yes"
"between_group_pairtype","Shape","exp_a_vs_both",7846.18012915716,1,0,"Yes"
"between_group_pairtype","Shape","exp_b_vs_both",9061.25419626514,1,0,"Yes"
"between_group_pairtype","Length","exp_a_vs_both",7010.0779313047,1,0,"Yes"
"between_group_pairtype","Length","exp_b_vs_both",7280.37635995499,1,0,"Yes"
"between_group_pairtype","Direction","exp_a_vs_both",3366.91950324168,1,0,"Yes"
"between_group_pairtype","Direction","exp_b_vs_both",1388.11214789281,1,8.04808273193157e-304,"Yes"
"between_group_pairtype","Position","exp_a_vs_both",1415.74191056586,1,7.97428984118258e-310,"Yes"
"between_group_pairtype","Position","exp_b_vs_both",1359.7825716825,1,1.15306234839042e-297,"Yes"
"between_group_pairtype","Duration","exp_a_vs_both",4852.00393744754,1,0,"Yes"
"between_group_pairtype","Duration","exp_b_vs_both",4394.59846496148,1,0,"Yes"
