"experiment","dimension","comparison","chisq","df","p_value","significant"
"within_trial_within_2","Shape","exp_a_vs_both",337.575774964251,1,2.15193505767371e-75,"Yes"
"within_trial_within_2","Shape","exp_b_vs_both",269.925795241528,1,1.17782797285075e-60,"Yes"
"within_trial_within_2","Length","exp_a_vs_both",322.564891548251,1,4.00146650488006e-72,"Yes"
"within_trial_within_2","Length","exp_b_vs_both",405.405244216878,1,3.66691124477988e-90,"Yes"
"within_trial_within_2","Direction","exp_a_vs_both",422.982914065193,1,5.47249214149318e-94,"Yes"
"within_trial_within_2","Direction","exp_b_vs_both",468.214999805565,1,7.8378936766439e-104,"Yes"
"within_trial_within_2","Position","exp_a_vs_both",310.637682904171,1,1.58602568812759e-69,"Yes"
"within_trial_within_2","Position","exp_b_vs_both",313.015783501663,1,4.81134655315495e-70,"Yes"
"within_trial_within_2","Duration","exp_a_vs_both",1213.22604635271,1,8.14560508107456e-266,"Yes"
"within_trial_within_2","Duration","exp_b_vs_both",1455.44945965653,1,1.87632792518068e-318,"Yes"
"within_trial_within_5","Shape","exp_a_vs_both",358.83219336468,1,5.05675167197863e-80,"Yes"
"within_trial_within_5","Shape","exp_b_vs_both",233.920178048487,1,8.32621834961371e-53,"Yes"
"within_trial_within_5","Length","exp_a_vs_both",178.273016353151,1,1.154783982287e-40,"Yes"
"within_trial_within_5","Length","exp_b_vs_both",144.104154155191,1,3.37146884336936e-33,"Yes"
"within_trial_within_5","Direction","exp_a_vs_both",602.878060885751,1,3.96095915730871e-133,"Yes"
"within_trial_within_5","Direction","exp_b_vs_both",341.715794474256,1,2.69900580689838e-76,"Yes"
"within_trial_within_5","Position","exp_a_vs_both",245.41818213596,1,2.59032124856228e-55,"Yes"
"within_trial_within_5","Position","exp_b_vs_both",312.623751226887,1,5.85687273342455e-70,"Yes"
"within_trial_within_5","Duration","exp_a_vs_both",803.054765867842,1,1.16923446551884e-176,"Yes"
"within_trial_within_5","Duration","exp_b_vs_both",986.768454492426,1,1.35003824989802e-216,"Yes"
"within_trial_between_2","Shape","exp_a_vs_both",1582.14792257719,1,0,"Yes"
"within_trial_between_2","Shape","exp_b_vs_both",586.117235585036,1,1.75173900104275e-129,"Yes"
"within_trial_between_2","Length","exp_a_vs_both",1099.87334568185,1,3.51894392697834e-241,"Yes"
"within_trial_between_2","Length","exp_b_vs_both",918.947882258235,1,7.46149907209277e-202,"Yes"
"within_trial_between_2","Direction","exp_a_vs_both",2001.4242855476,1,0,"Yes"
"within_trial_between_2","Direction","exp_b_vs_both",922.914237857105,1,1.02473059312788e-202,"Yes"
"within_trial_between_2","Position","exp_a_vs_both",909.438090695967,1,8.71174278968331e-200,"Yes"
"within_trial_between_2","Position","exp_b_vs_both",630.699842088536,1,3.52056396312557e-139,"Yes"
"within_trial_between_2","Duration","exp_a_vs_both",2934.0432478767,1,0,"Yes"
"within_trial_between_2","Duration","exp_b_vs_both",2708.13767479486,1,0,"Yes"
"within_trial_between_5","Shape","exp_a_vs_both",1046.05801810021,1,1.75039266383644e-229,"Yes"
