"random_effect","experiment","dimension","AIC","BIC"
"rand_a","within_trial_within_2","Shape",-23305.9966901743,-23269.2856597688
"rand_a","within_trial_within_2","Length",-11780.5906515267,-11743.8796211212
"rand_a","within_trial_within_2","Direction",-16997.5653709965,-16960.854340591
"rand_a","within_trial_within_2","Position",-14653.4092229687,-14616.6981925632
"rand_a","within_trial_within_2","Duration",-10694.5925778231,-10657.8815474176
"rand_a","within_trial_within_5","Shape",-17250.8264094802,-17215.9013642007
"rand_a","within_trial_within_5","Length",-8829.84952890447,-8794.92448362502
"rand_a","within_trial_within_5","Direction",-12375.7611592552,-12340.8361139757
"rand_a","within_trial_within_5","Position",-10891.9556539313,-10857.0306086518
"rand_a","within_trial_within_5","Duration",-7424.23122735611,-7389.30618207666
"rand_a","within_trial_between_2","Shape",-46652.6207870333,-46618.4996039466
"rand_a","within_trial_between_2","Length",-23766.8243577545,-23732.7031746678
"rand_a","within_trial_between_2","Direction",-33208.7539673367,-33174.63278425
"rand_a","within_trial_between_2","Position",-28854.8525699414,-28820.7313868546
"rand_a","within_trial_between_2","Duration",-21707.4594374587,-21673.338254372
"rand_a","within_trial_between_5","Shape",-33463.8448031035,-33431.3710877906
"rand_a","within_trial_between_5","Length",-17270.519377244,-17238.0456619311
"rand_a","within_trial_between_5","Direction",-23954.8922196958,-23922.4185043829
"rand_a","within_trial_between_5","Position",-21303.1167140367,-21270.6429987238
"rand_a","within_trial_between_5","Duration",-15021.3111475042,-14988.8374321913
"rand_a","within_group","Shape",-40467.0211576101,-40400.2826075958
"rand_a","within_group","Length",-20503.4927410172,-20436.754191003
"rand_a","within_group","Direction",-29208.9648927063,-29142.226342692
"rand_a","within_group","Position",-25385.7524197713,-25319.013869757
"rand_a","within_group","Duration",-18119.8147845172,-18053.0762345029
"rand_a","between_group","Shape",-80005.5079090397,-79961.311028101
"rand_a","between_group","Length",-41061.7322831101,-41017.5354021714
"rand_a","between_group","Direction",-56769.9417601906,-56725.7448792519
"rand_a","between_group","Position",-49801.5936856642,-49757.3968047255
"rand_a","between_group","Duration",-36645.4898838792,-36601.2930029406
"rand_b","within_trial_within_2","Shape",-23374.8567156483,-23338.1456852428
"rand_b","within_trial_within_2","Length",-11697.3047768071,-11660.5937464016
"rand_b","within_trial_within_2","Direction",-16952.5808357495,-16915.869805344
"rand_b","within_trial_within_2","Position",-14651.1934765314,-14614.4824461258
"rand_b","within_trial_within_2","Duration",-10451.79527791,-10415.0842475045
"rand_b","within_trial_within_5","Shape",-17376.8812480901,-17341.9562028107
"rand_b","within_trial_within_5","Length",-8864.40242758353,-8829.47738230409
"rand_b","within_trial_within_5","Direction",-12638.3922451526,-12603.4671998732
"rand_b","within_trial_within_5","Position",-10824.5139059082,-10789.5888606288
"rand_b","within_trial_within_5","Duration",-7240.0946792235,-7205.16963394406
"rand_b","within_trial_between_2","Shape",-47645.6090707892,-47611.4878877025
"rand_b","within_trial_between_2","Length",-23943.4283977493,-23909.3072146626
"rand_b","within_trial_between_2","Direction",-34283.4585111456,-34249.3373280589
"rand_b","within_trial_between_2","Position",-29130.0879594843,-29095.9667763975
"rand_b","within_trial_between_2","Duration",-21927.0632274605,-21892.9420443738
"rand_b","within_trial_between_5","Shape",-34104.9517227162,-34072.4780074033
"rand_b","within_trial_between_5","Length",-17404.274216499,-17371.8005011861
"rand_b","within_trial_between_5","Direction",-24551.664856172,-24519.1911408591
"rand_b","within_trial_between_5","Position",-21178.8974962132,-21146.4237809003
"rand_b","within_trial_between_5","Duration",-15278.0215893174,-15245.5478740045
"rand_b","within_group","Shape",-40598.1108782551,-40531.3723282408
"rand_b","within_group","Length",-20491.4896419761,-20424.7510919618
"rand_b","within_group","Direction",-29369.6714466926,-29302.9328966783
"rand_b","within_group","Position",-25390.923711613,-25324.1851615987
"rand_b","within_group","Duration",-17746.2986644129,-17679.5601143986
"rand_b","between_group","Shape",-81562.2183513726,-81518.0214704339
"rand_b","between_group","Length",-41037.651408087,-40993.4545271483
"rand_b","between_group","Direction",-58471.7430418453,-58427.5461609066
"rand_b","between_group","Position",-50061.5721770877,-50017.375296149
"rand_b","between_group","Duration",-37076.5454413491,-37032.3485604105
"rand_both","within_trial_within_2","Shape",-23644.6007188023,-23601.7711833292
"rand_both","within_trial_within_2","Length",-12103.2937330256,-12060.4641975525
"rand_both","within_trial_within_2","Direction",-17421.0741556263,-17378.2446201532
"rand_both","within_trial_within_2","Position",-14964.3422145569,-14921.5126790838
"rand_both","within_trial_within_2","Duration",-11908.1954072334,-11865.3658717603
"rand_both","within_trial_within_5","Shape",-17610.4913464428,-17569.7454602834
"rand_both","within_trial_within_5","Length",-9008.31653117319,-8967.57064501384
