exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration
1,3,2,high,none,0.1157280413701944,-0.111726462597495,0.1120693552019926,0.0900561013227605,-0.1477837699453243,0.8769395889718996,0.7704575914118367,0.8797755286677909,0.7696264643295008,0.8685629907245451
1,5,2,high,none,0.1239326019950158,-0.0729152267996964,0.1099294210724909,0.1438910765538742,-0.1362453785423772,0.8670514099321397,0.7799808574593219,0.8780322622970838,0.766859045354837,0.8332150755120742
1,12,2,high,none,0.1202781719228571,-0.0815198502276715,0.1443764201021045,0.1482776258710133,-0.1880285036450125,0.8711342149140312,0.6822744024002427,0.842912171003519,0.7360405093057936,0.8437397105415643
1,28,2,high,none,0.1099851615279547,-0.0215215554718696,0.1232275977530076,0.1691235619763617,-0.1854080497043042,0.8797712695749899,0.7154088264104954,0.8637671190763145,0.7306424668753068,0.807029671325926
1,30,2,high,none,0.1165346652227007,-0.1007949435920907,0.1200496972854262,0.1725090161086565,-0.2091373783606327,0.8722926330243913,0.835151239882852,0.8657300903214934,0.7759026390966539,0.8437527629760174
1,36,2,high,none,0.1083001736450091,-0.1115778886382357,0.1143159294211992,0.1203202394162119,-0.1195154546613794,0.8795052816600919,0.7918009083046116,0.8717220929172729,0.7614372453988636,0.8195154546613794
1,38,2,high,none,0.1050694300599852,-0.0934440491376517,0.0987412655492498,0.0768645257904844,-0.1179290426131285,0.8858432571576886,0.7682331582581344,0.8879888239213446,0.7765131553851919,0.829910609433405
1,59,2,high,none,0.108969991242705,-0.031006791232489,0.1095614455106989,0.1880583385599484,-0.1670140907035372,0.880166132355912,0.7601523506700025,0.8743557623971064,0.7491264396722954,0.8566692631173304
1,93,2,high,none,0.115442172621934,0.0193530004370889,0.0989997535648737,0.0914329017156743,-0.1747576111785043,0.873178003368967,0.711523640787272,0.8809820739019862,0.7665855832080617,0.8269315242219826
1,96,2,high,none,0.1124171701029926,-0.1143125058296118,0.1144156868773539,0.1474067105482301,-0.2102721127027084,0.8777632504842177,0.7711811047146855,0.8715556598779988,0.7435534540154358,0.82317533850916
