exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
13,3,2,low,none,0.11351946383073175,-0.04750557719460158,0.1169250268083798,0.11060436260898954,-0.22047251863800466
13,5,2,low,none,0.11144574932098206,-0.06321424865106351,0.1151320559918032,0.16346483252518818,-0.22214251795113849
13,12,2,low,none,0.11158026775609542,-0.09091491058511858,0.11070860967891949,0.13500837850554093,-0.16312892131871048
13,28,2,low,none,0.1156708770556577,-0.14183325738893182,0.11834638609201975,0.15899119119206406,-0.17831165194630916
13,30,2,low,none,0.11372319985565216,-0.030831745303057434,0.11558632473660801,0.1372571825500486,-0.22200129468055552
13,36,2,low,none,0.13362962172672943,-0.0137002577249975,0.14456346607331239,0.15533174404185957,-0.21256501758207724
13,38,2,low,none,0.11455452458716475,-0.06507284188402285,0.11643663412836236,0.07207294924526642,-0.23657451753022496
13,59,2,low,none,0.11313341491493867,-0.08226930642717778,0.12494442656736948,0.07934141554103247,-0.2074397419990539
13,93,2,low,none,0.1344948032293134,-0.012486997396822574,0.1828873294981026,0.1355704063715386,-0.16513987288154508
13,96,2,low,none,0.11642646526299516,-0.045932599591251844,0.11920760198257097,0.13023113189570112,-0.22530167669055334
13,106,2,low,none,0.10562356808979678,-0.05839292900314019,0.09936906166411874,0.10743158876697534,-0.24432790349586697
13,110,2,low,none,0.11676959371688234,-0.05668289449670494,0.11147573031753111,0.15119927016573598,-0.1737038189156388
13,116,2,low,none,0.12118632032401444,-0.029729581307755715,0.11743392760408544,0.16658874574586957,-0.17737331940118362
13,141,2,low,none,0.1161920802983295,-0.0422134703211271,0.10605317537504522,0.08674583262495239,-0.16201495469114846
13,154,2,low,none,0.11771799178565634,-0.07800220419410064,0.10769059529637393,0.12581077477961278,-0.2031111756123698
13,163,2,low,none,0.11841776281634653,-0.04378595121201867,0.12939477684368828,0.1473817338179536,-0.17047460762295308
13,181,2,low,none,0.11674722393332126,-0.07645605590023496,0.11928870544669701,0.15344918281560838,-0.18888158374527952
13,189,2,low,none,0.11694389966472463,-0.04087663921731011,0.1205457736210066,0.14496405054481742,-0.23803040886589
13,196,2,low,none,0.11119519584621762,-0.07333675371335491,0.1110047648172674,0.13081774353283904,-0.22977734216162082
13,201,2,low,none,0.11820781442789685,-0.02174580938962145,0.1242984251532322,0.1368449843436994,-0.18910286615712146
13,204,2,low,none,0.15438250765124928,0.10259741564852987,0.26575522254604045,0.15508065441797536,-0.30592245205048085
13,211,2,low,none,0.11431340156304248,-0.013080303871572108,0.10867178934836208,0.14888867641070047,-0.17913173830121232
13,216,2,low,none,0.11693321523553091,-0.06005414395496156,0.12927693721898514,0.14691503836279174,-0.2441451273582419
21,3,2,low,none,0.11668396611976406,-0.04490503729038142,0.11585560138482931,0.153974440023688,-0.1278361652985205
21,5,2,low,none,0.11394255588143187,-0.05009890792795979,0.1077359196632447,0.16080138407430333,-0.14300822873121477
