exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
48,10,5,high,low,0.11144306490246714,-0.030288026174986715,0.10132109299732239,0.15489149601809604,-0.16998336039782513
48,13,5,high,low,0.13113522002879185,0.046064789157647446,0.16620643124108114,0.1780596608965126,-0.2569108476170967
48,21,5,high,low,0.12319703384264613,0.018647700038888826,0.12004062563188655,0.18530590560278015,-0.12568908655125288
48,27,5,high,low,0.1080261237878879,-0.061228535653795824,0.10334216257047824,0.08717445880357366,-0.07171217832289878
48,29,5,high,low,0.11045908189525,-0.11148589757752436,0.10140683084773516,0.12498204652180844,-0.1581082990099889
48,31,5,high,low,0.11873665972782144,-0.0489995777174993,0.13650413707523512,0.13162301496822015,-0.13273199214303977
48,34,5,high,low,0.12045830306727301,-0.010524137865018712,0.12388112272842633,0.09611085949779896,-0.17929259692533417
48,35,5,high,low,0.11098976108738245,-0.05559605927463229,0.11772507426042156,0.14885413314409635,-0.3728898513734883
48,37,5,high,low,0.10599646430352672,-0.04200429926080329,0.10103153279727484,0.1737423586380642,-0.17958470772505075
48,41,5,high,low,0.1172351121191969,-0.006369081853402125,0.13068792359466674,0.14292990636024316,-0.16354967582642344
48,43,5,high,low,0.1058789396122185,-0.1042765230382684,0.1056392314050717,0.14311451751415227,-0.18313257034014674
48,44,5,high,low,0.13100383425154272,-0.06509138274719739,0.14202916348724148,0.08953574834475453,-0.12392129715341649
48,56,5,high,low,0.12492776294760777,-0.03514851045436673,0.11432185947476392,0.0758500444178678,-0.2502974761550948
48,60,5,high,low,0.11256893990548134,0.054048778231832406,0.10377724731460924,0.09323837000858337,-0.19745068828524315
48,63,5,high,low,0.12995007912185785,-0.03228671638547931,0.1219629066471063,0.17034870213119335,-0.2062923116337484
48,64,5,high,low,0.12150286668964938,-0.017918225016140932,0.13817946927991331,0.13173936097431582,-0.15605253078572745
48,65,5,high,low,0.10962989933960354,-0.050845782338213685,0.10293941088229852,0.15032795209531868,-0.05278771799863469
48,74,5,high,low,0.12161445615630984,-0.06269222228329718,0.12215117400850295,0.10185074489826795,-0.13520457367186733
48,77,5,high,low,0.12272597895780235,-0.029573036208777603,0.1439145551486527,0.15787064595321731,-0.2313470370500661
48,78,5,high,low,0.10217335375769498,-0.0643677332596927,0.09900190466145409,0.15482076824856217,-0.15207373951515435
48,79,5,high,low,0.1148626023111341,-0.033831549012436346,0.13135819385123504,0.12081482012575029,-0.1570481786937038
48,94,5,high,low,0.11746529644221149,-0.10736890784812436,0.12743173240991912,0.13103243377045526,-0.21775356660116352
48,99,5,high,low,0.1148333473785389,-0.0703868148138096,0.11964035478634327,0.12857931737662254,-0.09388922750902795
48,101,5,high,low,0.13575110028704795,0.034914086661229415,0.17971677775321515,0.17204995820183844,-0.14516114670625524
48,104,5,high,low,0.1068750803747941,-0.0599183991470289,0.12317657044379171,0.14108951274797044,-0.053417351671166124
48,114,5,high,low,0.1300543874466249,-0.00804747234175851,0.1301268412076828,0.1645205419684732,-0.15216768876501707
48,124,5,high,low,0.1156338658515208,-0.0991411929655257,0.11800849192646268,0.18783649382314294,-0.06657736509344225
48,126,5,high,low,0.11862352056553649,-0.03681528838902981,0.09788474982038275,0.14558281684749907,-0.146543261486332
48,128,5,high,low,0.12743183650490897,-0.0005771218073299389,0.1589142443969268,0.18050109355580723,-0.12011826353766653
48,132,5,high,low,0.12057710036689984,-0.03830669133188791,0.1433719499528594,0.18014077999486122,-0.04752038125354008
48,139,5,high,low,0.10643663815985172,-0.05936436646026966,0.0891702105615928,0.14717322751062178,-0.25012780917023947
48,140,5,high,low,0.10758320372816732,-0.026600730336149292,0.10629914715151745,0.15897025321761726,-0.1035571922989551
48,164,5,high,low,0.11555655817565103,-0.11336295048433231,0.1147774187311772,0.2155441175865036,-0.059771361623299435
48,170,5,high,low,0.12513477447371335,-0.025380697808807695,0.11456822126245414,0.15048478677558075,-0.15941486356428058
48,176,5,high,low,0.12243502255885608,-0.015245518984447592,0.14370476090647655,0.16573966185724465,-0.18927071293521458
48,179,5,high,low,0.1218631597262011,-0.0069232514585977345,0.1457775232706091,0.19140813595453776,-0.2049921960723181
48,180,5,high,low,0.10390947868116551,0.006040669011695421,0.11831045727617961,0.14792926740271595,-0.11453317537996677
48,182,5,high,low,0.12413938470373898,-0.0543612188934387,0.11268756401924818,0.12238769927035942,-0.10145336103427816
48,200,5,high,low,0.10318647458221275,-0.0520183338882394,0.10868409414568425,0.08272898721406918,-0.11149992145203458
48,208,5,high,low,0.11791891955568301,-0.10132075255380668,0.13561611424239084,0.17114494693162774,-0.0421924695564615
68,10,5,high,low,0.11668162385880654,-0.008243156366774751,0.12664382403007945,0.18330617180582187,-0.20157318614407904
68,13,5,high,low,0.12083334817920777,-0.028118091149547664,0.15483662201527226,0.17244811056749176,-0.14689152309070708
68,21,5,high,low,0.11372080495774906,-0.03227671321652181,0.1332929948852395,0.11096776250245843,-0.1391019869264949
68,27,5,high,low,0.10178298486772275,-0.10959192390591155,0.11172601981467079,0.11579292029200561,-0.11144296789723662
68,29,5,high,low,0.10737305079155524,-0.11906324492510523,0.10801433550111772,0.16539851680238593,-0.17617359144666966
68,31,5,high,low,0.11113442552768249,-0.02840749477268778,0.10694301087547942,0.15716884140793974,-0.14551794178998279
