exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
1,26,2,high,high,0.11490485329207512,-0.07339449606132997,0.10699445637591143,0.1571417793815919,-0.21288910050025645
1,48,2,high,high,0.11966163776031336,-0.02611532651579629,0.11799502278139085,0.1525665914126465,-0.12055595001761021
1,68,2,high,high,0.11536403570479326,-0.06747937365259316,0.10281414759169405,0.14425948982508063,-0.12589824458123178
1,69,2,high,high,0.11093734297058422,-0.10809731309041148,0.1018172486359965,0.1678064710209528,-0.17240459486372783
1,80,2,high,high,0.10788415644866889,-0.08345502134047089,0.09541240942543983,0.12008448122319204,-0.10434287134079501
1,82,2,high,high,0.11309387869202503,-0.019553210247461483,0.11376351455763922,0.18400859249304513,-0.21346947380627768
1,86,2,high,high,0.12390025778787572,-0.03102272381385074,0.13597828517781096,0.14191125698223706,-0.2916694289918571
1,87,2,high,high,0.11613498976068604,-0.059918932320814244,0.10919194243921204,0.14279905338786547,-0.17351274234735525
1,123,2,high,high,0.1158280011175975,-0.05620732664886163,0.11846819770477146,0.09978060691174517,-0.1219039824566659
1,178,2,high,high,0.10544152750283275,-0.060084849977738,0.1140452782096173,0.13617149421934172,-0.1368054084971443
26,1,2,high,high,0.11551826464849912,-0.06411519576971714,0.11101976640043942,0.161683899977623,-0.22387575296668705
26,48,2,high,high,0.12647672145795286,-0.07406358857577222,0.1350176689006436,0.08469373859724483,-0.20927672437897316
26,68,2,high,high,0.10769629905586509,-0.10089125749829286,0.12345438372122197,0.1264853997241151,-0.20264622196610016
26,69,2,high,high,0.10976258822861806,-0.06250733274779063,0.10662462072985412,0.1856379506539243,-0.21363232352557693
26,80,2,high,high,0.12045196687123672,-0.10515347916797135,0.12683119787239816,0.1515049880546776,-0.20056840394936204
26,82,2,high,high,0.10921107309042188,-0.05089919418186273,0.10522928123487885,0.10602820495038834,-0.1584387288468847
26,86,2,high,high,0.1188311003042839,-0.019554196541928692,0.1346189079386546,0.13560253315207005,-0.2570856502187713
26,87,2,high,high,0.10644881501882741,-0.07517335391892177,0.09248499107392749,0.11096328252309717,-0.17483844307776386
26,123,2,high,high,0.11433680639838784,-0.13704360541812166,0.10704874009281762,0.09324727446343051,-0.2206898714844342
26,178,2,high,high,0.11455398849613818,-0.08221144640654543,0.10314632232524257,0.12948657240145378,-0.2287534249139025
48,1,2,high,high,0.10928532925223566,-0.0768130010913669,0.1284144378899983,0.18638163489802462,-0.14045502650538055
48,26,2,high,high,0.11324655080829693,-0.07866337449551863,0.10357433464265253,0.07287197572078341,-0.21519694928280697
48,68,2,high,high,0.11957640278866233,-0.050364601520933916,0.11187415517346633,0.11337132133623362,-0.18397128041392619
48,69,2,high,high,0.10619925033984157,-0.11125430985165874,0.10082631215184668,0.12072305283033113,-0.20982874347753233
48,80,2,high,high,0.12373497367955166,-0.11612170373088182,0.13035013482300117,0.11111513501221837,-0.0747427285673471
48,82,2,high,high,0.11192022474412733,-0.0670934848994712,0.10536225570521107,0.1744575940831844,-0.21254351949735073
48,86,2,high,high,0.12249080018227532,-0.045503846233511336,0.13317024660361598,0.146297720853241,-0.24130315906941935
48,87,2,high,high,0.11638520810316422,-0.05681729362710419,0.12339453038830339,0.13098846681435172,-0.17598695212630022
48,123,2,high,high,0.11393832509777335,-0.09552180751099015,0.0964045483416448,0.0764900380705007,-0.12954787262062673
48,178,2,high,high,0.10929988244739519,-0.06707567272404813,0.11776956511050607,0.13896793653698736,-0.10461773725338996
68,1,2,high,high,0.12605532024332655,-0.0810922389030172,0.1374545051261501,0.1495319234039919,-0.12000143405957941
68,26,2,high,high,0.10817016974102711,-0.10847514522774293,0.10171141659298788,0.1368621156950437,-0.23110151356200903
68,48,2,high,high,0.11901196215230347,-0.04201368295440622,0.11983477880708504,0.0874938535478249,-0.17563684048911377
68,69,2,high,high,0.11574348666114753,-0.087617769945325,0.11642110060999111,0.1750991283357345,-0.19416603194435433
68,80,2,high,high,0.12443197388081118,-0.07253984295628624,0.14338539343498002,0.13300371439994463,-0.09403718211447509
68,82,2,high,high,0.11215516203081832,-0.008550345135842408,0.11840277701319923,0.15341897548769756,-0.20047033870791608
68,86,2,high,high,0.12160728956029665,0.0003649339547614483,0.14414364123262402,0.10389965669812573,-0.23749341830427384
68,87,2,high,high,0.10257766409093394,-0.0795899095384236,0.10690283887955088,0.14829648051648225,-0.17077019674167593
68,123,2,high,high,0.10659859352368184,-0.054289650456932015,0.0974088443199671,0.13964427564439108,-0.12493908559164424
68,178,2,high,high,0.1110509738031179,-0.04308105984901123,0.11424221668042722,0.20029518238204236,-0.13719170405127712
69,1,2,high,high,0.12383257854035379,-0.09935799185106098,0.15005029790927626,0.18264949538305142,-0.15518223417739918
69,26,2,high,high,0.12037923392787575,-0.10417837699756172,0.11507962185454301,0.1580138437912233,-0.23308786538400084
69,48,2,high,high,0.11294193631735494,-0.13187012367171835,0.11201784436841089,0.11119780056722772,-0.20826185776662398
69,68,2,high,high,0.11374730626270368,-0.06306852548075148,0.10633365434412878,0.17649502088397218,-0.20071672547335195
69,80,2,high,high,0.12331122594982191,-0.06781780297826212,0.13084949916018618,0.1581702346486663,-0.19241613463590634
69,82,2,high,high,0.11193986462385397,-0.021019358442057157,0.11189849326446955,0.15193699879607814,-0.1866966320540251
69,86,2,high,high,0.11679753923192182,-0.10189026155867564,0.12758108668920443,0.1330793720922261,-0.2145548342442558
69,87,2,high,high,0.10974143302946782,-0.06146830230697142,0.10189320849933448,0.12986771538942343,-0.16111261871832794
69,123,2,high,high,0.10963376702617567,-0.07535126942996628,0.10271770915055167,0.06851294989383239,-0.23501711112520263
69,178,2,high,high,0.10640477678917204,-0.06709113804144129,0.11242588133921871,0.16670854565647086,-0.21674001033041435
80,1,2,high,high,0.11766407865252437,-0.08885345476641149,0.1293384186156633,0.09383922861663108,-0.06639895365915183
80,26,2,high,high,0.1201401434459094,-0.10060530071296991,0.10519622925260297,0.15620704501536198,-0.1842519650237231
80,48,2,high,high,0.12751499492324525,-0.1226265379485526,0.13575349298980088,0.12580896460980961,-0.06428499732190907
80,68,2,high,high,0.11612285388164889,-0.07538750359221313,0.1161025180355123,0.17477002920148332,-0.0794022605303597
80,69,2,high,high,0.11763992164261805,-0.02955399213928711,0.1445737225507282,0.14777002333076172,-0.15275297669775068
80,82,2,high,high,0.11014222019024456,-0.000854166037840276,0.11493123448497511,0.11800604095948042,-0.21951099060349477
80,86,2,high,high,0.1317146861375914,0.11931321968195485,0.20180864284404798,0.10891638521953761,-0.31956564207877325
80,87,2,high,high,0.11418068872499121,-0.08164352045750634,0.13622374151639816,0.10365604523839944,-0.14588945124476005
80,123,2,high,high,0.11272212909115331,0.01150827132982557,0.11821434357188287,0.09152040863284194,-0.11560028556443025
80,178,2,high,high,0.12885295005855402,-0.07747184301491583,0.16398551344652246,0.13955048840620732,-0.09821986925775994
82,1,2,high,high,0.10877311362349262,-0.007260845500510094,0.11918845665955169,0.1612385451444095,-0.23221487403335705
82,26,2,high,high,0.111912147271927,-0.027498041629957615,0.09868001142869742,0.08174123344616024,-0.1781897685529208
82,48,2,high,high,0.10739153283917413,-0.049420104385933805,0.10813313341456243,0.17768959264584483,-0.23011907642060414
82,68,2,high,high,0.10412048803831497,-0.015812696249946412,0.10360754162839814,0.13246208370441814,-0.20374427311636334
82,69,2,high,high,0.10633322355714181,-0.006615663439233699,0.08944149325267214,0.15927918031645838,-0.18050395153074406
82,80,2,high,high,0.111209303160267,0.003926765972654067,0.12242358202039749,0.11551156484740288,-0.23200168960454604
82,86,2,high,high,0.11420109629030462,-0.03557673656176674,0.10950584629480553,0.13444164605040387,-0.21353174048307477
82,87,2,high,high,0.10685132841102996,-0.06557920724510402,0.11800071620488217,0.15515021678784346,-0.19053444052067192
82,123,2,high,high,0.10547631739870333,-0.06560652274978163,0.09479612409209148,0.1191715448907984,-0.23180349132591727
82,178,2,high,high,0.11433979591985133,-0.056071953714782685,0.10153742287927325,0.1406421316599462,-0.2235082296529467
86,1,2,high,high,0.1259406346530605,-0.01503756723998284,0.17549311841582038,0.15796020450280024,-0.2855488269601185
86,26,2,high,high,0.11560408027201963,0.0033713307370949464,0.13738082474019053,0.12961152648226482,-0.25381561384831863
86,48,2,high,high,0.12084918710427894,-0.0731351134808288,0.13640696735056557,0.1263655860709122,-0.2554388120566886
86,68,2,high,high,0.11362044545729688,-0.02277791703775267,0.14055825578467906,0.09976062995052071,-0.25800169567998965
86,69,2,high,high,0.11709778759101375,-0.08297774153202697,0.12847301665397182,0.13152244702480387,-0.23296236090983558
86,80,2,high,high,0.133459862479552,0.09135800827474183,0.19978866922263672,0.14963668763046267,-0.29508607310677526
86,82,2,high,high,0.11554111619733276,-0.02211453243736794,0.12068326384378414,0.12879377025778704,-0.2080542879599807
86,87,2,high,high,0.11952357682834536,-0.04332506008249326,0.12547977232167484,0.10739185690633979,-0.21145334461849785
86,123,2,high,high,0.12455317617332595,0.03659333866573378,0.1457207409830663,0.1493365679625287,-0.2607260550836745
86,178,2,high,high,0.1162863201547778,0.00041543172417679575,0.13062693699187844,0.13035960603748709,-0.2739202289862195
87,1,2,high,high,0.12049159616163874,-0.07007335384224189,0.11538718756628641,0.15968344381992505,-0.1612254578203154
87,26,2,high,high,0.10814750382904048,-0.06519101462499832,0.09557311955147807,0.10076237332048144,-0.17280467271903022
87,48,2,high,high,0.11164584505460295,-0.08984014719675226,0.11736415423842061,0.13455271201658947,-0.15544821529691544
87,68,2,high,high,0.11166337795032699,-0.07993652047722932,0.11951701049491625,0.14396113292107204,-0.1587971252497491
