exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
1,13,2,high,low,0.1161894543182271,-0.0468461093656396,0.1153796822837256,0.1878982772676042,-0.2187354250527118
1,21,2,high,low,0.1308924371380214,-0.0744483090961718,0.1667145307824058,0.1260239787262751,-0.1206666516184934
1,27,2,high,low,0.1357727293634455,-0.0143634314759288,0.1311490736101234,0.2006120025477499,-0.1865095086713277
1,29,2,high,low,0.1163084000435563,-0.1058896609542192,0.0988613372122276,0.1016834147616168,-0.1523263452998015
1,31,2,high,low,0.1095574832374937,-0.0254047060281488,0.1276863251463424,0.1371161051292323,-0.1112727870346023
1,34,2,high,low,0.1020794678097413,-0.1057772495563857,0.0887364048339147,0.1406540133682847,-0.1694351615637094
1,35,2,high,low,0.121251924194233,-0.0022319244685004,0.1225280877150157,0.1825054417318998,-0.2505557981335957
1,37,2,high,low,0.1145223125980643,-0.0993043812484616,0.1244067592078822,0.1334884649940028,-0.1357100229274455
1,41,2,high,low,0.1167103009729758,-0.1445224512132883,0.111265978687245,0.1602558081340812,-0.1039927048387778
1,43,2,high,low,0.12326670386255,-0.0789140139633592,0.1383691970074422,0.1953085502558148,-0.1115864282708462
1,44,2,high,low,0.1218277551553541,-0.0934286187519749,0.1239105659790154,0.1298333414839411,-0.0982415541419028
1,56,2,high,low,0.1134162781465857,-0.0858335009544848,0.1036255821976064,0.167707308801891,-0.2057926989635523
1,60,2,high,low,0.1238105655910465,-0.1095578307049209,0.1329900738707261,0.1639163191815732,-0.1735461224734776
1,63,2,high,low,0.1150632887622853,-0.0115157790301182,0.1062059640754766,0.1774166076975905,-0.1674624448052269
1,64,2,high,low,0.1294898748927931,-0.0176248654767321,0.1569373807057412,0.1655229107509706,-0.168472752980895
1,65,2,high,low,0.1175803599782224,-0.0369071687136793,0.1427209161830614,0.1006556559073252,-0.121142234109866
1,67,2,high,low,0.1107565925954783,-0.0788203588721583,0.1258625309867289,0.1355390271605254,-0.1404217139265904
1,71,2,high,low,0.1272772856678841,-0.0410701204917386,0.1402544620610177,0.1239330237131025,-0.0891653230633281
1,74,2,high,low,0.1155096409521271,-0.1014564693661589,0.1237450228286799,0.1262532507948324,-0.2134619468088198
1,77,2,high,low,0.1239567363264524,0.058547568575396,0.1578560294765987,0.1824624582090447,-0.1855762798607446
1,78,2,high,low,0.1162452309192039,-0.1084214587862212,0.1177131237278141,0.1635418139581823,-0.1532108456678148
1,79,2,high,low,0.1189704259835009,-0.0039075726535184,0.1306644779356838,0.1812369610690505,-0.1707012028416586
1,94,2,high,low,0.1225400386962733,-0.0981931484137378,0.099987517098495,0.0965393071352359,-0.1721188174983628
