exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
10,4,5,low,medium,0.1188784344889957,-0.0366468506510818,0.1241853534565773,0.0844811672998738,-0.132929098000337
10,6,5,low,medium,0.1116386074152717,-0.1027171351484509,0.1124498500974973,0.1709121168309779,-0.1583601342825361
10,16,5,low,medium,0.1190381108767377,0.029619356282907,0.1220453024033387,0.1834121906474194,-0.1298896482355862
10,17,5,low,medium,0.1151796263294799,-0.107285056759679,0.1017780584534158,0.173670019111391,-0.1763751993021082
10,19,5,low,medium,0.1181954998605159,-0.0545378676927174,0.1055958957195213,0.155297327402204,-0.2225683728418923
10,20,5,low,medium,0.1201962203623014,-0.0037495535380922,0.1176646119352891,0.173359633046545,-0.1566439333414316
10,24,5,low,medium,0.1114598355424951,-0.0514266488109216,0.1107911608243558,0.1629857543039155,-0.2017213057374977
10,25,5,low,medium,0.1163394119929148,-0.1403960395695533,0.1209783850466335,0.1028706864680479,-0.1531201564376938
10,32,5,low,medium,0.1136114819599618,-0.0089258800196072,0.11217972065795,0.1594475608128899,-0.1532657675331536
10,33,5,low,medium,0.1130765283208899,-0.0566380457723616,0.0796795566900573,0.0916099596608178,-0.2190522186739263
10,40,5,low,medium,0.1080059827273136,-0.0185062407642472,0.0854637477861143,0.0854606798389813,-0.1802372605288001
10,42,5,low,medium,0.1224755575637271,-0.026235611753355,0.0993102072789939,0.1643019178478492,-0.2546664742393623
10,51,5,low,medium,0.1121450138873736,-0.1173196201992902,0.1029400823298736,0.135301893685906,-0.1841557928873149
10,53,5,low,medium,0.1203452712553865,-0.0067028629335286,0.1133648799931654,0.1609652361857962,-0.1593121616400777
10,54,5,low,medium,0.117111374904716,0.0622655964608447,0.115338499497187,0.0877126822436329,-0.246310031535226
10,55,5,low,medium,0.1208362123861733,-0.0182692575694012,0.129738127551322,0.1856125722920217,-0.2592826817652418
10,57,5,low,medium,0.1156568101912798,-0.0930591618070921,0.1298580792194775,0.1305095239650537,-0.1458666777970906
10,61,5,low,medium,0.116880038446466,-0.0868642456157008,0.1301480976940983,0.113626100299036,-0.2011593667929141
10,62,5,low,medium,0.1275977216025843,-0.0922360092292302,0.1125446032227244,0.1927526115236228,-0.1516626929285135
10,66,5,low,medium,0.1113668423651199,-0.0803684989744724,0.1126479618382623,0.0932192729007811,-0.1561333683025032
10,70,5,low,medium,0.1064055799853457,-0.0962049198229197,0.0866273582538111,0.1429559305587057,-0.1956176848289176
10,73,5,low,medium,0.1072395926993114,-0.0646873181939167,0.1244479213601275,0.1305697602456366,-0.1793175654770841
10,75,5,low,medium,0.1152519729432799,-0.0527706789924942,0.1120922495695331,0.1073028052224271,-0.1987726925138029
10,81,5,low,medium,0.1221187618103037,-0.0297626559666668,0.1194141223031872,0.1824373433544638,-0.1471436674251307
10,83,5,low,medium,0.1215672911597516,-0.0135484613275431,0.1341491451172716,0.1201191215894006,-0.1177291923023704
10,84,5,low,medium,0.1174895482660545,-0.0670652967125585,0.1053269954142651,0.0785783140366507,-0.1422723435161406
10,88,5,low,medium,0.1167463629565811,-0.0937521684460526,0.106505277728411,0.1214528956062563,-0.2393568853281715
10,89,5,low,medium,0.1083719184887463,-0.0958327031210267,0.1237501197644509,0.0993573971475709,-0.1867616066353267
10,91,5,low,medium,0.1041363441664844,0.0062485466144355,0.1129305060351216,0.1029102055441187,-0.263350797364325
10,97,5,low,medium,0.1124823233260647,0.0116700582149731,0.1375461129399782,0.1432332884671722,-0.2087733627147241
10,105,5,low,medium,0.1283447775035205,-0.0961164312735196,0.1343749820387747,0.1758318480243776,-0.1432015863147591
10,108,5,low,medium,0.1111749765599757,-0.0799922543098643,0.0964100357996753,0.1424871536772863,-0.2141511955742097
10,115,5,low,medium,0.1168729086172519,-0.053128591137659,0.1224899225702931,0.1534677412309288,-0.169101273399805
10,117,5,low,medium,0.116184475551568,-0.0538980841715569,0.1243876959430655,0.1164896750983003,-0.1483407701834256
10,121,5,low,medium,0.1178151070932208,-0.1345611985198413,0.109658640027932,0.1156864627279337,-0.1465868372591166
10,133,5,low,medium,0.1223429339937781,-0.149669106413784,0.11372202637387,0.1650928189531623,-0.1957926931165119
10,135,5,low,medium,0.1247001026165902,-0.0630895436419511,0.1216797925578897,0.1047351228613121,-0.1624656498016002
10,142,5,low,medium,0.1308392275617991,-0.0440128808411708,0.1219692774502054,0.1494181049013633,-0.1967749150883471
10,143,5,low,medium,0.1172219542539684,-0.0255234034114285,0.1151780111590782,0.1330034297238839,-0.2628501831461282
10,145,5,low,medium,0.1114091303230749,-0.0430937520692045,0.1098751579948051,0.1681216896180886,-0.1629350158249695
10,147,5,low,medium,0.1094645403649882,-0.091850408232264,0.1004635671167416,0.1611377640210489,-0.1906264098422323
10,151,5,low,medium,0.1303569619311748,-0.0130744077095855,0.1758378518133559,0.177445371337557,-0.1747953422393653
10,155,5,low,medium,0.1095679481824953,-0.0694524228990051,0.1209500230880284,0.0952601672725769,-0.2010407207584095
10,158,5,low,medium,0.1122751565560208,-0.0678356102033073,0.1064808345217119,0.1885987849105492,-0.1916440124257872
10,166,5,low,medium,0.1169788648973054,-0.0224845105393396,0.1189054540128625,0.1216626415987419,-0.1401683993751551
10,168,5,low,medium,0.1214143241251842,-0.0473090303211947,0.130113267353816,0.1458394320151828,-0.2001801447016081
10,169,5,low,medium,0.1057922213842252,-0.0740374655299849,0.1088853874304136,0.1675899854363037,-0.1651290175426368
