exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration
10,13,5,low,low,0.1188406180232616,-0.0454366253595309,0.1386368504541031,0.1189428254366251,-0.2319759035470509
10,21,5,low,low,0.116098020885203,-0.0386533435361886,0.1425661773857579,0.1493904892196154,-0.096560265088239
10,27,5,low,low,0.1235246180631612,-0.083403463982727,0.105435949718464,0.0949401626807007,-0.2022394191051677
10,29,5,low,low,0.1095574577649688,-0.0851518791683051,0.1025575007383198,0.1353793961761543,-0.1888244863363716
10,31,5,low,low,0.1186328097810723,-0.0869565086960433,0.1132417141286177,0.1359960654120114,-0.1398543076364755
10,34,5,low,low,0.111892398313668,-0.025535815688126,0.102123469602166,0.1244590964098433,-0.2370255112846993
10,35,5,low,low,0.1085489251780624,-0.0576173134762016,0.0968021855005557,0.16656957320073,-0.2509973595892963
10,37,5,low,low,0.1108629894413897,-0.0734334864768162,0.1096257227922447,0.2001747008064356,-0.2178750086286797
10,41,5,low,low,0.1197270740804921,-0.0509480940948376,0.1284702417759388,0.1323050552084341,-0.1411044404561792
10,43,5,low,low,0.1100234072161541,-0.0909094432629862,0.1023729462003042,0.1116721969978326,-0.1714882622422811
10,44,5,low,low,0.1082873783426082,-0.0110738043015666,0.0983003220699573,0.1106683240144761,-0.2105796311391859
10,56,5,low,low,0.1140202140997129,-0.0214842128878849,0.130286577224208,0.0889773223856098,-0.1874794487416141
10,60,5,low,low,0.1243089912557265,0.0329220009056022,0.1108975580183729,0.1263864030793141,-0.2162687552363265
10,63,5,low,low,0.1212830144031221,0.0044947785666702,0.1127647176026568,0.1340870304543739,-0.1943122658730741
10,64,5,low,low,0.109712276745684,-0.0379116285337848,0.1207344660753538,0.1420174366743174,-0.1326375035780744
10,65,5,low,low,0.1207968644839699,-0.0886407289794479,0.1242509442932814,0.2072980422221345,-0.1974730908264654
10,74,5,low,low,0.116136719088949,-0.0255915341588128,0.1135644349042004,0.1264316369538842,-0.1818621791616613
10,77,5,low,low,0.1230531717739935,-0.0348558577208676,0.1298175939532796,0.1353906240414113,-0.169365913814128
10,78,5,low,low,0.1139766694966705,-0.0572152471709249,0.1171851231940492,0.116311796516485,-0.2282786687202729
