exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,source_file
1,13,2,high,low,0.9916329342400114,0.712113537517586,0.989352116782496,0.9169179896581188,0.627906976744186,Java_high_Java_low_results.csv
1,21,2,high,low,0.9927666376226496,0.6565778746290194,0.9921833805316348,0.8953533418521105,0.6969696969696969,Java_high_Java_low_results.csv
1,27,2,high,low,0.9892981417834557,0.6930474606108099,0.9816614556842312,0.9317010350950656,0.6594202898550725,Java_high_Java_low_results.csv
1,29,2,high,low,0.9895711908974704,0.6793268150352871,0.9856684109264288,0.8798152708577316,0.7000000000000001,Java_high_Java_low_results.csv
1,31,2,high,low,0.9917698452136052,0.7143192766459634,0.986742769836263,0.9016330012464068,0.6956521739130435,Java_high_Java_low_results.csv
1,34,2,high,low,0.9902409791945406,0.7044740268074334,0.9874387606129642,0.9218057948394316,0.6417112299465241,Java_high_Java_low_results.csv
1,35,2,high,low,0.9891110831844606,0.7713733625352103,0.9858511211557835,0.9245589026729196,0.5862068965517242,Java_high_Java_low_results.csv
1,37,2,high,low,0.9916496204268772,0.6769704044150682,0.989550716920472,0.913820816297682,0.7,Java_high_Java_low_results.csv
1,41,2,high,low,0.9935273344309252,0.6126590608364941,0.991779834389408,0.915709277309768,0.7272727272727273,Java_high_Java_low_results.csv
1,43,2,high,low,0.992435569854818,0.6766475390089497,0.989969319039109,0.928684827805243,0.7171428571428571,Java_high_Java_low_results.csv
1,44,2,high,low,0.9918662992075497,0.6511720922111325,0.9894893564172328,0.8894195126039696,0.7391304347826088,Java_high_Java_low_results.csv
1,56,2,high,low,0.9900917015106998,0.6956570137438951,0.9877051922584604,0.93218876977294,0.6211556383970177,Java_high_Java_low_results.csv
1,60,2,high,low,0.9916047691186411,0.6312089167535633,0.988910881985654,0.9064828876161496,0.6428571428571428,Java_high_Java_low_results.csv
1,63,2,high,low,0.991067675366283,0.7626830990419858,0.9890843813603244,0.9481566551359856,0.6666666666666665,Java_high_Java_low_results.csv
1,64,2,high,low,0.9892238440213936,0.6240191229704237,0.9819359365020924,0.8866085636771811,0.6666666666666666,Java_high_Java_low_results.csv
1,65,2,high,low,0.9862414876368424,0.6872371624766094,0.981710969045947,0.8555302702792833,0.7317073170731707,Java_high_Java_low_results.csv
1,67,2,high,low,0.989748640912772,0.7289498188709477,0.986770587570846,0.8937747535721927,0.7041666666666667,Java_high_Java_low_results.csv
1,71,2,high,low,0.9873649943888506,0.7326327782993601,0.9813769872814248,0.9042721983644184,0.7333333333333334,Java_high_Java_low_results.csv
1,74,2,high,low,0.988986901407928,0.7234659921331335,0.9842667123699074,0.8966966840081143,0.6363636363636364,Java_high_Java_low_results.csv
1,77,2,high,low,0.9921041187313946,0.766372189086954,0.989601442759253,0.8908556512003685,0.6399999999999999,Java_high_Java_low_results.csv
1,78,2,high,low,0.9873078827767668,0.6834065763836412,0.9828690440799795,0.926055411695632,0.6785714285714286,Java_high_Java_low_results.csv
1,79,2,high,low,0.992512680665104,0.724033432854011,0.990277875423404,0.9118032068336706,0.6666666666666666,Java_high_Java_low_results.csv
1,94,2,high,low,0.991777977676207,0.6967542659099536,0.9891468933064994,0.851094963769657,0.675,Java_high_Java_low_results.csv
1,99,2,high,low,0.989234787594414,0.7483900218086219,0.9874657338233472,0.9231183244891612,0.75,Java_high_Java_low_results.csv
1,101,2,high,low,0.9883559172689764,0.8242368330941768,0.9845765561073708,0.8963995464920211,0.736842105263158,Java_high_Java_low_results.csv
1,104,2,high,low,0.9899670120702032,0.7016944017447149,0.9873142776224876,0.8771617879838318,0.7204651162790697,Java_high_Java_low_results.csv
1,107,2,high,low,0.9896254425115588,0.7135692712528234,0.9852722790367852,0.8944282493008394,0.6399999999999999,Java_high_Java_low_results.csv
1,124,2,high,low,0.9928191534899448,0.6710371916781551,0.9907558994228796,0.9146902603355308,0.7018518518518518,Java_high_Java_low_results.csv
1,126,2,high,low,0.9896589517033326,0.6029550611660436,0.9864085871692208,0.8474542508757379,0.7105263157894737,Java_high_Java_low_results.csv
1,128,2,high,low,0.9913248051453948,0.6738793922937846,0.98978547833331,0.9047465229680152,0.6771235521235521,Java_high_Java_low_results.csv
1,132,2,high,low,0.9914514957832996,0.6215393413855634,0.9887711019199544,0.8928881459297364,0.736842105263158,Java_high_Java_low_results.csv
1,138,2,high,low,0.9891072457032332,0.7332110204084967,0.9833751575155052,0.9031344257641172,0.6185031185031186,Java_high_Java_low_results.csv
1,140,2,high,low,0.9908505861667348,0.6386367936338402,0.9896780747983828,0.9324083598428068,0.7393887945670629,Java_high_Java_low_results.csv
1,162,2,high,low,0.9885051796185518,0.6923508337781357,0.9820903812940128,0.8765299834085799,0.6846590909090909,Java_high_Java_low_results.csv
1,164,2,high,low,0.989097242391223,0.6490785038446621,0.986908081088842,0.9169470577359148,0.7297297297297298,Java_high_Java_low_results.csv
1,172,2,high,low,0.9908346510119518,0.7835536271985115,0.9878092689178032,0.9006159164885683,0.6,Java_high_Java_low_results.csv
1,176,2,high,low,0.9922234437614093,0.6501025340182649,0.9884320318149288,0.8616400516588932,0.6774193548387097,Java_high_Java_low_results.csv
1,179,2,high,low,0.9916030860461802,0.6585265095891003,0.9875391171443804,0.9080448210226127,0.6071428571428572,Java_high_Java_low_results.csv
1,180,2,high,low,0.9885903893267852,0.6808867444778747,0.9851923401954936,0.921712096269943,0.6785714285714286,Java_high_Java_low_results.csv
1,182,2,high,low,0.990125464254346,0.6426566160421847,0.9857066015522242,0.8561765182744955,0.6939799331103679,Java_high_Java_low_results.csv
1,183,2,high,low,0.9914171569587868,0.7214275818097584,0.9886927558549892,0.8936911812672997,0.6915760869565217,Java_high_Java_low_results.csv
1,186,2,high,low,0.991955463367611,0.7035809037532089,0.9892337379175578,0.9209827914723244,0.6363636363636364,Java_high_Java_low_results.csv
1,200,2,high,low,0.988632393438558,0.7375769489980124,0.984613576410496,0.9083442909936712,0.6666666666666666,Java_high_Java_low_results.csv
26,13,2,high,low,0.9906920067944094,0.728991779320117,0.9872095913407636,0.9062161583271502,0.5865704772475028,Java_high_Java_low_results.csv
26,21,2,high,low,0.9915582662502794,0.7159655251919926,0.9883902549789778,0.9191429555180942,0.6619047619047618,Java_high_Java_low_results.csv
26,27,2,high,low,0.9908297143840518,0.6425284839633163,0.9867778822490002,0.9104891982221136,0.5568475452196383,Java_high_Java_low_results.csv
26,29,2,high,low,0.990186532239402,0.6608166545455489,0.9867787923173128,0.9080928252249626,0.5957446808510638,Java_high_Java_low_results.csv
26,31,2,high,low,0.9910546684939188,0.7149135217314853,0.9885184195921368,0.9234955087167528,0.6172161172161172,Java_high_Java_low_results.csv
26,34,2,high,low,0.9911130861573072,0.6906213547299176,0.9888694221345016,0.9037114297801556,0.5882352941176471,Java_high_Java_low_results.csv
26,35,2,high,low,0.9904943497608638,0.7410654029428436,0.9850856188145328,0.9302716632788328,0.631578947368421,Java_high_Java_low_results.csv
26,37,2,high,low,0.9910663417546938,0.7195161875409712,0.987751334452152,0.9104800357415592,0.6363636363636364,Java_high_Java_low_results.csv
26,41,2,high,low,0.9929985247621048,0.6962262323302588,0.990578627059608,0.910258797487075,0.6809090909090909,Java_high_Java_low_results.csv
26,43,2,high,low,0.9922822572252332,0.6976555469977226,0.9897553252799204,0.8944366131408915,0.6086956521739131,Java_high_Java_low_results.csv
26,44,2,high,low,0.9916267834325152,0.7156201308880739,0.9883881059631364,0.9158765803280936,0.6341463414634145,Java_high_Java_low_results.csv
26,56,2,high,low,0.9908774551528324,0.792214647776155,0.9869322702461228,0.8904625774937767,0.6470588235294117,Java_high_Java_low_results.csv
26,60,2,high,low,0.9914854997148757,0.7094547124668326,0.98909364033912,0.9434490337898273,0.6153846153846154,Java_high_Java_low_results.csv
26,63,2,high,low,0.989626191492534,0.7204911684880162,0.98606606158791,0.8946641090070159,0.6448028673835126,Java_high_Java_low_results.csv
26,64,2,high,low,0.9890879693299134,0.6768295318100478,0.9850592584237264,0.8763930404094589,0.6274509803921569,Java_high_Java_low_results.csv
26,65,2,high,low,0.9872379200853608,0.6548447062400273,0.9833503309747992,0.8530327822164119,0.5935935935935936,Java_high_Java_low_results.csv
26,67,2,high,low,0.9905739025054536,0.7590399917584224,0.989021432248048,0.9095633469534092,0.6107994389901823,Java_high_Java_low_results.csv
26,71,2,high,low,0.9861034596392854,0.6593789619807557,0.9839211122174654,0.8770513799673748,0.6153846153846154,Java_high_Java_low_results.csv
26,74,2,high,low,0.989107896502371,0.7244004992068597,0.9819025417603544,0.8558879423674138,0.621455938697318,Java_high_Java_low_results.csv
26,77,2,high,low,0.9925392985169106,0.762544338525092,0.9895231529910804,0.9013165610823832,0.5806976744186048,Java_high_Java_low_results.csv
26,78,2,high,low,0.9895468280078424,0.7278133956449591,0.9837821378559262,0.9161897980008632,0.5972972972972972,Java_high_Java_low_results.csv
26,79,2,high,low,0.9917573569840268,0.7379401385874153,0.9894811017850498,0.9286287850247252,0.6461100569259963,Java_high_Java_low_results.csv
26,94,2,high,low,0.9912927694534936,0.734837692859174,0.9868829310426172,0.8636872499266391,0.6129032258064516,Java_high_Java_low_results.csv
26,99,2,high,low,0.9906629982051648,0.765686317750178,0.987434892011202,0.9134218267955144,0.633739837398374,Java_high_Java_low_results.csv
26,101,2,high,low,0.9888690665256004,0.7606020813940886,0.9852289879266264,0.8693748382868297,0.6176923076923077,Java_high_Java_low_results.csv
26,104,2,high,low,0.9905731743235012,0.7397650767784163,0.9867878992644076,0.8871442425399909,0.6153846153846154,Java_high_Java_low_results.csv
