exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
48,176,rectangle,high,low,0.9931794950186844,0.694135685842782,0.9900913134498216,0.8973587688658675,0.6086956521739131
68,101,rectangle,high,low,0.9914111360674001,0.7687538066147909,0.9906176976469053,0.9467387576847347,0.6666666666666666
68,94,rectangle,high,low,0.9949797893110686,0.7369145541113918,0.9936491397701825,0.8788628124969087,0.6956521739130435
48,182,rectangle,high,low,0.992574495854131,0.7031496509554905,0.9889581529938275,0.8946663263082386,0.7350877192982457
68,79,rectangle,high,low,0.994579473419038,0.7652360221852568,0.9932485137361978,0.9381928977555112,0.6715686274509803
48,180,rectangle,high,low,0.9924723124180299,0.7656257521461682,0.9908341389188473,0.9147559088864632,0.7142857142857142
68,78,rectangle,high,low,0.9930615194383172,0.7070109266717914,0.992015175665249,0.9481240784502002,0.6666666666666666
68,77,rectangle,high,low,0.9930010544515372,0.7478857892818563,0.9910186435040538,0.932765472125851,0.625
48,79,rectangle,high,low,0.9936055769837819,0.7420564224012278,0.9918512237779721,0.8771974260723677,0.6785714285714286
68,74,rectangle,high,low,0.9939169756337864,0.7338091198884952,0.9917326097268838,0.9107567575267865,0.6666666666666667
48,78,rectangle,high,low,0.9932075730990467,0.7279795304148157,0.9902613414678885,0.9174121271350411,0.7017543859649122
68,71,rectangle,high,low,0.9929266129732106,0.6869550383645044,0.9913209575347868,0.8858838382593144,0.7083333333333334
48,77,rectangle,high,low,0.992044848656386,0.6700287828284197,0.988917666694071,0.9271825247467904,0.6086956521739131
68,67,rectangle,high,low,0.993961865983217,0.7567279290791629,0.9922939434720488,0.9403736862258177,0.736842105263158
48,74,rectangle,high,low,0.9925367345155521,0.7330980299648123,0.9892497907176623,0.9610090012434489,0.6666666666666667
68,65,rectangle,high,low,0.9925792444879725,0.6250556911346974,0.9888232938225813,0.8479341214620142,0.6818181818181819
48,71,rectangle,high,low,0.9899141358065033,0.6819739322019827,0.9869903740158971,0.8691261133243776,0.75
68,64,rectangle,high,low,0.9934880073839605,0.7277426401632925,0.9920531614719614,0.8875948984975637,0.6818181818181819
48,101,rectangle,high,low,0.9894538509988601,0.7668063676282612,0.9857698912433271,0.9195222444512349,0.7692307692307693
48,104,rectangle,high,low,0.991241114216299,0.7221925210071185,0.9885377064372031,0.8845411204271252,0.7379862700228833
48,67,rectangle,high,low,0.9907110232127169,0.7634923351197267,0.9898953447751369,0.850390191569094,0.7777777777777779
68,63,rectangle,high,low,0.9924116917292446,0.7418407855553191,0.9895589354639589,0.9229777186063687,0.6428571428571428
