exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
48,24,rectangle,high,medium,0.9929185940020859,0.7550709047064614,0.9913502964988062,0.8909736071304423,0.5517241379310345
48,20,rectangle,high,medium,0.9932089176926077,0.7081390154937683,0.9909458622338442,0.9455332303538775,0.6176470588235294
48,17,rectangle,high,medium,0.9926687114962138,0.7004051811707668,0.9899055919680364,0.9417403658336465,0.7272727272727273
48,16,rectangle,high,medium,0.9913631760062489,0.7240203613955847,0.9894394667609775,0.9054189443568224,0.6984848484848485
48,73,rectangle,high,medium,0.9898215576596833,0.7511370668345039,0.9845643570967835,0.9213249050659751,0.6923076923076923
48,15,rectangle,high,medium,0.9901160195657166,0.714774127431636,0.9867783120099068,0.8597805641371888,0.6956521739130435
48,14,rectangle,high,medium,0.9929518933163675,0.7114641977921786,0.9916225201689179,0.8725464243183224,0.6666666666666666
48,32,rectangle,high,medium,0.9934961920193863,0.7469444566274118,0.9916799244361083,0.9362863696792315,0.6774193548387097
48,6,rectangle,high,medium,0.9930141626983224,0.7167425215981813,0.9913365888098405,0.8649978276327845,0.7502164502164501
48,4,rectangle,high,medium,0.9908004826114764,0.751999622698701,0.9869871292594604,0.941788108620358,0.6399999999999999
48,66,rectangle,high,medium,0.9922830580452199,0.7440514173952217,0.9892762996911902,0.9115261493375018,0.736842105263158
48,62,rectangle,high,medium,0.9921269410541727,0.6654219872788332,0.9911876262837949,0.8885990839270321,0.7391304347826088
48,61,rectangle,high,medium,0.9937642103781541,0.6609756004466423,0.9932117869863997,0.8858449127798801,0.7142857142857142
48,57,rectangle,high,medium,0.9919794204465612,0.7209233567565774,0.9891918408675586,0.929567217129558,0.736842105263158
48,55,rectangle,high,medium,0.9920545691276995,0.70787963543544,0.9892643054695839,0.9258006746961236,0.52859477124183
48,54,rectangle,high,medium,0.9867786918578049,0.7387993143753648,0.9808998269803733,0.8614223765007646,0.5
48,53,rectangle,high,medium,0.989871654190841,0.7700561234551735,0.9880415449468658,0.9000164739150487,0.7290209790209791
48,33,rectangle,high,medium,0.9895499400518644,0.7768221027014076,0.984500497800355,0.852338110608611,0.6399999999999999
48,51,rectangle,high,medium,0.9930089979481499,0.7331565203197148,0.9916706958762025,0.894071542741691,0.7222222222222223
48,42,rectangle,high,medium,0.991883759661046,0.6428205774063558,0.9902461104212975,0.8464169353213185,0.7663636363636364
48,40,rectangle,high,medium,0.9918312323031262,0.789902000880415,0.9878360688437838,0.9037508074694736,0.6923076923076923
48,25,rectangle,high,medium,0.9938426733687427,0.6802706066385035,0.9913661503807252,0.8646420765250651,0.6939799331103679
48,88,rectangle,high,medium,0.989435893512403,0.6612585784408596,0.9856427058093684,0.914528078157612,0.75
48,81,rectangle,high,medium,0.9901958328398714,0.7343395051421304,0.9859335220709993,0.887120949898518,0.7
48,91,rectangle,high,medium,0.992046376150326,0.7388421594964507,0.9898079328784863,0.868606743243892,0.5294117647058822
48,108,rectangle,high,medium,0.9927487021594165,0.7332401579890879,0.9890243260402481,0.9029917436967407,0.7727272727272728
48,125,rectangle,high,medium,0.9878149652316759,0.6975893615794204,0.9833778273222682,0.8832066702856,0.7446808510638299
48,115,rectangle,high,medium,0.9928862587556835,0.707342366542483,0.9902259893930734,0.9051867508850051,0.6107994389901823
48,105,rectangle,high,medium,0.993132147502698,0.7122618831814183,0.992833593894375,0.86094363251517,0.7272727272727273
48,75,rectangle,high,medium,0.988625137981035,0.7197430941719185,0.9830646339980713,0.9010396915189357,0.6183473389355741
48,121,rectangle,high,medium,0.9935845380659926,0.7161343685441659,0.9911948362642237,0.9483073219879372,0.7045454545454546
48,143,rectangle,high,medium,0.990049488767677,0.7675938408100648,0.9879873526532627,0.8814548223817156,0.510955710955711
48,112,rectangle,high,medium,0.9924400684753582,0.6703118925839857,0.9904830138396833,0.87597022117905,0.6956521739130435
48,97,rectangle,high,medium,0.9914937270724689,0.7875069512237363,0.9884091828716044,0.8759653506265133,0.7391304347826088
48,89,rectangle,high,medium,0.9919151562379547,0.7025363167313168,0.9867850429394917,0.8686217129533926,0.5773504273504273
48,120,rectangle,high,medium,0.9898212416086587,0.7323097841728924,0.9852464128794822,0.9052922765547511,0.695048309178744
48,84,rectangle,high,medium,0.991956881093475,0.6563901756888453,0.9898398398011443,0.8746331684421113,0.7
48,145,rectangle,high,medium,0.9930578408085734,0.7964313914331721,0.9915683367308458,0.9590879187223812,0.7999999999999999
48,155,rectangle,high,medium,0.9906560798350145,0.7588643164717076,0.9874100778075297,0.8866822123494105,0.75
48,83,rectangle,high,medium,0.9916803496480912,0.7044197730863975,0.9900489819685238,0.8954423575550632,0.75
48,117,rectangle,high,medium,0.9909255414815457,0.7023395624299837,0.9867218937577565,0.8925037198981063,0.6631205673758865
48,203,rectangle,high,medium,0.9918804719617554,0.699865496281316,0.9879757706971141,0.863428293934595,0.736842105263158
48,158,rectangle,high,medium,0.9918485819097711,0.7535763128559263,0.9883875545078741,0.9025124083721996,0.5714285714285714
48,185,rectangle,high,medium,0.9937698574099809,0.6927505045146897,0.9918780329669169,0.9339320457488274,0.72
48,171,rectangle,high,medium,0.992046130081418,0.7624176006870754,0.9880170988950839,0.8933140066912476,0.5769230769230769
48,147,rectangle,high,medium,0.9934207679231845,0.7253155434901348,0.9930512181129433,0.8885810634020805,0.75
48,142,rectangle,high,medium,0.9927711769190393,0.6807443010168303,0.9921778048908754,0.8607571953892508,0.6551724137931034
48,202,rectangle,high,medium,0.9913917018932716,0.6930868757601528,0.9875582649512159,0.949583917311273,0.6631205673758864
48,210,rectangle,high,medium,0.9935561618329857,0.7415424195748417,0.9917903081056424,0.9252465030898469,0.7333333333333334
48,135,rectangle,high,medium,0.9905923440948182,0.6829070024005591,0.984903731178547,0.8736927564262063,0.7777777777777779
48,169,rectangle,high,medium,0.9879575881567055,0.7390700988625151,0.9823016302467709,0.9083857869335146,0.6185106382978723
48,212,rectangle,high,medium,0.9933769380760885,0.6916039538037517,0.9927217245009686,0.8622938939592232,0.7500000000000001
48,207,rectangle,high,medium,0.9917380501206478,0.7487352906147562,0.989130173321215,0.8854844359096107,0.5714285714285714
48,192,rectangle,high,medium,0.9924778782608051,0.6916034248479278,0.9892876860129347,0.8603345749253678,0.6666666666666665
48,215,rectangle,high,medium,0.9917214201735945,0.7564706787482356,0.9888847093671821,0.8634810189790658,0.7165178571428571
68,6,rectangle,high,medium,0.993668174813823,0.7292366919119582,0.9911179843380628,0.9560230145425012,0.7142857142857142
68,15,rectangle,high,medium,0.9939696915356013,0.7598204365937378,0.9915612881490519,0.933231945263723,0.6785714285714286
48,206,rectangle,high,medium,0.9936949950308681,0.6921381352806526,0.9927202987538163,0.9182905897897368,0.7
68,14,rectangle,high,medium,0.9939412878067676,0.7530435893201246,0.9932834770823182,0.95772733447269,0.6715686274509803
48,214,rectangle,high,medium,0.9914873255252994,0.6968529433222748,0.9876532912214202,0.8514135297703539,0.6956521739130435
68,33,rectangle,high,medium,0.9929678991262147,0.752692008589843,0.9899655543354395,0.8981105455065708,0.6956521739130435
68,32,rectangle,high,medium,0.9946413728097823,0.7775884139975285,0.9941162404167764,0.9573105378712975,0.6875
68,16,rectangle,high,medium,0.9940325786333231,0.7010878150101898,0.9919061053520195,0.948186196546254,0.653846153846154
68,42,rectangle,high,medium,0.9943701522407447,0.590240527888439,0.9934897520190852,0.9229116698374036,0.7047930283224401
68,4,rectangle,high,medium,0.9937637873477907,0.7412269855661588,0.9921104917822731,0.9236280503690384,0.6514837819185646
68,24,rectangle,high,medium,0.9942976737067034,0.7295504346352889,0.9926426549423437,0.9671309020165579,0.5769230769230769
68,20,rectangle,high,medium,0.9942516887311524,0.7537863250104067,0.9924101839500131,0.9243904333787039,0.6129032258064516
68,40,rectangle,high,medium,0.9925330510804334,0.73999402536682,0.9910560866573573,0.9420068144627378,0.6923076923076923
48,151,rectangle,high,medium,0.9941134717208286,0.6700245309448508,0.9920929294234624,0.8266313789218811,0.7
68,17,rectangle,high,medium,0.9939442337859324,0.7563873323196925,0.9913752062786044,0.9281777174174988,0.6857366771159874
48,168,rectangle,high,medium,0.9915135351269058,0.6783800636197668,0.9882432997275576,0.8799083835862516,0.7142857142857142
68,51,rectangle,high,medium,0.9946191879774354,0.7114612466991989,0.9930908259879195,0.957204977150328,0.6753378378378379
68,57,rectangle,high,medium,0.9941513251470087,0.6989249493836073,0.9920198914397944,0.8485366922957128,0.7217021276595744
68,53,rectangle,high,medium,0.9909913985127342,0.7458476826524685,0.9893106567467504,0.9075055603124118,0.7
68,62,rectangle,high,medium,0.994467358778116,0.7323220100253077,0.9941505234876865,0.9176594417035553,0.6545092838196287
48,194,rectangle,high,medium,0.9905397321708976,0.686706422344117,0.9855415707986858,0.868010098067264,0.7000000000000001
68,66,rectangle,high,medium,0.9940772698668349,0.6729154362414833,0.9940177739208753,0.9310024498944366,0.736842105263158
68,88,rectangle,high,medium,0.9932131738118468,0.6881148255512823,0.9939838039892712,0.9275910661359794,0.7142857142857142
68,81,rectangle,high,medium,0.994250188666178,0.739766004144996,0.9913502101803987,0.9488880885332105,0.7000000000000001
68,91,rectangle,high,medium,0.993994869315516,0.7443497176772949,0.9917458024372529,0.9543736174397691,0.5847701149425288
68,75,rectangle,high,medium,0.9910541827758041,0.7778559707483156,0.9883534712936991,0.9031335916009825,0.625
68,115,rectangle,high,medium,0.9944342151293989,0.7223548403546587,0.9930047413437278,0.9485950325544906,0.6638418079096045
68,105,rectangle,high,medium,0.9944446281265348,0.7163696469494081,0.9925025712659249,0.9424249497974029,0.7178655660377359
68,108,rectangle,high,medium,0.9943464686872429,0.7238057912041429,0.9933279655500313,0.9529020126301024,0.7407407407407407
68,25,rectangle,high,medium,0.9942212639866731,0.7218021637223486,0.992780229848398,0.9471241131007366,0.7052139037433155
68,54,rectangle,high,medium,0.9868268147153434,0.7924833142433974,0.9819334722366984,0.9080644523336878,0.5931712962962963
68,73,rectangle,high,medium,0.992162361008925,0.7311461510176256,0.9899197802968124,0.9574483635168699,0.6818181818181819
68,125,rectangle,high,medium,0.9913243772147674,0.6639542484159069,0.9900306515113494,0.9309415950217453,0.71875
68,84,rectangle,high,medium,0.9940750479999344,0.7051510401843262,0.991485674209247,0.9313090640747227,0.7343137254901961
68,121,rectangle,high,medium,0.9944946898276672,0.7054997698810442,0.9936339479360071,0.9296126059785971,0.6399999999999999
68,89,rectangle,high,medium,0.9935481641181183,0.7755349208570358,0.9920655142747294,0.9420490022230514,0.6306042884990254
68,112,rectangle,high,medium,0.9940379688639954,0.7177942359744314,0.9924717173761892,0.9230954843185023,0.6909814323607427
68,120,rectangle,high,medium,0.9915598367365096,0.727873836134957,0.9870010597032756,0.9237028619609855,0.6785714285714286
68,97,rectangle,high,medium,0.9928847040306966,0.7642519498254711,0.99106474375216,0.9342084617251141,0.7071078431372549
68,61,rectangle,high,medium,0.9941009692476915,0.7003498876717011,0.9937588125187955,0.9291685793501171,0.6896551724137931
68,143,rectangle,high,medium,0.9926578796890555,0.6999105044500504,0.9911449983585439,0.9368866621335336,0.5917508417508418
68,145,rectangle,high,medium,0.9942499597767379,0.7562618789177152,0.9933921796614071,0.9188243245194585,0.6666666666666666
68,185,rectangle,high,medium,0.9942338670859769,0.6992173297887588,0.9933155864142799,0.9567412153623167,0.6666666666666667
68,155,rectangle,high,medium,0.9934828548994683,0.7091293659497513,0.9918911088148412,0.9543685750660426,0.718695652173913
68,83,rectangle,high,medium,0.9930545730582809,0.7270358583526333,0.9908242115392203,0.9165294299408047,0.7113095238095237
68,158,rectangle,high,medium,0.994277362827633,0.7324844804759079,0.9912086337649405,0.9417537687546889,0.621921921921922
68,117,rectangle,high,medium,0.99249543734381,0.7652896076664268,0.9898290359619265,0.9357314478259948,0.6545092838196287
68,203,rectangle,high,medium,0.9932718431228634,0.6578134215146613,0.9924253214232391,0.9255936741266568,0.7285012285012286
68,171,rectangle,high,medium,0.9947938587400804,0.7161392752211211,0.9925219637202393,0.9334631082526416,0.59375
68,55,rectangle,high,medium,0.9937874925870431,0.7249955228923491,0.991507155892325,0.9434682829223656,0.5555555555555556
68,210,rectangle,high,medium,0.9946067369065693,0.6894159298772223,0.9938380692273582,0.9463774142091063,0.6923076923076923
68,147,rectangle,high,medium,0.99430803469587,0.7757776169494173,0.9927222584980101,0.943358097536666,0.7142857142857142
