exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
69,154,rectangle,high,none,0.9936135312925537,0.7217891898962275,0.9928916429709573,0.9456366157813987,0.6666666666666667
86,12,rectangle,high,none,0.9929275270192089,0.6773152308168295,0.9889877767240522,0.8723773353557644,0.5783625730994152
48,110,rectangle,high,none,0.9932329334514437,0.7289465347014363,0.9914636368542207,0.9274297347970148,0.7360681114551084
80,201,rectangle,high,none,0.9871105280738477,0.6850523023152153,0.98184284501473,0.905836092478628,0.7333333333333334
86,5,rectangle,high,none,0.9931858327074684,0.7446493395290177,0.9904322258666971,0.9040647631518356,0.5813673567645643
86,3,rectangle,high,none,0.9929783316274599,0.6371688218007792,0.9893006217534477,0.8624558259698272,0.6056618819776715
69,163,rectangle,high,none,0.9908182653688034,0.7128365885890776,0.9863921036029517,0.8527050248517918,0.6287683031869079
48,201,rectangle,high,none,0.9930562542453836,0.7052698579774992,0.9906899559037529,0.937718583390562,0.7231800766283525
82,211,rectangle,high,none,0.9932619494195426,0.7775676398211172,0.9908381943590874,0.9559331071228429,0.6470588235294117
80,38,rectangle,high,none,0.9880142656107054,0.6206076757917038,0.9838148993390651,0.8541676566629132,0.7777777777777779
69,5,rectangle,high,none,0.9926927526820508,0.6923249518182595,0.9898010163740866,0.94663892603038,0.6333333333333333
82,204,rectangle,high,none,0.9897430784629333,0.555363454967672,0.9840513020093431,0.9040775892435121,0.6139162561576355
82,201,rectangle,high,none,0.9905781337683395,0.7099402074441317,0.9857726631095861,0.9142360835896477,0.59375
68,96,rectangle,high,none,0.9930524459730599,0.7541207174637035,0.9899141697266698,0.9279917064147127,0.5816666666666667
48,38,rectangle,high,none,0.9921640852243712,0.7372282483957247,0.9887860754806874,0.9319330643751327,0.72
82,196,rectangle,high,none,0.9879324609978771,0.6664032604005244,0.9811730326469758,0.9123582826246872,0.6206896551724137
48,93,rectangle,high,none,0.9924759102383981,0.6915499742727587,0.9920636509619244,0.9387746986298107,0.6666666666666667
48,36,rectangle,high,none,0.9898252284088402,0.7272822993660528,0.986785743825632,0.9488191334901774,0.7567567567567568
82,189,rectangle,high,none,0.9917098295973665,0.8080455236850801,0.988692348652802,0.9268689859231874,0.6434624697336562
80,204,rectangle,high,none,0.9788981812501389,0.6771466124956333,0.9680210159278654,0.8798237368242372,0.7236363636363636
68,38,rectangle,high,none,0.9942749490110881,0.7782410927663521,0.9920388670449306,0.8425757131984251,0.6785714285714286
48,30,rectangle,high,none,0.9921576686729453,0.7686920362285141,0.9904746735186649,0.9076309845684346,0.7013513513513514
82,181,rectangle,high,none,0.9927695142649577,0.7920473233763967,0.9887802313259412,0.9306795524739631,0.6357493857493858
82,154,rectangle,high,none,0.993352139333101,0.6843892071327529,0.9907178049071165,0.9481453908590012,0.6399999999999999
68,36,rectangle,high,none,0.9945214010287214,0.6971628698780379,0.9934374738201062,0.8853628634578676,0.7055180180180181
48,28,rectangle,high,none,0.9912393809356146,0.6996074755111019,0.9878156504387883,0.8748259958290878,0.6594202898550724
69,3,rectangle,high,none,0.9922130601291723,0.7476827618115709,0.9900564184768036,0.9022401065908181,0.6306042884990254
68,30,rectangle,high,none,0.9937775248876638,0.7468285192506632,0.9921694796207496,0.9389174649340308,0.7320512820512821
68,204,rectangle,high,none,0.993913732574653,0.6378238919362754,0.9918159428370757,0.9167066234186866,0.7142857142857142
80,196,rectangle,high,none,0.9856908358123402,0.654452022998196,0.9779424929438968,0.9020187882071664,0.7391304347826088
82,163,rectangle,high,none,0.9894636322921072,0.7183810506367463,0.9838326908141946,0.8870262350541146,0.6052631578947368
68,28,rectangle,high,none,0.9929603847215169,0.6831941747702335,0.9912161094156939,0.9252293380896534,0.6666666666666666
68,201,rectangle,high,none,0.9945406783171503,0.6743977350989725,0.9934170543812552,0.9414397889408223,0.6666666666666666
68,12,rectangle,high,none,0.9940683067879401,0.7544804070326543,0.9929812852547573,0.915130343576573,0.6754445964432285
68,196,rectangle,high,none,0.9894572536491963,0.6931667589961751,0.9820170465868605,0.9000345408622396,0.6896551724137931
68,5,rectangle,high,none,0.9935250360428852,0.7764402622555252,0.9930519078073148,0.95418654437848,0.6963109354413702
48,96,rectangle,high,none,0.9907413181174041,0.7176523137848516,0.9872141107495586,0.8875574243484535,0.5
68,189,rectangle,high,none,0.9938361938563436,0.7723934397233265,0.992714195266986,0.9557343261020641,0.6558704453441296
68,3,rectangle,high,none,0.993941676402961,0.7345679679335767,0.9931618423364326,0.933633324209124,0.6857142857142857
68,181,rectangle,high,none,0.9948971485294485,0.6968148675124279,0.9935991762828341,0.9542239507690441,0.6878205128205128
82,110,rectangle,high,none,0.9921650050942914,0.7261911657007287,0.9886247210993839,0.920268832976434,0.631578947368421
68,163,rectangle,high,none,0.9927093431983888,0.686053446101595,0.9903432761666278,0.9260757355482885,0.6775210084033613
80,30,rectangle,high,none,0.9865678697763898,0.7024607294063148,0.9804581593370101,0.9451519566494715,0.7119815668202765
68,154,rectangle,high,none,0.99432097928236,0.7292363542585499,0.992949987921815,0.9500641872203046,0.6809090909090909
82,96,rectangle,high,none,0.9904395004347777,0.732511708202615,0.9871208206244086,0.935917482226054,0.6176470588235294
69,110,rectangle,high,none,0.9924089260046588,0.7565341579384935,0.9897237240563628,0.9185510481209643,0.6306042884990253
82,93,rectangle,high,none,0.9910330146471144,0.7085794315362487,0.9888649475228891,0.8735266479832527,0.6666666666666666
80,28,rectangle,high,none,0.986803838024002,0.6757777781253043,0.9837297666115787,0.8858950176244791,0.6396103896103895
48,5,rectangle,high,none,0.9923982339149519,0.7341449373672311,0.9888118211521578,0.8842898939163248,0.7142857142857142
48,12,rectangle,high,none,0.9925449526510487,0.7236464299457599,0.9897324419998602,0.9478195372091881,0.6530100334448161
80,36,rectangle,high,none,0.98336285641714,0.69791948276032,0.9795077653533493,0.9006905691059179,0.7272727272727273
