exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
13,75,rectangle,low,medium,0.9897454754105788,0.728531654424782,0.984372097869791,0.9028588966262077,0.6666666666666665
13,20,rectangle,low,medium,0.9927500871638371,0.7576804056933165,0.9896327309746973,0.9213401454122001,0.6428571428571428
21,25,rectangle,low,medium,0.9938892767666774,0.7373916705376565,0.9925119057221151,0.9510967304764395,0.6939799331103679
13,14,rectangle,low,medium,0.9919509545372271,0.7193067745986121,0.9899616213723933,0.9534774995701322,0.6461538461538462
13,151,rectangle,low,medium,0.9935957449896237,0.6877165019178966,0.9920484685956013,0.9382828910186197,0.6551724137931034
13,33,rectangle,low,medium,0.9913487770647073,0.7306255411926001,0.9878311200947103,0.9392769343948312,0.6666666666666667
13,42,rectangle,low,medium,0.9918320215034183,0.6006642739089791,0.9884331347753971,0.9349336516275725,0.5862068965517242
13,194,rectangle,low,medium,0.9915402055331662,0.6830564287220003,0.9886573985463435,0.92129192276974,0.6486486486486487
13,192,rectangle,low,medium,0.9931263201962044,0.6943252269716819,0.9904498292656015,0.9353484318995491,0.6296296296296298
13,40,rectangle,low,medium,0.9913824212102197,0.7396248786430664,0.9893226309590593,0.9142637625132083,0.5976190476190476
21,17,rectangle,low,medium,0.9924815010738435,0.7135520880666836,0.9907825408090786,0.8888119661595039,0.7000000000000001
21,20,rectangle,low,medium,0.9932138264868502,0.6821095027179565,0.9919708297132138,0.8976753336460901,0.6086956521739131
13,145,rectangle,low,medium,0.992231452337073,0.6752457338489037,0.9920788148210915,0.9125219254467092,0.5625
13,4,rectangle,low,medium,0.9932915575353389,0.7748951672943165,0.9913690682462759,0.9002302295428666,0.645497311827957
21,16,rectangle,low,medium,0.9915956173433838,0.7586356024061388,0.9892623400716235,0.9204997791132549,0.6451612903225807
21,15,rectangle,low,medium,0.9928195211217997,0.6595497847747378,0.9908693902141787,0.8641170748023863,0.6842105263157894
13,97,rectangle,low,medium,0.9917470940676761,0.7556303231025602,0.9898639844045565,0.9443159883843453,0.6381818181818182
13,185,rectangle,low,medium,0.9931161324212269,0.7302362548114363,0.9909666191981714,0.9277587147621655,0.638888888888889
13,207,rectangle,low,medium,0.9920964737852892,0.680292798078673,0.9884105417381898,0.9531800972780373,0.6486486486486487
21,14,rectangle,low,medium,0.9931617837596108,0.692243836200775,0.9922220936539742,0.9129017779183183,0.65625
13,171,rectangle,low,medium,0.9931786983977479,0.7030127391403765,0.9900002199992928,0.9201809957181286,0.5645833333333333
21,6,rectangle,low,medium,0.9913388096222304,0.7011502944036057,0.9905399374784466,0.9054004172308688,0.7391304347826088
