exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
27,5,rectangle,low,none,0.9933780186957922,0.7027274312989575,0.9917555288507987,0.9151202204484139,0.7399355877616748
34,36,rectangle,low,none,0.9923795296781529,0.6370657808776621,0.9896977715890606,0.9492715335054321,0.6530100334448161
27,3,rectangle,low,none,0.9913772841969813,0.7206499765399969,0.9875310178753551,0.8976006894007071,0.6733333333333333
13,211,rectangle,low,none,0.9946023030015045,0.776313788030035,0.9930071509384895,0.9217822020848881,0.6501610305958132
27,201,rectangle,low,none,0.992560066853839,0.7072041612382922,0.9903562501802604,0.9020787521656459,0.75
34,30,rectangle,low,none,0.9930362613612893,0.6740642682720399,0.9907396589348383,0.9564635258212492,0.6458333333333333
21,201,rectangle,low,none,0.9925965331406242,0.7011169487201396,0.9896498421652378,0.8896155835009731,0.7142857142857142
13,36,rectangle,low,none,0.9922884567458305,0.6853716043901782,0.9894096789258588,0.8890201303994714,0.6165158371040724
27,196,rectangle,low,none,0.987071422627659,0.6527034388251732,0.9779910228833779,0.8960266226543447,0.7241379310344828
13,204,rectangle,low,none,0.9913876136180934,0.5757078883946584,0.98618129639558,0.8800016939737734,0.6510869565217391
31,189,rectangle,low,none,0.9933832468750735,0.7664610735210688,0.991580532780041,0.9450174261724402,0.6086956521739131
34,28,rectangle,low,none,0.991983155832381,0.7311891128977285,0.9887259310455955,0.9187629585535027,0.6511627906976745
21,211,rectangle,low,none,0.9946152609025585,0.7665300693113168,0.9933877867737351,0.9457363672952008,0.695048309178744
27,189,rectangle,low,none,0.9925825038762438,0.6526503026087864,0.9898788617390271,0.9052414700518763,0.6846590909090909
13,201,rectangle,low,none,0.9924261803711355,0.7347591149050936,0.9892474570424603,0.9095114413290667,0.6428571428571428
31,181,rectangle,low,none,0.9929274227881231,0.7023029873970263,0.9911838552686904,0.9309124449043518,0.725705329153605
31,196,rectangle,low,none,0.9891056165025094,0.734042851341438,0.9840976622558538,0.9069387033820329,0.6830143540669856
21,96,rectangle,low,none,0.9908201018348746,0.6676727205336519,0.9886475769309572,0.9057678148783581,0.5853658536585366
34,12,rectangle,low,none,0.9929275866623619,0.7112433036772756,0.9921694814952009,0.9221355747039592,0.6666666666666666
27,181,rectangle,low,none,0.9934684097386951,0.6791232604996721,0.9920043031680573,0.9499779914682713,0.6666666666666666
13,196,rectangle,low,none,0.9886608498488766,0.7163979097012678,0.984332986648934,0.9112013212832362,0.6141439205955335
31,163,rectangle,low,none,0.9918400392193956,0.7058069574132306,0.9896432173206958,0.9025136724991708,0.6578397212543554
34,5,rectangle,low,none,0.9931992778370742,0.7287231094955549,0.992085510479357,0.9488191146745505,0.6451612903225807
13,30,rectangle,low,none,0.992504091546279,0.7236125030938751,0.9893112556147322,0.9343256003243982,0.6267857142857143
27,163,rectangle,low,none,0.9904688373376139,0.6798721240886816,0.9877856670734526,0.8945139598017414,0.6956521739130435
13,189,rectangle,low,none,0.9934122056024632,0.7379828953673062,0.9919561458538434,0.9340104485368851,0.6296296296296298
31,154,rectangle,low,none,0.9937632199845025,0.7098458352493427,0.9918615374821589,0.9423192131003545,0.7142857142857142
34,3,rectangle,low,none,0.9934182973092973,0.7521082565932509,0.9922368913066717,0.950277973167795,0.6191683569979716
13,28,rectangle,low,none,0.9913749520915626,0.6767160249198172,0.9886849625957275,0.9443662028175149,0.6456575682382134
27,154,rectangle,low,none,0.9938628640930333,0.6760426024900252,0.9909575987178397,0.9296947676505272,0.7142857142857142
13,181,rectangle,low,none,0.9930465523140396,0.6439403216955424,0.9901189960147151,0.9301029578204976,0.629100529100529
29,110,rectangle,low,none,0.9924144030900406,0.6975784704041504,0.9910634794042094,0.9526362699213192,0.7297297297297298
13,12,rectangle,low,none,0.9923414165414349,0.7482969293727899,0.9879909386257061,0.9046136206919378,0.6666666666666667
21,204,rectangle,low,none,0.9929971066049623,0.5733660659651705,0.9905451992294811,0.8698496212726126,0.7
31,12,rectangle,low,none,0.9924349612271856,0.6804338194539186,0.9906552675519106,0.9248207719229544,0.6904761904761905
13,163,rectangle,low,none,0.9911972742802455,0.6966367396975692,0.9890180549834933,0.8955496132138598,0.6451612903225807
21,189,rectangle,low,none,0.9926446359284361,0.7188782666726787,0.9904680170500112,0.8935149271654831,0.625
13,110,rectangle,low,none,0.9932106191281702,0.7227806411715076,0.9899733107925773,0.9149527643037847,0.653846153846154
31,5,rectangle,low,none,0.9935669845788607,0.7195310620241896,0.9922501708407435,0.9405001266574258,0.7142857142857142
31,110,rectangle,low,none,0.9939265409654926,0.7528181435299361,0.9919101068150267,0.9326149343520631,0.7333333333333334
21,181,rectangle,low,none,0.992706794925324,0.6792464152792763,0.9889032158125755,0.9166225313570419,0.7
31,3,rectangle,low,none,0.9929022499430151,0.7133878569626861,0.9909117506158948,0.9244529346628765,0.675
27,110,rectangle,low,none,0.9931419488680047,0.6704542408994247,0.9910105697815861,0.9225149634922816,0.7192118226600985
21,163,rectangle,low,none,0.9921282773365292,0.7122620542716875,0.989465967362779,0.9075882412070404,0.6956521739130435
13,96,rectangle,low,none,0.9905157455576866,0.7449354656650901,0.987871753421709,0.9225506885937443,0.584860883797054
31,96,rectangle,low,none,0.9914520913120481,0.7227489758495347,0.9883311977946212,0.9443210719601951,0.5625
35,36,rectangle,low,none,0.9909087706213521,0.7351565213867703,0.9847237457190928,0.8672494313093497,0.5862068965517242
21,154,rectangle,low,none,0.9939547896305719,0.7101607136124052,0.9926729980081082,0.894634492064292,0.7142857142857142
13,154,rectangle,low,none,0.993617536859013,0.7498306674407751,0.9916927284127645,0.934874927724575,0.6399999999999999
29,211,rectangle,low,none,0.9930905019833445,0.7421470535049367,0.9916989201068764,0.9539223740613975,0.625
31,204,rectangle,low,none,0.9916909939198723,0.599739128862182,0.9870036837479792,0.9073582246950598,0.6363636363636365
31,28,rectangle,low,none,0.9926221172273411,0.7057578420448017,0.9904249483744307,0.9519186626707584,0.6510869565217391
13,93,rectangle,low,none,0.9920730708795402,0.6760803836058185,0.9893014952941681,0.8345149297051683,0.6233766233766234
31,93,rectangle,low,none,0.9928949147745486,0.7023276838163679,0.9915080127299807,0.8780382433675684,0.6666666666666667
29,96,rectangle,low,none,0.9897774762630529,0.7464018138825661,0.9852928501002638,0.9303066421796082,0.5853658536585366
35,30,rectangle,low,none,0.9916913045034047,0.7111654746378695,0.9874130160990713,0.9564361824386552,0.5833333333333335
29,204,rectangle,low,none,0.9899441547852407,0.5727447027883729,0.9840682171135916,0.9063658178119834,0.6521739130434783
29,93,rectangle,low,none,0.9917903829933307,0.7137579491693926,0.9897137970551845,0.8936586572830671,0.638095238095238
27,96,rectangle,low,none,0.9906110053985077,0.6949997639721065,0.9878851790799626,0.9120775041265364,0.5799169693824597
29,201,rectangle,low,none,0.991456984961791,0.6911078611275082,0.9880446500466739,0.9167361764391319,0.6666666666666667
35,28,rectangle,low,none,0.9913999774364347,0.65649385407784,0.9854159195330913,0.9404772687383867,0.6153846153846154
31,38,rectangle,low,none,0.9931682562221671,0.7312665837995138,0.9908977576329986,0.8612493944758831,0.7171428571428571
21,110,rectangle,low,none,0.9937507355584043,0.7072551273389678,0.9918331425484954,0.9128187855771892,0.7198401162790697
29,196,rectangle,low,none,0.988440693674069,0.6735958218297036,0.9840696197796437,0.9173258101389746,0.6405128205128205
35,12,rectangle,low,none,0.9919741821848345,0.7586090548290243,0.9887584846372469,0.9251027547423263,0.6290322580645161
27,93,rectangle,low,none,0.9909378245284977,0.7114126162979075,0.9889120235060794,0.8557742908316507,0.6666666666666666
29,38,rectangle,low,none,0.9919695427917894,0.7156946399248065,0.9896219647095348,0.8677703274386974,0.7058823529411764
13,38,rectangle,low,none,0.9927294805173844,0.7285452745879601,0.9904395109466934,0.8367226215921063,0.5957446808510638
29,189,rectangle,low,none,0.9923437098784732,0.7075731931085087,0.9904349163864122,0.9581357135428249,0.6444444444444445
35,5,rectangle,low,none,0.9913262727025804,0.6433950867563336,0.9893799222520757,0.9510830587628402,0.5833333333333335
13,3,rectangle,low,none,0.9921708706319681,0.7760637943848988,0.9891315173607882,0.9061036516545617,0.6153846153846154
29,36,rectangle,low,none,0.9894142054829375,0.7074968630157492,0.9877993796144033,0.9000076106524549,0.6545092838196287
29,181,rectangle,low,none,0.9909642052294936,0.7317680889245497,0.9893689829286306,0.9574311419551214,0.7272727272727273
13,5,rectangle,low,none,0.9930483473852744,0.7524892967278748,0.9908678728491049,0.9419905450362802,0.6071428571428572
