exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
48,176,rectangle,high,low,0.9931794950186844,0.694135685842782,0.9900913134498216,0.8973587688658675,0.6086956521739131,Java_high_Java_low_results.csv
68,101,rectangle,high,low,0.9914111360674,0.7687538066147909,0.9906176976469052,0.9467387576847348,0.6666666666666666,Java_high_Java_low_results.csv
68,94,rectangle,high,low,0.9949797893110686,0.7369145541113918,0.9936491397701824,0.8788628124969087,0.6956521739130435,Java_high_Java_low_results.csv
48,182,rectangle,high,low,0.992574495854131,0.7031496509554905,0.9889581529938276,0.8946663263082386,0.7350877192982457,Java_high_Java_low_results.csv
68,79,rectangle,high,low,0.994579473419038,0.7652360221852568,0.9932485137361978,0.9381928977555112,0.6715686274509803,Java_high_Java_low_results.csv
48,180,rectangle,high,low,0.99247231241803,0.7656257521461682,0.9908341389188472,0.9147559088864632,0.7142857142857142,Java_high_Java_low_results.csv
68,78,rectangle,high,low,0.9930615194383172,0.7070109266717914,0.992015175665249,0.9481240784502002,0.6666666666666666,Java_high_Java_low_results.csv
68,77,rectangle,high,low,0.9930010544515372,0.7478857892818563,0.9910186435040538,0.932765472125851,0.625,Java_high_Java_low_results.csv
48,79,rectangle,high,low,0.993605576983782,0.7420564224012278,0.991851223777972,0.8771974260723677,0.6785714285714286,Java_high_Java_low_results.csv
68,74,rectangle,high,low,0.9939169756337864,0.7338091198884952,0.9917326097268838,0.9107567575267864,0.6666666666666667,Java_high_Java_low_results.csv
48,78,rectangle,high,low,0.9932075730990468,0.7279795304148157,0.9902613414678884,0.9174121271350412,0.7017543859649122,Java_high_Java_low_results.csv
68,71,rectangle,high,low,0.9929266129732106,0.6869550383645044,0.9913209575347868,0.8858838382593144,0.7083333333333334,Java_high_Java_low_results.csv
48,77,rectangle,high,low,0.992044848656386,0.6700287828284197,0.988917666694071,0.9271825247467904,0.6086956521739131,Java_high_Java_low_results.csv
68,67,rectangle,high,low,0.993961865983217,0.7567279290791629,0.9922939434720488,0.9403736862258176,0.736842105263158,Java_high_Java_low_results.csv
48,74,rectangle,high,low,0.992536734515552,0.7330980299648123,0.9892497907176624,0.9610090012434488,0.6666666666666667,Java_high_Java_low_results.csv
68,65,rectangle,high,low,0.9925792444879724,0.6250556911346974,0.9888232938225812,0.8479341214620142,0.6818181818181819,Java_high_Java_low_results.csv
48,71,rectangle,high,low,0.9899141358065032,0.6819739322019827,0.9869903740158972,0.8691261133243776,0.75,Java_high_Java_low_results.csv
68,64,rectangle,high,low,0.9934880073839604,0.7277426401632925,0.9920531614719614,0.8875948984975637,0.6818181818181819,Java_high_Java_low_results.csv
48,101,rectangle,high,low,0.98945385099886,0.7668063676282612,0.9857698912433271,0.9195222444512348,0.7692307692307693,Java_high_Java_low_results.csv
48,104,rectangle,high,low,0.991241114216299,0.7221925210071185,0.9885377064372032,0.8845411204271252,0.7379862700228833,Java_high_Java_low_results.csv
48,67,rectangle,high,low,0.9907110232127168,0.7634923351197267,0.9898953447751369,0.850390191569094,0.7777777777777779,Java_high_Java_low_results.csv
68,63,rectangle,high,low,0.9924116917292446,0.7418407855553191,0.9895589354639588,0.9229777186063688,0.6428571428571428,Java_high_Java_low_results.csv
48,107,rectangle,high,low,0.9900830276680176,0.7510050737776707,0.9844028875832226,0.930817915002048,0.6153846153846154,Java_high_Java_low_results.csv
48,65,rectangle,high,low,0.9890805808083152,0.5912364523978535,0.986049353900278,0.9436460928006164,0.7575757575757576,Java_high_Java_low_results.csv
68,60,rectangle,high,low,0.992897644054344,0.6986815290535746,0.991575420799194,0.9513183699271208,0.6715686274509803,Java_high_Java_low_results.csv
48,64,rectangle,high,low,0.9910657994919032,0.6979792152777622,0.9869586819376808,0.8886032917260087,0.6809090909090909,Java_high_Java_low_results.csv
68,56,rectangle,high,low,0.9946599104483612,0.6987620185462071,0.9934147124488766,0.9572992712175512,0.6020833333333333,Java_high_Java_low_results.csv
48,124,rectangle,high,low,0.9928052074487844,0.7141674454359395,0.990952983739624,0.9514744931510396,0.7752525252525253,Java_high_Java_low_results.csv
48,63,rectangle,high,low,0.990679724435142,0.7097146424321064,0.9854652204646248,0.9124550958897653,0.6363636363636364,Java_high_Java_low_results.csv
48,126,rectangle,high,low,0.9927113855874028,0.6902638447151752,0.9907608993370484,0.907684932348804,0.6923076923076923,Java_high_Java_low_results.csv
48,60,rectangle,high,low,0.9908339717922304,0.7687574019460681,0.9878457607061336,0.8596805980609581,0.6440092165898618,Java_high_Java_low_results.csv
48,128,rectangle,high,low,0.9910058557729612,0.6925290352910456,0.9895782973119288,0.9139798361171804,0.736842105263158,Java_high_Java_low_results.csv
48,56,rectangle,high,low,0.9929934061294144,0.7606752529362885,0.991726808337254,0.8734206010295479,0.5823643410852714,Java_high_Java_low_results.csv
48,44,rectangle,high,low,0.9934731767320076,0.7275360008364684,0.9914003213234532,0.8646375218776756,0.7,Java_high_Java_low_results.csv
