exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
10,3,5,low,none,0.9915597363076617,0.6852654091194786,0.9883471533893995,0.9268697102928924,0.6485294117647058
10,5,5,low,none,0.992684064216765,0.7519634687184199,0.9907490258970535,0.9468470997666357,0.653846153846154
10,12,5,low,none,0.9910937745216803,0.8112929339571182,0.9858107017207227,0.9040859087583311,0.6695402298850575
10,28,5,low,none,0.9907590071925687,0.7927652398043736,0.9878802634923449,0.9563189760294668,0.6306818181818182
10,30,5,low,none,0.9917514974442281,0.7652955058468962,0.9878195812124404,0.9183185131727215,0.6923076923076923
10,36,5,low,none,0.9912282696270911,0.664421712292005,0.988552267535201,0.9492343385462981,0.6666666666666666
10,93,5,low,none,0.9913411947468271,0.658222576699351,0.989645305427729,0.9028367968424156,0.7096774193548387
10,96,5,low,none,0.9910078458697642,0.7464857408902831,0.9870346542032019,0.8714278783583295,0.5741758241758241
10,110,5,low,none,0.9927692366887078,0.7596328220969143,0.9895614280307555,0.9540361635209718,0.6363636363636365
10,163,5,low,none,0.9895633987032072,0.8150271025583569,0.9872207046848018,0.9353886268783085,0.7142857142857142
10,181,5,low,none,0.9914850882740246,0.6956742819222251,0.9874963547372025,0.9457626775217063,0.6799999999999999
10,154,5,low,none,0.9937507381691262,0.6680027609808163,0.9907751097929461,0.8978827838390402,0.6666666666666666
10,189,5,low,none,0.9927403358032223,0.7224790465921436,0.9898469990733607,0.8767755764826447,0.6521739130434783
10,201,5,low,none,0.9915415716254904,0.7261097118014348,0.9886284752937318,0.923894510654417,0.6578947368421052
10,204,5,low,none,0.989441808421205,0.6139311219960819,0.9831600990336633,0.9169156662429014,0.6363636363636365
10,211,5,low,none,0.9926960230676446,0.741637610065802,0.9894778125862869,0.9371156072728736,0.6695402298850575
10,196,5,low,none,0.9887310303639406,0.6424808355790197,0.9825547080072029,0.8763770560330875,0.6799999999999999
13,3,5,low,none,0.9918254115811981,0.670085922628525,0.9884869857617364,0.9180817814863693,0.6666666666666666
13,28,5,low,none,0.9922782994387311,0.6537456254956279,0.98801061391439,0.9117489793245275,0.639672131147541
13,5,5,low,none,0.9924732009031313,0.6731795941717804,0.9881210962565802,0.934098489722172,0.653846153846154
13,12,5,low,none,0.9917555850250299,0.6485345463873549,0.9883600012771737,0.9039509623248694,0.675
13,36,5,low,none,0.9911681488221994,0.613740214936529,0.9877544050538857,0.8885820914023381,0.606060606060606
13,93,5,low,none,0.9917519727294729,0.6416267307522872,0.9873510440624761,0.8842513066646445,0.6
13,30,5,low,none,0.9917829130458523,0.6604732294592577,0.9881062829618549,0.9183947514228097,0.6521739130434783
13,110,5,low,none,0.9921840912644749,0.6518331800755434,0.9879711988813793,0.8879331938740103,0.6291228070175439
13,204,5,low,none,0.9911808666632883,0.5617020655235768,0.9854671186873442,0.8693484023154918,0.5999999999999999
13,96,5,low,none,0.9910831924221665,0.6688244725235828,0.9877467011934423,0.915279643531022,0.5958521384053299
13,201,5,low,none,0.9917559098961746,0.6355752464172,0.987508447925812,0.9260706762038424,0.6774193548387097
13,181,5,low,none,0.9916136081659016,0.6401881155304843,0.9871642344345348,0.9098686111164108,0.6341463414634145
13,163,5,low,none,0.9904253384370224,0.655727792194388,0.9859622824578743,0.908272742180515,0.5909090909090909
21,3,5,low,none,0.9929502003924925,0.649646799600698,0.9906211618359598,0.9072259301206582,0.7142857142857142
21,12,5,low,none,0.9928523876933453,0.6589315295557305,0.9908703628910651,0.9081551549405361,0.6944444444444445
21,28,5,low,none,0.9921532903293927,0.6972394149401704,0.9886405217467481,0.8876210421707292,0.6399999999999999
21,5,5,low,none,0.9927867930647428,0.6820844135924449,0.9914892575472132,0.868505734266652,0.6774193548387097
13,189,5,low,none,0.9922246300321638,0.6243767625388964,0.9887626699100478,0.9103742614162964,0.6486486486486487
21,30,5,low,none,0.9926765709808241,0.6979411458173914,0.9900545711207442,0.9038418948442631,0.7272727272727273
21,36,5,low,none,0.9927462457582313,0.6249144904822042,0.9896281984719161,0.8523566824330095,0.7
21,93,5,low,none,0.9921532903293927,0.6718479866164864,0.9880926920746902,0.9083989427048852,0.6799999999999999
13,211,5,low,none,0.9923065125295997,0.6732251044804458,0.9893149274496608,0.9409124165924212,0.6324561403508773
21,110,5,low,none,0.9927081799995064,0.676903185540602,0.9903051747307905,0.874398008851952,0.6551724137931034
21,96,5,low,none,0.9909141502490275,0.6975418355544901,0.986462823369246,0.8960770583504607,0.6211556383970177
13,154,5,low,none,0.9928896218363293,0.727463778206071,0.9901095001072747,0.9092724634246224,0.6195238095238095
21,163,5,low,none,0.9914132818339758,0.704526883821601,0.9885137987799634,0.8817723513443984,0.695048309178744
21,181,5,low,none,0.9921204511767813,0.6594020696335445,0.9884639929162684,0.8710316057473918,0.6314814814814815
21,204,5,low,none,0.9911510534033325,0.5942669235773286,0.987861652213132,0.848763937838222,0.6666666666666666
21,201,5,low,none,0.993077745275263,0.627238981152464,0.9905544483489634,0.9285691349183574,0.633739837398374
27,3,5,low,none,0.9913772841969813,0.7206499765399969,0.9875310178753551,0.8976006894007071,0.6733333333333333
21,189,5,low,none,0.9929190015753051,0.6817992650086806,0.9912176202331454,0.905414153654991,0.65625
27,5,5,low,none,0.9925343476805036,0.7283595851666902,0.9896023278669336,0.8914910253050654,0.7391304347826088
27,12,5,low,none,0.9901545872594588,0.7314011777016023,0.9855021631077138,0.9138621438313551,0.7
27,28,5,low,none,0.9904895067670206,0.7200913374493677,0.9888748107489693,0.8939819802896468,0.5901639344262295
27,30,5,low,none,0.9910477572391617,0.6740729982954106,0.9887740775145728,0.9098711368012388,0.7037037037037037
27,36,5,low,none,0.9907424291489626,0.6852211251266245,0.9877258997662028,0.8973845603977589,0.7467948717948718
