exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
26,164,vehicle,high,low,0.9899065300307013,0.6930006682365156,0.9870110202297087,0.8905007709954201,0.5797962648556876
26,77,vehicle,high,low,0.9925392985169106,0.762544338525092,0.9895231529910805,0.9013165610823831,0.5806976744186048
26,43,vehicle,high,low,0.9922822572252331,0.6976555469977226,0.9897553252799205,0.8944366131408915,0.6086956521739131
68,74,vehicle,high,low,0.9926013681291442,0.6831635709358035,0.9908200811109107,0.9347189925402354,0.6521739130434783
68,43,vehicle,high,low,0.9936435886837196,0.6691891393338766,0.9910575636950762,0.9126637601388358,0.6799999999999999
48,170,vehicle,high,low,0.9930135114112189,0.7054194524939402,0.9902745935634288,0.9110351235296663,0.625
26,200,vehicle,high,low,0.9882108643506873,0.729935712558935,0.9844819485773251,0.8952783942450171,0.657142857142857
26,78,vehicle,high,low,0.9895468280078423,0.7278133956449591,0.9837821378559262,0.9161897980008632,0.5972972972972972
26,41,vehicle,high,low,0.9928217474077508,0.6947110015232429,0.9915039311970699,0.962162711504137,0.653846153846154
48,140,vehicle,high,low,0.9930978384766757,0.7220163409121183,0.9917336505504624,0.9306111818823284,0.7358490566037736
26,140,vehicle,high,low,0.9908055919338293,0.7313795891437855,0.9888856381376452,0.9105812548062415,0.6153846153846154
26,79,vehicle,high,low,0.9917573569840269,0.7379401385874153,0.9894811017850498,0.9286287850247252,0.6461100569259963
1,74,vehicle,high,low,0.9881731269576403,0.7496880188613921,0.9830754554928673,0.9071900967579501,0.6666666666666666
1,43,vehicle,high,low,0.9924355698548181,0.6766475390089497,0.989969319039109,0.928684827805243,0.7171428571428571
1,94,vehicle,high,low,0.9895111559197712,0.7651553686378083,0.9873433492741492,0.888212018253866,0.7
26,37,vehicle,high,low,0.9917058239649716,0.728282234009294,0.9879390105660707,0.856021837232062,0.6363636363636365
48,139,vehicle,high,low,0.9935558097270003,0.6746682327226117,0.9918292499019576,0.9581095470485372,0.6521739130434783
26,183,vehicle,high,low,0.991420785512334,0.7295320505191738,0.988530161360728,0.9201083802385694,0.6551724137931034
26,139,vehicle,high,low,0.9905577810551123,0.6760212253421405,0.9866929239461368,0.9048963312937669,0.6092258748674444
1,21,vehicle,high,low,0.9916419965358442,0.6387909344349645,0.9896755206331996,0.8816267606480599,0.7
26,94,vehicle,high,low,0.9901091520854645,0.7493635195821109,0.9867946182663079,0.9339251148558306,0.6445993031358884
68,65,vehicle,high,low,0.9902530533776792,0.6877422361718069,0.9897462534184842,0.9301793327200216,0.7272727272727273
68,34,vehicle,high,low,0.9934187239076538,0.6819272045529663,0.9912969413823821,0.8866576824742752,0.7142857142857142
1,99,vehicle,high,low,0.992950073603216,0.7599091808310504,0.9898709191523158,0.8878624692325406,0.7083333333333334
26,182,vehicle,high,low,0.990715797901058,0.6959974814510188,0.9868542798560092,0.8599370259581297,0.6444444444444445
26,99,vehicle,high,low,0.992790381576205,0.690528944973188,0.9910780980234437,0.9245430284155016,0.6363636363636364
68,64,vehicle,high,low,0.9903008152147269,0.6597643911628415,0.9842394579737067,0.8799852299348756,0.6584928229665072
1,101,vehicle,high,low,0.991254195611103,0.5583860239421085,0.9871249188084705,0.9218335352159448,0.7
26,180,vehicle,high,low,0.9901890298702,0.7392127072447735,0.9875379823644095,0.9447519671466074,0.676470588235294
26,132,vehicle,high,low,0.9917426827759072,0.6855004465031802,0.9886253900466889,0.9024849427879137,0.5625
48,132,vehicle,high,low,0.9938656900875423,0.6966480611608332,0.9922811052815073,0.8791997035278529,0.7391304347826088
26,101,vehicle,high,low,0.9913140329133321,0.6588646965595784,0.9870991590993786,0.8628706573788306,0.653846153846154
68,63,vehicle,high,low,0.9932109292703649,0.716221748760472,0.9901356317351145,0.9170912429782263,0.6521739130434783
1,104,vehicle,high,low,0.9882251635423804,0.6651593450706801,0.9865211860605855,0.8615413184859442,0.6923076923076923
26,128,vehicle,high,low,0.9916299473223947,0.710213007774367,0.9882387065217811,0.8964167530359142,0.6145104895104896
48,128,vehicle,high,low,0.9923350589307436,0.6969815314799759,0.9893237601580199,0.8922801793686455,0.6774193548387097
26,104,vehicle,high,low,0.9882957720428656,0.7409806068270975,0.9858697089711324,0.8972132353975789,0.6
48,41,vehicle,high,low,0.9946878915106866,0.6324127968738051,0.992942149119058,0.9582446912944521,0.7142857142857142
1,180,vehicle,high,low,0.9885903893267853,0.6808867444778747,0.9851923401954935,0.921712096269943,0.6785714285714286
68,60,vehicle,high,low,0.9941245682818228,0.7385032243339578,0.9934801684700143,0.910687327378901,0.6666666666666667
26,126,vehicle,high,low,0.9903438534752865,0.7070546410046841,0.9872949717312988,0.9312564307827008,0.6785714285714286
48,126,vehicle,high,low,0.992274475728768,0.732531298171788,0.9898319743488775,0.894418254671763,0.7037037037037037
1,41,vehicle,high,low,0.9938312512127445,0.638542595705662,0.9919055230570599,0.9279500247824504,0.7142857142857142
1,200,vehicle,high,low,0.988632393438558,0.7375769489980124,0.984613576410496,0.9083442909936712,0.6666666666666666
1,183,vehicle,high,low,0.9914171569587868,0.7214275818097584,0.9886927558549891,0.8936911812672997,0.6915760869565217
1,179,vehicle,high,low,0.9916030860461802,0.6585265095891003,0.9875391171443805,0.9080448210226129,0.6071428571428572
