exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
1,20,vehicle,high,medium,0.990729723750258,0.7257426885769603,0.9886656849264438,0.9250042137898038,0.625
48,62,vehicle,high,medium,0.9927396449473491,0.6847480401306107,0.9912132523658094,0.9205076180075502,0.676470588235294
48,32,vehicle,high,medium,0.9936404563224024,0.7044289077337462,0.9925344935705976,0.9445019214280247,0.7
26,55,vehicle,high,medium,0.9926138140721736,0.7002243192628761,0.9902897403088017,0.8962308397218705,0.5976190476190476
1,73,vehicle,high,medium,0.991575121053774,0.6423999454569809,0.991526652809612,0.9450339046745837,0.7
26,66,vehicle,high,medium,0.9895742740175616,0.6518092432062803,0.9830058669314632,0.8741989947050594,0.5568475452196382
48,61,vehicle,high,medium,0.9935659559721035,0.6406505392191499,0.9912499621979215,0.9385641641434995,0.6785714285714286
26,6,vehicle,high,medium,0.991109926601948,0.7044201891278792,0.9890457658530644,0.8802433288027688,0.6428571428571428
26,70,vehicle,high,medium,0.989371941472714,0.7256085099732756,0.9871816270320577,0.8473001382166697,0.5879752431476569
1,24,vehicle,high,medium,0.9918166159417213,0.7588963373260629,0.9892707718437248,0.8732478606010721,0.5945945945945945
48,58,vehicle,high,medium,0.992926302709099,0.7197189798283552,0.9909500545855365,0.9470165322461965,0.6314814814814815
26,4,vehicle,high,medium,0.9909841154853135,0.7104880906690726,0.9881349739042022,0.9026416326837923,0.6172161172161172
26,62,vehicle,high,medium,0.9876556961863748,0.6804245099392023,0.9844816099288044,0.9069309141234776,0.6097560975609756
48,57,vehicle,high,medium,0.9932690773945829,0.7320081382970762,0.9910732276176285,0.9226953599281231,0.7217261904761905
1,215,vehicle,high,medium,0.9918857252938215,0.6792272755002962,0.9891319886737142,0.8867350027067779,0.6666666666666667
1,75,vehicle,high,medium,0.9874189289530206,0.746781943222989,0.9817855476760691,0.8917790253228419,0.6
26,206,vehicle,high,medium,0.9915799477894804,0.6547403927961621,0.9892400268303186,0.8945490317179359,0.6052631578947368
1,57,vehicle,high,medium,0.9901586933765919,0.6589387824539279,0.9891093089227576,0.9336330954997694,0.7272727272727273
48,55,vehicle,high,medium,0.9934361842409859,0.7034637605326082,0.9910346889670827,0.925323736559672,0.5
1,214,vehicle,high,medium,0.9923677310392062,0.5967703567581534,0.9910215884063251,0.9000522480657506,0.7142857142857142
26,54,vehicle,high,medium,0.9887578166383183,0.7510282006142446,0.9865638546967298,0.876157468655986,0.6739130434782609
1,55,vehicle,high,medium,0.9921281731554159,0.6304033719531104,0.9901315029050475,0.9364556073832062,0.5476190476190476
26,202,vehicle,high,medium,0.988084737570611,0.641107641951137,0.9804026622625197,0.8738579619743114,0.6785714285714286
1,169,vehicle,high,medium,0.9881850237361228,0.7460997018515361,0.9859159757277047,0.9413909775814437,0.6923076923076923
1,50,vehicle,high,medium,0.9901877775015622,0.6895640536787213,0.9868788244222243,0.8739827203570947,0.6923076923076923
26,61,vehicle,high,medium,0.989889636864358,0.7843348618429864,0.9863652370475902,0.9407706182476191,0.6153846153846154
26,147,vehicle,high,medium,0.9889210150948411,0.7457335270785342,0.9867829797564482,0.9149140870007954,0.5862068965517242
48,54,vehicle,high,medium,0.9926542184423418,0.6779923301963546,0.9901479401526208,0.9307856770022102,0.6079192546583851
26,53,vehicle,high,medium,0.988938436722423,0.7345016093669026,0.98525263943341,0.8416014378189748,0.6086956521739131
1,62,vehicle,high,medium,0.9868862890930101,0.722637320078422,0.9808758140338905,0.9016937646606165,0.6666666666666667
1,54,vehicle,high,medium,0.9883943892833423,0.7536545509130175,0.9848809098182404,0.890508573510102,0.588235294117647
26,197,vehicle,high,medium,0.9895585998498874,0.726256878002893,0.98745718038736,0.903934797093545,0.6069794050343249
1,40,vehicle,high,medium,0.9881619949735699,0.7567635082385253,0.9829577328293735,0.9385005615279295,0.6799999999999999
1,166,vehicle,high,medium,0.9873329534764794,0.694415148804853,0.9824383305419635,0.8831773942475047,0.72
48,53,vehicle,high,medium,0.9913362343172638,0.7419229960917625,0.9886783716262288,0.9242915798254044,0.6666666666666667
