exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
10,66,vehicle,low,medium,0.9899420139616311,0.6294913742628157,0.9842622255936561,0.8913012557445144,0.7003205128205128
10,155,vehicle,low,medium,0.9903090184198345,0.6983253106190609,0.9872202386469499,0.8477251737099061,0.6785714285714286
10,20,vehicle,low,medium,0.9905386448443066,0.7437548295598484,0.9868468604088065,0.9273514569024098,0.6809090909090909
10,62,vehicle,low,medium,0.9911527988973623,0.6813525182296096,0.9858520275321878,0.9359080927570291,0.6799999999999999
13,51,vehicle,low,medium,0.9916622153592305,0.6167962601904169,0.9885887855321681,0.882816882423797,0.6071428571428572
10,207,vehicle,low,medium,0.993281780904313,0.6890443318930757,0.9901257244381165,0.8761915876149086,0.6551724137931034
10,151,vehicle,low,medium,0.9948905794678153,0.6225990693351361,0.9925988904276583,0.8838858459042604,0.6578947368421053
10,25,vehicle,low,medium,0.9931285735576334,0.6180517299793085,0.9917477788657811,0.8543443888766942,0.6774193548387097
13,50,vehicle,low,medium,0.9911805419463744,0.7168146945471728,0.9874922074433228,0.9033602104929711,0.6
10,147,vehicle,low,medium,0.9895244787925259,0.7052310749732158,0.9857516654835354,0.9492074900482157,0.653846153846154
13,42,vehicle,low,medium,0.9912942926881738,0.6591233587064308,0.9873488989603344,0.9088641453401762,0.6153846153846154
10,145,vehicle,low,medium,0.9929055520911246,0.7238656952577245,0.9910997730158256,0.9416987409419098,0.6666666666666666
10,19,vehicle,low,medium,0.9901697715511095,0.7495932052738167,0.9874927943754018,0.9161462362493769,0.6086956521739131
13,19,vehicle,low,medium,0.9910198524453769,0.6647194588387593,0.9868707815358465,0.882918493638149,0.6101694915254237
13,40,vehicle,low,medium,0.9904156456203986,0.6456510168140621,0.9858407604701714,0.9008025792746768,0.6153846153846154
10,97,vehicle,low,medium,0.9933069124689444,0.8138299024214016,0.9894979311325782,0.9140706315272895,0.626453488372093
10,143,vehicle,low,medium,0.9904251355274947,0.8329428396649712,0.9852066047180509,0.9333598302975799,0.625
13,75,vehicle,low,medium,0.9900384045041969,0.6841584695044733,0.9871458224412956,0.9232174717372148,0.6086956521739131
10,133,vehicle,low,medium,0.9926863417317423,0.6398970319660322,0.9904693025714608,0.9303213499495459,0.6333333333333333
13,33,vehicle,low,medium,0.9918426765785163,0.7034479397022597,0.9883730631684036,0.8858258479310386,0.6216216216216217
10,81,vehicle,low,medium,0.9922187037519037,0.7185606437141981,0.9885634762677592,0.9300145557700824,0.6551724137931034
10,117,vehicle,low,medium,0.990778790417896,0.7694021798852734,0.9877585808254649,0.9339419608222195,0.6428571428571428
13,73,vehicle,low,medium,0.9915049638178426,0.717113498877886,0.9883188410595507,0.9255426614311615,0.6238207547169812
10,142,vehicle,low,medium,0.9920326820641456,0.7493739406637968,0.9898193299344131,0.8794438577685163,0.6666666666666666
13,32,vehicle,low,medium,0.9924607725104253,0.6571369198331601,0.989608781430674,0.9129279621168074,0.625
10,203,vehicle,low,medium,0.9890789080051642,0.6843568072105757,0.9839764393270631,0.9271883555610643,0.6551724137931034
10,51,vehicle,low,medium,0.9917906736205292,0.7307962480330209,0.9895302682301321,0.9575438873796788,0.5909090909090909
10,115,vehicle,low,medium,0.9912505191065372,0.694262712443222,0.9875477367861891,0.9097745712803431,0.6744186046511629
13,72,vehicle,low,medium,0.992053449422567,0.6903720693644304,0.9894503618761044,0.9266159198727777,0.6111111111111112
13,115,vehicle,low,medium,0.9917742824163313,0.6908010925648037,0.9885818478740916,0.9114262598606908,0.633249791144528
13,25,vehicle,low,medium,0.9926734146779808,0.7079879918611819,0.98943087455343,0.9262998982796802,0.606060606060606
10,202,vehicle,low,medium,0.9875293446304917,0.6392200344055172,0.9796684045985304,0.8660272481179139,0.675
13,70,vehicle,low,medium,0.9915783598310237,0.6663560129680763,0.9880403895856376,0.9107159920427904,0.6086956521739131
10,108,vehicle,low,medium,0.9907798182258837,0.6945830296155627,0.9888975978971464,0.912162124424096,0.625
10,197,vehicle,low,medium,0.988861212328411,0.7027374554141227,0.9854270027600833,0.90817497145983,0.6071428571428572
10,83,vehicle,low,medium,0.9928079038733836,0.6634208942052413,0.9900084893620522,0.8855166262262205,0.6774193548387097
13,66,vehicle,low,medium,0.9908661351055329,0.5626531189890487,0.9862102820233983,0.9034656215398741,0.5862068965517242
10,89,vehicle,low,medium,0.993001615720287,0.6554167133587145,0.9907038198338889,0.8719635638654842,0.6448028673835126
13,108,vehicle,low,medium,0.9916899307349895,0.592301800204555,0.9875523572123602,0.9391890124315132,0.6
10,70,vehicle,low,medium,0.9911841081787014,0.7219860009791517,0.9893825265221051,0.927974519039951,0.6260282021151586
13,62,vehicle,low,medium,0.9911292046001394,0.6194879415760003,0.9872701407372163,0.8752057932245584,0.6363636363636365
10,53,vehicle,low,medium,0.9907528132088442,0.797406639372465,0.9867707992718456,0.9314817658011012,0.6666666666666666
