exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
31,204,vehicle,low,none,0.9924714682413776,0.59993170306912,0.9885138506415108,0.8673158618280358,0.75
29,181,vehicle,low,none,0.9909531733992291,0.7565596032706672,0.9881028612447328,0.8879382302521168,0.6428571428571428
27,28,vehicle,low,none,0.9920008089113719,0.6439692812391262,0.9877813849901703,0.943202610555935,0.5465367965367965
34,204,vehicle,low,none,0.9883771994220971,0.5369997526161931,0.9816956210321981,0.8888843153378058,0.7
29,163,vehicle,low,none,0.988774108096444,0.7550177596423644,0.9838317927082276,0.9057799093772491,0.6666666666666666
31,201,vehicle,low,none,0.9946327545628236,0.7012928804779569,0.9916899416989691,0.9164697696308951,0.6785714285714286
27,181,vehicle,low,none,0.9935125088443485,0.6998967368752862,0.9900247820267248,0.9255179941317068,0.6715686274509803
13,204,vehicle,low,none,0.9900123681431733,0.5919349920550993,0.9836457810474527,0.8888386956775076,0.6
27,189,vehicle,low,none,0.9919902033103837,0.7132264022849222,0.9886205493119639,0.9291080245490554,0.606060606060606
10,110,vehicle,low,none,0.9927692366887078,0.7596328220969143,0.9895614280307555,0.9540361635209718,0.6363636363636365
34,201,vehicle,low,none,0.992752202368002,0.6730858582316559,0.9904655928737496,0.9250893643440574,0.5999999999999999
21,154,vehicle,low,none,0.9922907775717366,0.6947252903591554,0.9900746419264864,0.9353638211783899,0.6666666666666667
10,3,vehicle,low,none,0.9937058969277878,0.6898972402358496,0.9916165870339445,0.9465830740593919,0.6918328584995251
31,196,vehicle,low,none,0.9899253074104798,0.7569801718162084,0.9850905956981066,0.8934859606147613,0.71875
29,154,vehicle,low,none,0.9914224793605818,0.6177795516777952,0.9895158756150434,0.9026474838558702,0.674916573971079
10,30,vehicle,low,none,0.991456879855179,0.7444026459816131,0.9877362570916395,0.9383769055042882,0.6956521739130435
34,196,vehicle,low,none,0.989696917772082,0.7107845708300079,0.9847313567340842,0.9147170260180909,0.7037037037037037
21,141,vehicle,low,none,0.9917627561524779,0.73279370041444,0.9897823211682809,0.9319981860372066,0.6405128205128205
13,30,vehicle,low,none,0.9925588814688825,0.6278245816420106,0.9902157038805137,0.9026484917752706,0.6278450363196125
10,163,vehicle,low,none,0.9900568555588574,0.8108094600875368,0.9854624972890896,0.9567423523836303,0.6799999999999999
31,189,vehicle,low,none,0.9941385107854311,0.7099640209842562,0.9916291055457583,0.9040821841349679,0.5666666666666667
13,201,vehicle,low,none,0.9917559098961746,0.6355752464172,0.987508447925812,0.9260706762038424,0.6774193548387097
29,141,vehicle,low,none,0.9905557633270139,0.7305317429844205,0.9868490296914092,0.8904866106868015,0.592214663643235
34,189,vehicle,low,none,0.9916428901897066,0.6826109261036855,0.988427713360483,0.9216939910174738,0.6233108108108107
21,116,vehicle,low,none,0.9926626094780318,0.7122414622351151,0.9902607368060246,0.9069500657733244,0.6547919293820934
10,28,vehicle,low,none,0.9907590071925687,0.7927652398043736,0.9878802634923449,0.9563189760294668,0.6306818181818182
10,189,vehicle,low,none,0.9919715851702753,0.7397830305942785,0.9877122924488645,0.9209654758186409,0.6399999999999999
10,181,vehicle,low,none,0.9914850882740246,0.6956742819222251,0.9874963547372025,0.9457626775217063,0.6799999999999999
29,116,vehicle,low,none,0.9903651127148607,0.7108292955375777,0.9889106428531463,0.8900727210756599,0.6086956521739131
13,116,vehicle,low,none,0.9927558183574934,0.7141338947239113,0.9889980655831663,0.9349209962396823,0.606060606060606
10,96,vehicle,low,none,0.9926497880380575,0.7169151001456199,0.9894120483421365,0.940354084390582,0.6720430107526882
34,181,vehicle,low,none,0.9932200073922687,0.7412453695782546,0.990509087296009,0.9001278374440591,0.6551724137931034
21,110,vehicle,low,none,0.9927081799995064,0.676903185540602,0.9903051747307905,0.874398008851952,0.6551724137931034
21,181,vehicle,low,none,0.9921204511767813,0.6594020696335445,0.9884639929162684,0.8710316057473918,0.6314814814814815
13,196,vehicle,low,none,0.9905568611657427,0.7301998804993282,0.9878279715229644,0.906192923942899,0.6363636363636364
29,110,vehicle,low,none,0.991175386213078,0.7149339594730306,0.9883091201843676,0.8721673599095026,0.6842105263157894
34,163,vehicle,low,none,0.9917638451329014,0.739901294193081,0.988821688026791,0.9078518448360506,0.6499999999999999
21,106,vehicle,low,none,0.991540705866006,0.6964176330983075,0.9887601233847907,0.9105445768795191,0.695048309178744
13,36,vehicle,low,none,0.9911681488221994,0.613740214936529,0.9877544050538857,0.8885820914023381,0.606060606060606
27,36,vehicle,low,none,0.9913405900943483,0.7284437428888315,0.9869014983417748,0.9341843957516802,0.7037037037037037
13,189,vehicle,low,none,0.9919570542816554,0.6141634261172271,0.9868960487082876,0.9152142204843026,0.5604878048780487
34,154,vehicle,low,none,0.9920056631382259,0.6601955249197418,0.9889292297197531,0.9241522730125779,0.6666666666666666
21,96,vehicle,low,none,0.9923394832283575,0.6796185001639157,0.9908566727309426,0.8711963354269587,0.6626016260162602
13,181,vehicle,low,none,0.9916136081659016,0.6401881155304843,0.9871642344345348,0.9098686111164108,0.6341463414634145
34,141,vehicle,low,none,0.9910949941660782,0.7814911012710131,0.9876373690495435,0.9156422069623622,0.6744565217391304
21,93,vehicle,low,none,0.9921749602022566,0.620369024294074,0.9882921750014501,0.8724954382044544,0.7391304347826088
29,106,vehicle,low,none,0.9892932904975081,0.7318360991735877,0.9879371785303848,0.9134838779037537,0.6896551724137931
29,211,vehicle,low,none,0.9908629293131946,0.7034529766494257,0.9888750707114393,0.9025165346754875,0.6428571428571428
27,163,vehicle,low,none,0.988564652366618,0.780934194628485,0.9817136833203745,0.9251160530352381,0.6875
13,163,vehicle,low,none,0.9915576997624781,0.6433689851044115,0.9874031173884525,0.9105613560201617,0.6363636363636365
34,116,vehicle,low,none,0.9920791085504185,0.6864731558720456,0.989398109147334,0.9174653108279699,0.6399036531513449
