exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
4,163,vehicle,medium,none,0.9910922954088718,0.7771633930258743,0.9894307752135257,0.9397326265555139,0.6381818181818182
6,116,vehicle,medium,none,0.9915262116570525,0.7790750937557878,0.989609666127267,0.924880930930153,0.6086956521739131
19,5,vehicle,medium,none,0.9919144540415257,0.7000876359749402,0.9895284091426844,0.9462798728565355,0.75
17,189,vehicle,medium,none,0.9915164189782729,0.7034602893586983,0.9882793042224916,0.9060440189734602,0.6399999999999999
16,204,vehicle,medium,none,0.9926069628061149,0.561832342336511,0.9878232697606529,0.8734159815030182,0.6923076923076923
4,141,vehicle,medium,none,0.9924571899594434,0.7874569355729808,0.9894760842628988,0.897183580583108,0.6296296296296298
19,3,vehicle,medium,none,0.9930314063888749,0.6948110128287703,0.9924629785277616,0.8599677827699164,0.7333333333333334
4,181,vehicle,medium,none,0.9929949194745089,0.6950472028324775,0.9918756347574254,0.898500053644328,0.6956521739130435
18,59,vehicle,medium,none,0.9899535999175696,0.7455734048511078,0.986379036716866,0.9275513757740462,0.6946386946386947
18,141,vehicle,medium,none,0.9896436662166016,0.7319372448269188,0.9871251263260766,0.9124492891354129,0.6111111111111112
4,59,vehicle,medium,none,0.9923696965988162,0.7755336509734287,0.9894283058932618,0.9196050093793353,0.6698717948717949
19,12,vehicle,medium,none,0.9914101089194134,0.6587631950049418,0.9876414343189838,0.8985008248836541,0.6862745098039217
6,59,vehicle,medium,none,0.9896990975257984,0.7332517215403727,0.9853365351085877,0.9388377193446095,0.6282894736842105
19,28,vehicle,medium,none,0.9909374659951672,0.7678938462629282,0.9865392606745792,0.9444335340230287,0.6206896551724137
6,154,vehicle,medium,none,0.9923523356819649,0.6788504492692893,0.9909637402867432,0.8440019181859665,0.7
16,116,vehicle,medium,none,0.9937786027766271,0.7071140109676041,0.991318596480895,0.9549480257811493,0.6521739130434783
16,216,vehicle,medium,none,0.9919733479229045,0.6066267361783222,0.989147580141412,0.9413859940458159,0.6399999999999999
4,204,vehicle,medium,none,0.9913562800122279,0.5374149803140758,0.9872224017182311,0.8923714857487708,0.72
18,93,vehicle,medium,none,0.9904457708933735,0.6281892832834408,0.9829001502239122,0.8896574041231876,0.6521739130434783
4,36,vehicle,medium,none,0.9921501862501306,0.7442073047551773,0.9889350791427245,0.8806874750210463,0.6939799331103679
16,211,vehicle,medium,none,0.9944373528800864,0.6828958713994577,0.9921737170829584,0.9153296411763845,0.631578947368421
16,154,vehicle,medium,none,0.9926612045303349,0.7140377031333137,0.9910478344392615,0.866819395086768,0.675
19,30,vehicle,medium,none,0.9910049482096938,0.7663404173279291,0.9900517222781954,0.9032341793173957,0.6857142857142857
18,96,vehicle,medium,none,0.9909137892973072,0.72940740625028,0.9900952645923426,0.9427581197642959,0.6399999999999999
17,5,vehicle,medium,none,0.9922606361080014,0.7524297757357313,0.9896553532612068,0.9362681201570686,0.6666666666666667
17,93,vehicle,medium,none,0.9898549707262493,0.6581219980085723,0.9821878408752821,0.8660781076341921,0.75
17,3,vehicle,medium,none,0.9929999564600636,0.7444652145870572,0.9892087973381015,0.8961690018504198,0.6785714285714286
6,181,vehicle,medium,none,0.9930163926362824,0.7869934206758309,0.9891281564168796,0.9226706037389859,0.6545092838196287
4,106,vehicle,medium,none,0.9913964917107141,0.70051203502789,0.9899164280340454,0.8707460984739238,0.7
16,141,vehicle,medium,none,0.9933626106193102,0.6996606389717139,0.9897263124832044,0.941398877908767,0.6285714285714284
6,163,vehicle,medium,none,0.99094073481355,0.7763585703862728,0.9881564906190743,0.9539010265600272,0.676944971537002
18,106,vehicle,medium,none,0.9886559790085732,0.697085706208125,0.9846495242256773,0.9214337898050303,0.6923076923076923
19,36,vehicle,medium,none,0.9904531269644586,0.754584305319024,0.9878335472079407,0.9151544041229848,0.6363636363636365
17,59,vehicle,medium,none,0.9903574569214909,0.7460865238776337,0.9858087820665788,0.9326440468520235,0.6779953917050692
17,12,vehicle,medium,none,0.9920861810404955,0.7020447841880701,0.9890607026295989,0.8997695152630689,0.6516683518705764
4,196,vehicle,medium,none,0.9904100750076773,0.7198437860314615,0.986228570822555,0.8779170996288816,0.6923076923076923
17,106,vehicle,medium,none,0.9904380507421422,0.6750660107291332,0.9866852871714786,0.9337385722400368,0.6666666666666667
6,30,vehicle,medium,none,0.9921122498353956,0.6889163702484147,0.98931404520788,0.9479153114945682,0.6666666666666667
6,189,vehicle,medium,none,0.9917327703249061,0.6993170165453121,0.988536757800803,0.9160075381276652,0.6666666666666666
17,96,vehicle,medium,none,0.9919852541300116,0.7706676452935225,0.9886056693606742,0.925050465279809,0.619047619047619
