exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
26,164,vehicle,high,low,0.9899065300307012,0.6930006682365156,0.9870110202297088,0.8905007709954201,0.5797962648556876,Java_high_Java_low_results.csv
26,77,vehicle,high,low,0.9925392985169106,0.762544338525092,0.9895231529910804,0.9013165610823832,0.5806976744186048,Java_high_Java_low_results.csv
26,43,vehicle,high,low,0.9922822572252332,0.6976555469977226,0.9897553252799204,0.8944366131408915,0.6086956521739131,Java_high_Java_low_results.csv
68,74,vehicle,high,low,0.9926013681291442,0.6831635709358035,0.9908200811109108,0.9347189925402354,0.6521739130434783,Java_high_Java_low_results.csv
68,43,vehicle,high,low,0.9936435886837196,0.6691891393338766,0.9910575636950762,0.9126637601388358,0.6799999999999999,Java_high_Java_low_results.csv
48,170,vehicle,high,low,0.9930135114112189,0.7054194524939402,0.9902745935634288,0.9110351235296664,0.625,Java_high_Java_low_results.csv
26,200,vehicle,high,low,0.9882108643506872,0.729935712558935,0.9844819485773252,0.8952783942450171,0.657142857142857,Java_high_Java_low_results.csv
26,78,vehicle,high,low,0.9895468280078424,0.7278133956449591,0.9837821378559262,0.9161897980008632,0.5972972972972972,Java_high_Java_low_results.csv
26,41,vehicle,high,low,0.9928217474077508,0.6947110015232429,0.99150393119707,0.962162711504137,0.653846153846154,Java_high_Java_low_results.csv
48,140,vehicle,high,low,0.9930978384766757,0.7220163409121183,0.9917336505504624,0.9306111818823284,0.7358490566037736,Java_high_Java_low_results.csv
26,140,vehicle,high,low,0.9908055919338292,0.7313795891437855,0.9888856381376452,0.9105812548062416,0.6153846153846154,Java_high_Java_low_results.csv
26,79,vehicle,high,low,0.9917573569840268,0.7379401385874153,0.9894811017850498,0.9286287850247252,0.6461100569259963,Java_high_Java_low_results.csv
1,74,vehicle,high,low,0.9881731269576404,0.7496880188613921,0.9830754554928672,0.90719009675795,0.6666666666666666,Java_high_Java_low_results.csv
1,43,vehicle,high,low,0.992435569854818,0.6766475390089497,0.989969319039109,0.928684827805243,0.7171428571428571,Java_high_Java_low_results.csv
1,94,vehicle,high,low,0.9895111559197712,0.7651553686378083,0.9873433492741492,0.888212018253866,0.7,Java_high_Java_low_results.csv
26,37,vehicle,high,low,0.9917058239649716,0.728282234009294,0.9879390105660708,0.856021837232062,0.6363636363636365,Java_high_Java_low_results.csv
48,139,vehicle,high,low,0.9935558097270004,0.6746682327226117,0.9918292499019576,0.9581095470485372,0.6521739130434783,Java_high_Java_low_results.csv
26,183,vehicle,high,low,0.991420785512334,0.7295320505191738,0.988530161360728,0.9201083802385694,0.6551724137931034,Java_high_Java_low_results.csv
26,139,vehicle,high,low,0.9905577810551124,0.6760212253421405,0.9866929239461368,0.9048963312937668,0.6092258748674444,Java_high_Java_low_results.csv
1,21,vehicle,high,low,0.9916419965358442,0.6387909344349645,0.9896755206331996,0.8816267606480599,0.7,Java_high_Java_low_results.csv
26,94,vehicle,high,low,0.9901091520854644,0.7493635195821109,0.986794618266308,0.9339251148558306,0.6445993031358884,Java_high_Java_low_results.csv
68,65,vehicle,high,low,0.9902530533776792,0.6877422361718069,0.9897462534184842,0.9301793327200216,0.7272727272727273,Java_high_Java_low_results.csv
68,34,vehicle,high,low,0.9934187239076538,0.6819272045529663,0.991296941382382,0.8866576824742752,0.7142857142857142,Java_high_Java_low_results.csv
