exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
80,87,rectangle,high,high,0.98804807707751,0.6882971718578826,0.9853377153487769,0.9095012017086833,0.629100529100529
68,87,rectangle,high,high,0.9930827043658644,0.7216031454025351,0.9911105661088192,0.9231578645047921,0.6666666666666667
48,178,rectangle,high,high,0.9927711699453403,0.6726900220549615,0.9909412996553536,0.8976197458563965,0.75
69,86,rectangle,high,high,0.9931086364096241,0.6661841681535725,0.9906988672517744,0.8913449261800617,0.6129032258064516
68,69,rectangle,high,high,0.9939069132704161,0.7040078781732775,0.992710150155405,0.9363319646824562,0.6425806451612903
82,87,rectangle,high,high,0.9907802979689736,0.7331642641674401,0.9882331913033638,0.915526584564904,0.6333333333333333
80,86,rectangle,high,high,0.9910356084833116,0.6183330135860563,0.9868018045862762,0.8837425979377124,0.5483870967741936
68,86,rectangle,high,high,0.9936437602765551,0.719105841230651,0.9906206834980543,0.855576817817951,0.5806451612903225
69,82,rectangle,high,high,0.9911581835676735,0.7429735944304694,0.9870358191890963,0.9420697860309186,0.6000000000000001
82,123,rectangle,high,high,0.9900687467233594,0.7505500690988304,0.9857671165125712,0.8879520274899306,0.606060606060606
48,87,rectangle,high,high,0.9909758343526095,0.7432414460549359,0.9882524300968273,0.9158214158994271,0.6583586626139817
48,68,rectangle,high,high,0.9942698618565212,0.7364259890884644,0.9931027577163076,0.8819090129889549,0.7027027027027026
68,82,rectangle,high,high,0.9937759951664661,0.7741974141688968,0.9908566864534771,0.9543321317407827,0.6071428571428572
87,123,rectangle,high,high,0.99059663273266,0.7283282389104785,0.987468693643226,0.8748092496493319,0.6470588235294117
69,80,rectangle,high,high,0.9875672023993806,0.6725361801877838,0.9831411401544694,0.8982338029965,0.6071428571428572
48,86,rectangle,high,high,0.9928608954095262,0.6800849402397697,0.9895970907841533,0.898645044823497,0.5517241379310345
68,80,rectangle,high,high,0.9913260655837938,0.5891633052100005,0.9877355970698116,0.9437914014090272,0.6956521739130435
87,178,rectangle,high,high,0.9911599244911337,0.7124746073794719,0.9886174921171389,0.9311053301337888,0.6363636363636364
80,82,rectangle,high,high,0.9873504876620017,0.653201588066941,0.9833876195393797,0.9326017363913954,0.6086956521739131
82,86,rectangle,high,high,0.9925588417070087,0.725633672874484,0.9897796506999934,0.9052147493640943,0.6444444444444445
48,82,rectangle,high,high,0.9924129420919677,0.7410063559314796,0.9903467512148978,0.8720748646346734,0.5901639344262295
48,69,rectangle,high,high,0.9915370917139386,0.7034537003915757,0.9881601508818618,0.8597102160479815,0.6521739130434783
69,123,rectangle,high,high,0.9914070526741231,0.6878894091842387,0.9896367845483458,0.8470979829791863,0.6
80,178,rectangle,high,high,0.9895415331467089,0.6341390855631874,0.9854587408431281,0.931184648326759,0.75
82,178,rectangle,high,high,0.9912193533158568,0.7298590330442254,0.9893051378450022,0.9477813323352324,0.6274509803921569
68,123,rectangle,high,high,0.9932619375078333,0.7507868432770337,0.9909687844080709,0.915740794349673,0.6976744186046512
48,80,rectangle,high,high,0.9864653627785767,0.7153184222252706,0.9844881806321458,0.8666493434498214,0.7543103448275861
80,123,rectangle,high,high,0.9857657838197178,0.6686051330880645,0.979625907956263,0.8776093301042776,0.7096774193548387
69,178,rectangle,high,high,0.9920057509745231,0.7326686284656092,0.9881797671057836,0.9341221340979158,0.625
68,178,rectangle,high,high,0.9937771531378967,0.7463535340168064,0.9935003726659415,0.9569643340797881,0.6923076923076923
48,123,rectangle,high,high,0.9898691499470846,0.7065932690772672,0.9857923511197313,0.9396164819620996,0.7
86,123,rectangle,high,high,0.9929613901826674,0.7152180259355754,0.9899331196148251,0.8703724030326065,0.5925925925925926
69,87,rectangle,high,high,0.9918746053813683,0.7273126900139529,0.9891842079863801,0.8992692632237103,0.6799999999999999
86,87,rectangle,high,high,0.9927457467760004,0.697429303030511,0.9901428027174131,0.8642271957426019,0.6125740618828176
123,178,rectangle,high,high,0.9919848666286528,0.7292702441383662,0.9907701155661346,0.9109307131599667,0.7220689655172413
86,178,rectangle,high,high,0.993029366108773,0.7247498424944366,0.9910437413599206,0.9013112057368063,0.5638586956521738
