exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
21,200,rectangle,low,low,0.9909164572549625,0.7534333524870137,0.9878901618731888,0.9184297257222531,0.6923076923076923
21,126,rectangle,low,low,0.9932597929444746,0.7327110221685045,0.9914404443488019,0.9498777011532041,0.7142857142857142
13,67,rectangle,low,low,0.9914608821039135,0.7715771990696201,0.9892820275872906,0.9370549834576611,0.5931712962962963
13,71,rectangle,low,low,0.9902733703134291,0.64497654906954,0.9874068991609656,0.8899732799573141,0.5968749999999999
21,208,rectangle,low,low,0.9939135526971657,0.7283448146213397,0.9926314676042276,0.9133392682042372,0.7407407407407407
13,74,rectangle,low,low,0.992856948740481,0.7112184917119153,0.9909465562588542,0.9117646795256347,0.6206896551724137
27,67,rectangle,low,low,0.9911879792875219,0.7744342250186658,0.9900843125135912,0.9141067149866888,0.75
27,29,rectangle,low,low,0.9913429955027196,0.7305621825294433,0.9879047552870054,0.9212616981513416,0.674916573971079
13,77,rectangle,low,low,0.9922773554490396,0.7072634802590425,0.9899721305167355,0.9378878286655828,0.625
27,31,rectangle,low,low,0.9931986327742298,0.6525613325645756,0.9918250646563733,0.9198890143763836,0.6791443850267379
21,27,rectangle,low,low,0.9929799529996446,0.6820239070506231,0.9904947174903136,0.9214413826391664,0.7142857142857143
27,34,rectangle,low,low,0.9934952277243857,0.7319257411262905,0.9911884673249753,0.8897976558231026,0.6530100334448161
21,29,rectangle,low,low,0.9921592117942913,0.6789092443280178,0.9914253488603512,0.906594781032198,0.6774193548387097
27,35,rectangle,low,low,0.9925288158412293,0.6078742899663778,0.9900920312116569,0.9236035824624786,0.5714285714285714
21,63,rectangle,low,low,0.991393805229931,0.7689290818937061,0.9880613287612129,0.9278769538878537,0.6923076923076923
21,31,rectangle,low,low,0.9932826300883659,0.6899630861960203,0.9917459498824422,0.9480716289361395,0.7037037037037037
13,186,rectangle,low,low,0.9925035354512863,0.772203219438658,0.9908297040422072,0.9424630698163776,0.6666666666666666
27,37,rectangle,low,low,0.9935440998549493,0.6867117791059052,0.9914749501360676,0.9015709066648665,0.736842105263158
21,34,rectangle,low,low,0.9933279739742703,0.7414744822186503,0.9912597304700416,0.9187510183767442,0.6521739130434783
27,41,rectangle,low,low,0.9940986174106138,0.682364440080804,0.9926078895326521,0.8981983665076576,0.7391304347826088
21,101,rectangle,low,low,0.9901904654296407,0.7539874409709459,0.9850428547711468,0.9420089828158018,0.7142857142857143
21,35,rectangle,low,low,0.9923240245493905,0.6717068307223764,0.9898276080234262,0.8934020728521096,0.5555555555555556
27,43,rectangle,low,low,0.9922734086603132,0.692457664015526,0.9877405584194304,0.8906365323406839,0.6666666666666666
13,208,rectangle,low,low,0.9930241274010464,0.7394020190611088,0.9918525443865274,0.9107427103179554,0.6180344478216818
21,37,rectangle,low,low,0.9930434827091682,0.709342806905543,0.9908011305248212,0.9355213679460377,0.7083333333333334
27,44,rectangle,low,low,0.9929795933278079,0.7143049247052284,0.9897791234823479,0.9425037927152731,0.7142857142857142
21,41,rectangle,low,low,0.9934905380430503,0.7518330201116294,0.9917702811499027,0.9022941836638869,0.7083333333333334
27,56,rectangle,low,low,0.9925297025358845,0.6919906595902081,0.9909578022368908,0.9168894635897902,0.625
13,94,rectangle,low,low,0.9932943749358583,0.7349802878884135,0.9917653079064415,0.8718662397992549,0.6363636363636365
21,43,rectangle,low,low,0.9934199775665236,0.6325003966248866,0.991059684529241,0.8730700228747268,0.7045454545454546
27,60,rectangle,low,low,0.9912870349565712,0.6723341476098961,0.9876193198157426,0.9093043182966277,0.6915760869565217
21,44,rectangle,low,low,0.9934669145127148,0.6935500256784164,0.9902544140942952,0.9001288388718036,0.6785714285714286
13,138,rectangle,low,low,0.992443514933289,0.7390349513517274,0.9893122442523311,0.9518589666623417,0.6023255813953489
21,186,rectangle,low,low,0.9926681201050989,0.7613062827283965,0.9922683865867225,0.9363235364514025,0.6086956521739131
13,140,rectangle,low,low,0.9928615971524153,0.7129981497204652,0.989922971093594,0.9282408847742657,0.6
21,64,rectangle,low,low,0.9921827286629513,0.698671674630998,0.990506164315025,0.9063661028865638,0.7110323886639676
13,21,rectangle,low,low,0.9925819258171651,0.7268083076736387,0.991505234358464,0.9100696849501653,0.627906976744186
27,63,rectangle,low,low,0.9899121903992159,0.6843724417766329,0.9851269364550722,0.9225638753725593,0.675
21,65,rectangle,low,low,0.9908669641362539,0.5727237324431151,0.9846754059193057,0.8853894935468759,0.7343137254901961
13,27,rectangle,low,low,0.991818354426998,0.705662449223614,0.9900081209181331,0.9228296907579339,0.5869565217391304
27,64,rectangle,low,low,0.9914959706036566,0.6607818319784269,0.9865727813684676,0.8808444488766154,0.72
21,124,rectangle,low,low,0.9922230632518464,0.7103944515531793,0.9909576378287962,0.8900510007756777,0.7142857142857142
21,67,rectangle,low,low,0.9925669768521149,0.716255883168291,0.9906439391840298,0.9055551643118926,0.7083333333333334
13,29,rectangle,low,low,0.9919627640889895,0.6917692961766154,0.9908407378910541,0.9438489307479185,0.6363636363636365
21,71,rectangle,low,low,0.9909407450342451,0.6234093075060916,0.9873919774847214,0.8986519570535669,0.7391304347826088
13,31,rectangle,low,low,0.9924801931613931,0.7627081388042019,0.9898288611302434,0.958820374234275,0.6236111111111111
21,180,rectangle,low,low,0.9926685201374891,0.7495550270587858,0.9895484853277923,0.9315149625605212,0.6956521739130435
21,74,rectangle,low,low,0.9933295880887919,0.6634836580681618,0.9909517836709537,0.886913117757046,0.7
13,34,rectangle,low,low,0.9933812241584967,0.7582875150103041,0.991988522431358,0.9242901251821772,0.6842105263157894
21,179,rectangle,low,low,0.993529681329563,0.7092421209396457,0.9916089525972396,0.9403074668471181,0.6666666666666666
21,77,rectangle,low,low,0.9918756038419116,0.7179506396353456,0.9897132612263311,0.8919904975505808,0.6842105263157894
13,35,rectangle,low,low,0.9919015501472436,0.694746061623001,0.9893464420519353,0.9197252179008297,0.6
13,162,rectangle,low,low,0.9906859988565428,0.7372319268977944,0.987536582228005,0.9197077003909043,0.5714285714285714
21,176,rectangle,low,low,0.9926825750781965,0.6966163599475828,0.9902807747250507,0.9481513429691423,0.6666666666666666
21,78,rectangle,low,low,0.9932797921264056,0.7269274593520738,0.9919612753241746,0.9021623011509914,0.6774193548387097
