exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
6,62,rectangle,medium,medium,0.9939047640407042,0.6939123360847297,0.9924228153880532,0.9338441584123808,0.7037037037037037
6,24,rectangle,medium,medium,0.9935469842454121,0.7315835415568719,0.9915297914264002,0.9551905441722011,0.5999999999999999
6,120,rectangle,medium,medium,0.9915596294561003,0.671943127281617,0.9875882364026448,0.9356574414826639,0.7142857142857142
6,75,rectangle,medium,medium,0.9883296157085295,0.6865617916407374,0.9836893951089676,0.9176580529579245,0.6086956521739131
4,89,rectangle,medium,medium,0.9927076844521338,0.7970790049970449,0.9901042297327094,0.9246544390340081,0.6382978723404256
6,105,rectangle,medium,medium,0.9937305974462003,0.6337120998768626,0.9928621178714699,0.9494370341182979,0.75
4,145,rectangle,medium,medium,0.9913128736808443,0.7338553693408354,0.9898049004382368,0.9480088372861705,0.6394444444444445
4,32,rectangle,medium,medium,0.9935359618533961,0.7942536358538422,0.9920595424928415,0.9409948457023927,0.6153846153846154
6,117,rectangle,medium,medium,0.991630471077254,0.6614097071905927,0.9889170360127896,0.9246042320636206,0.6428571428571428
4,88,rectangle,medium,medium,0.9905341313299391,0.7321088543193146,0.9867240854552206,0.9320717723103539,0.6521739130434783
4,33,rectangle,medium,medium,0.9892575500212206,0.8140027361033898,0.984542116327245,0.8673696673052292,0.676470588235294
6,115,rectangle,medium,medium,0.9925350504390049,0.7306811670882758,0.9905207753869547,0.9382859482334078,0.6328626444159178
4,81,rectangle,medium,medium,0.9920369181974474,0.7868327217131523,0.9880782783747716,0.9446564546368369,0.6470588235294117
14,66,rectangle,medium,medium,0.9923029044260983,0.668663677917759,0.9891301610688487,0.9342776245463272,0.6956521739130435
4,210,rectangle,medium,medium,0.9915650981637237,0.7441930939560889,0.9867003619548921,0.9473906427707036,0.6666666666666666
6,155,rectangle,medium,medium,0.9919910986551825,0.7318536231524533,0.9888215742544952,0.9325101537612754,0.7142857142857142
4,51,rectangle,medium,medium,0.99198487866213,0.7618913451472568,0.9887042883819747,0.9405984538831823,0.6521739130434783
4,17,rectangle,medium,medium,0.9926911331191186,0.7438830413369517,0.9900800333572541,0.9477470073067734,0.6206896551724137
14,62,rectangle,medium,medium,0.9926094962928805,0.5997436074870202,0.9908904189907927,0.9435126579774985,0.7041666666666667
14,61,rectangle,medium,medium,0.9934637935560129,0.7112153610057954,0.9924413189568264,0.9181156747550522,0.6666666666666666
4,185,rectangle,medium,medium,0.9924451293353466,0.7184402914520474,0.9898784612155878,0.9354559974862316,0.6428571428571428
6,25,rectangle,medium,medium,0.9941875855486823,0.6542441785327138,0.9917908487482562,0.9221492855652034,0.7083333333333334
14,57,rectangle,medium,medium,0.9920448928587982,0.7133094606569939,0.990072156209707,0.8419358731831051,0.6923076923076923
6,214,rectangle,medium,medium,0.9916336935694731,0.6935918694187175,0.9876126942773804,0.9262430683760748,0.75
14,55,rectangle,medium,medium,0.9918548720335043,0.7169855236845346,0.9877166611528865,0.9382850211011042,0.603448275862069
14,73,rectangle,medium,medium,0.9899737012234783,0.6799472189636515,0.9859473600025864,0.9383313843081355,0.7037037037037037
14,53,rectangle,medium,medium,0.9891021991316701,0.7370515846572363,0.9855614368131793,0.9126737962005619,0.6809090909090909
4,15,rectangle,medium,medium,0.9919614348341493,0.7846525228937227,0.9902595919038859,0.8911938207049112,0.6666666666666667
6,32,rectangle,medium,medium,0.9926511877402963,0.7461194181079647,0.9915015846620046,0.9247355512934048,0.653846153846154
4,24,rectangle,medium,medium,0.9930889489282296,0.8013645982642561,0.9898235114307411,0.9288538108929044,0.625
6,212,rectangle,medium,medium,0.9930623302199262,0.6175254181346499,0.9918867511736499,0.9534818992365305,0.7307692307692308
4,168,rectangle,medium,medium,0.9924424503787419,0.7034698023623156,0.9896480840305596,0.9220360122642105,0.6666666666666667
4,207,rectangle,medium,medium,0.9917952077899267,0.745112147705075,0.9884566601481987,0.9377729690928138,0.657142857142857
6,20,rectangle,medium,medium,0.9926718769234391,0.7046464126602077,0.9913727194796288,0.9156267514780231,0.6510869565217391
4,84,rectangle,medium,medium,0.9920078702073449,0.7576141222799893,0.9900937843256363,0.9001212847405662,0.6666666666666667
4,135,rectangle,medium,medium,0.9903407248198288,0.6757160005333793,0.9881332498974992,0.8956900180774001,0.6666666666666666
14,42,rectangle,medium,medium,0.9914681515843043,0.655408300133281,0.9897816079039695,0.9433953957648678,0.6551724137931034
