exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
3,5,rectangle,none,none,0.9936973569501597,0.7606205625311517,0.9905618425802016,0.9111340963915056,0.7
30,110,rectangle,none,none,0.9936267187645018,0.7449452708361477,0.9906332309055195,0.9427809920599548,0.7210771276595744
3,189,rectangle,none,none,0.9923143447279178,0.7742393934633837,0.9887102563279653,0.9379505753866357,0.6071428571428572
36,93,rectangle,none,none,0.9920964418062623,0.7542326084099962,0.9909001906825543,0.9373168983394295,0.6666666666666666
3,30,rectangle,none,none,0.9924598262129883,0.7406782683571477,0.9907862130004107,0.9532030054845084,0.6785714285714286
30,96,rectangle,none,none,0.990881473276608,0.7234211968030011,0.9870136858568015,0.9173394328248792,0.5671171171171172
3,163,rectangle,none,none,0.9897323891919135,0.7788074268672434,0.9866847666553767,0.9509810695577575,0.6799999999999999
3,12,rectangle,none,none,0.9912413693908239,0.7765268551019693,0.9868564460078092,0.9474372671830786,0.6944444444444445
3,196,rectangle,none,none,0.9879168617606084,0.6864955231161551,0.9800586493198798,0.898859474699673,0.7236363636363636
12,36,rectangle,none,none,0.9892980034974479,0.804686491163297,0.9838635283609496,0.956364436013361,0.6314814814814815
30,93,rectangle,none,none,0.9922283287101796,0.6795997855930469,0.9895812983817609,0.8587159018956271,0.6666666666666666
38,93,rectangle,none,none,0.9925488069641338,0.6416267307522872,0.9889871504225866,0.9187806826207284,0.6799999999999999
30,38,rectangle,none,none,0.9929706599346738,0.6835515007694716,0.9888893348967361,0.8637077356331608,0.6969696969696969
30,36,rectangle,none,none,0.991431927982733,0.7235260721959424,0.9882011170987067,0.9406794811839789,0.6521739130434783
5,28,rectangle,none,none,0.9913689169231726,0.7124793878998777,0.9869214622098934,0.9383708000039329,0.6944444444444445
28,30,rectangle,none,none,0.9907606223053247,0.7418091410358347,0.9845908896733758,0.9355431453526825,0.6567164179104477
12,163,rectangle,none,none,0.9893462296405197,0.7734424960199613,0.9842676373218049,0.9180920959220119,0.695048309178744
93,110,rectangle,none,none,0.9920591660025596,0.6590595845232715,0.9908629738411393,0.8952454174750748,0.7333333333333334
28,211,rectangle,none,none,0.9940370077409268,0.7520916256910486,0.9908359826925559,0.9460148665904269,0.654655612244898
96,154,rectangle,none,none,0.9927278798944823,0.6530831598927316,0.9907517722601763,0.9380416031160455,0.5800000000000001
3,211,rectangle,none,none,0.9944042524958955,0.7513281341692215,0.9933139462282938,0.9170829993841216,0.6521739130434783
3,181,rectangle,none,none,0.9922283708483353,0.6923825292514616,0.9921725875552532,0.9468188013035796,0.701851851851852
3,93,rectangle,none,none,0.9921685708813942,0.7243242834359356,0.9917084686632235,0.9512600828555468,0.6666666666666667
28,204,rectangle,none,none,0.989906826618669,0.5779583276647535,0.9848589444467296,0.9028921410500773,0.6799999999999999
12,211,rectangle,none,none,0.9945450374176289,0.6825426726492231,0.9933756446622121,0.9410635965696561,0.6666666666666667
12,30,rectangle,none,none,0.9911068915548851,0.7190192981875989,0.9877144118850445,0.923747394389068,0.6923076923076923
12,204,rectangle,none,none,0.9884057846043183,0.5830934337429146,0.9796439714483711,0.9169801801879554,0.6521739130434783
5,96,rectangle,none,none,0.9910195857582059,0.7705921396896257,0.9870381440547273,0.9418331535606372,0.569047619047619
12,201,rectangle,none,none,0.9913559016072084,0.7164682997748467,0.9881044551268716,0.9482307464983577,0.664796633941094
28,38,rectangle,none,none,0.9920461813348382,0.7310419060910252,0.989747835646393,0.856222865150142,0.625
96,110,rectangle,none,none,0.9919109043479757,0.7625786669839301,0.9897354816778331,0.9268332073638427,0.603030303030303
36,38,rectangle,none,none,0.9916345849265954,0.6816847121913294,0.9902882776758966,0.8787415965973315,0.7142857142857142
3,154,rectangle,none,none,0.9937313086169203,0.7061609262378934,0.9917033477106841,0.9000600220223451,0.7307692307692308
12,196,rectangle,none,none,0.9877882625520077,0.6559339917133089,0.9816738701079938,0.9026661556010221,0.7037037037037037
93,96,rectangle,none,none,0.9903152738248373,0.7349369292735262,0.9854904147233908,0.8768271211385539,0.5813953488372094
12,189,rectangle,none,none,0.9921937171642767,0.7534773415583603,0.989266164661821,0.9396299068637238,0.6553977272727273
30,211,rectangle,none,none,0.9941525610916289,0.7686408309621687,0.9914193907585341,0.9374031361818833,0.6875
3,38,rectangle,none,none,0.9924029259521704,0.6831661820603594,0.9904179293147064,0.8928053232254535,0.7037037037037037
93,211,rectangle,none,none,0.9945157202038977,0.6748211498865662,0.9924713513270823,0.876797314430839,0.6585365853658536
30,204,rectangle,none,none,0.9901626854724986,0.6477474339027465,0.9833949745762091,0.9286796596873079,0.6799999999999999
5,181,rectangle,none,none,0.993532316008077,0.699120129527425,0.9922553386638412,0.9295240920359152,0.7000000000000001
12,181,rectangle,none,none,0.9920314857296112,0.7345225747310566,0.9873387900572143,0.946722656732709,0.6799999999999999
93,204,rectangle,none,none,0.9878397520323899,0.7042441342150072,0.9803427728043829,0.9026627086195126,0.6666666666666666
38,211,rectangle,none,none,0.9943996314778305,0.7594326743196191,0.9921397378985991,0.8584669767261153,0.6666666666666667
3,110,rectangle,none,none,0.9931884679803131,0.7574929581248628,0.9920519311202879,0.9383640144585522,0.7399355877616748
30,201,rectangle,none,none,0.9927663557554884,0.6961640789976222,0.9893638264041085,0.8999930354149599,0.72
28,201,rectangle,none,none,0.9921844983684875,0.6705258879999869,0.9874684819404986,0.8904877922141585,0.6236111111111111
12,154,rectangle,none,none,0.9934153745823642,0.6695687421905261,0.9912329608275195,0.9135866080718791,0.7142857142857142
93,201,rectangle,none,none,0.9913929100864547,0.7025719410936491,0.989797814253061,0.9366267647901528,0.7293447293447294
38,204,rectangle,none,none,0.9923128099347396,0.6347957957003951,0.9896900748468037,0.8201967528415951,0.5833333333333333
36,211,rectangle,none,none,0.9938081837934681,0.6623116503305961,0.9915746864719431,0.9089244875480254,0.6666666666666667
30,196,rectangle,none,none,0.9880463869718827,0.6701165156019103,0.9809075038443981,0.8926964174038337,0.7083333333333334
93,196,rectangle,none,none,0.987698501863058,0.6384394019863007,0.9807308712059715,0.8740163799022103,0.7
38,201,rectangle,none,none,0.9927711025410462,0.6772895398162506,0.9898958196134703,0.9171628802854914,0.7
36,204,rectangle,none,none,0.9874795849509664,0.5955932356546938,0.9805277638872991,0.9272191681203169,0.676944971537002
30,189,rectangle,none,none,0.9917586889596929,0.6918804036425551,0.9878480973385289,0.9386309644115914,0.7113095238095238
12,110,rectangle,none,none,0.9921885522709972,0.7396108495610039,0.9887979026489562,0.9609973352521418,0.6978260869565218
93,189,rectangle,none,none,0.9924883068910108,0.6865300289833713,0.9895552075799283,0.9078249980107845,0.6742424242424243
38,196,rectangle,none,none,0.9885654686583251,0.65731810683987,0.9811469917148479,0.8798323013056013,0.7027027027027026
36,201,rectangle,none,none,0.9922553100217594,0.7317531511186027,0.9904048896021361,0.9573343328351196,0.6909814323607427
30,181,rectangle,none,none,0.9925251651500085,0.6694007674836286,0.9899694860959992,0.9485412224849092,0.71875
38,96,rectangle,none,none,0.9905990876551719,0.739389295137951,0.9868505250416162,0.907656464765191,0.5441558441558441
28,181,rectangle,none,none,0.9915467412659875,0.6679537653084633,0.9857061490527033,0.9561898929127765,0.7000000000000001
5,12,rectangle,none,none,0.9921615635472284,0.7245697475266306,0.9905552266830764,0.9275539610859304,0.653846153846154
93,181,rectangle,none,none,0.9924030313939709,0.7892446688376659,0.9900932922308829,0.915145152085466,0.5862068965517242
38,189,rectangle,none,none,0.9931256353416507,0.7628059445467683,0.9914815256938091,0.8628048810847191,0.6464285714285714
