exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
80,87,rectangle,high,high,0.98804807707751,0.6882971718578826,0.9853377153487768,0.9095012017086832,0.629100529100529,Java_high_results.csv
68,87,rectangle,high,high,0.9930827043658644,0.7216031454025351,0.9911105661088192,0.923157864504792,0.6666666666666667,Java_high_results.csv
48,178,rectangle,high,high,0.9927711699453404,0.6726900220549615,0.9909412996553536,0.8976197458563965,0.75,Java_high_results.csv
69,86,rectangle,high,high,0.993108636409624,0.6661841681535725,0.9906988672517744,0.8913449261800617,0.6129032258064516,Java_high_results.csv
68,69,rectangle,high,high,0.993906913270416,0.7040078781732775,0.992710150155405,0.9363319646824562,0.6425806451612903,Java_high_results.csv
82,87,rectangle,high,high,0.9907802979689736,0.7331642641674401,0.9882331913033638,0.915526584564904,0.6333333333333333,Java_high_results.csv
80,86,rectangle,high,high,0.9910356084833116,0.6183330135860563,0.9868018045862762,0.8837425979377124,0.5483870967741936,Java_high_results.csv
68,86,rectangle,high,high,0.9936437602765552,0.719105841230651,0.9906206834980544,0.855576817817951,0.5806451612903225,Java_high_results.csv
69,82,rectangle,high,high,0.9911581835676736,0.7429735944304694,0.9870358191890964,0.9420697860309186,0.6000000000000001,Java_high_results.csv
82,123,rectangle,high,high,0.9900687467233594,0.7505500690988304,0.9857671165125712,0.8879520274899306,0.606060606060606,Java_high_results.csv
48,87,rectangle,high,high,0.9909758343526096,0.7432414460549359,0.9882524300968272,0.9158214158994272,0.6583586626139817,Java_high_results.csv
48,68,rectangle,high,high,0.9942698618565212,0.7364259890884644,0.9931027577163076,0.8819090129889549,0.7027027027027026,Java_high_results.csv
68,82,rectangle,high,high,0.993775995166466,0.7741974141688968,0.9908566864534772,0.9543321317407828,0.6071428571428572,Java_high_results.csv
87,123,rectangle,high,high,0.99059663273266,0.7283282389104785,0.987468693643226,0.8748092496493319,0.6470588235294117,Java_high_results.csv
69,80,rectangle,high,high,0.9875672023993806,0.6725361801877838,0.9831411401544694,0.8982338029965,0.6071428571428572,Java_high_results.csv
48,86,rectangle,high,high,0.9928608954095262,0.6800849402397697,0.9895970907841533,0.898645044823497,0.5517241379310345,Java_high_results.csv
68,80,rectangle,high,high,0.9913260655837938,0.5891633052100005,0.9877355970698116,0.9437914014090272,0.6956521739130435,Java_high_results.csv
87,178,rectangle,high,high,0.9911599244911335,0.7124746073794719,0.9886174921171388,0.9311053301337888,0.6363636363636364,Java_high_results.csv
