exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
48,68,5,high,high,0.9934969124573411,0.7527178649960978,0.991911979103819,0.899001915831046,0.6956521739130435
48,80,5,high,high,0.9864653627785767,0.7153184222252706,0.9844881806321458,0.8666493434498214,0.7543103448275861
48,82,5,high,high,0.9924129420919677,0.7410063559314796,0.9903467512148978,0.8720748646346734,0.5901639344262295
48,69,5,high,high,0.9917209238331299,0.7112520973853775,0.9886506225644214,0.9210477381569484,0.5849056603773586
48,118,5,high,high,0.9892152604646748,0.7622652695579568,0.9863370435551381,0.910576255778122,0.5640909090909091
48,86,5,high,high,0.9932281445382191,0.7160100528415515,0.9896441313927058,0.8949842051130521,0.5757575757575757
48,87,5,high,high,0.9922661469628076,0.6583514006651894,0.9892005633174796,0.9535779829400319,0.5763403263403263
48,178,5,high,high,0.9919181253015328,0.7458821550187855,0.9907279609599576,0.9456489463092231,0.7752525252525253
68,80,5,high,high,0.9875032181128635,0.6175172647320974,0.98593563846773,0.916928243652367,0.717948717948718
68,82,5,high,high,0.9928818933845256,0.7576889961410751,0.989103567018182,0.91269798536212,0.6216216216216217
68,69,5,high,high,0.9931924757482907,0.6849648545594689,0.9907783866744875,0.9292692521191875,0.6666666666666665
68,118,5,high,high,0.9912260727096012,0.7465596552432269,0.9905955161575382,0.9451609007949404,0.6666666666666666
68,86,5,high,high,0.9944051798038523,0.7073759235832384,0.9927655726676143,0.9444336528257207,0.653846153846154
68,87,5,high,high,0.9936425710196903,0.7058167679598047,0.9923168978737024,0.958614575665774,0.6
68,178,5,high,high,0.9934703372940014,0.7042686031920048,0.9912121674070479,0.9590108634845197,0.6799999999999999
69,80,5,high,high,0.988891611167685,0.5918109035950908,0.9844927607140839,0.8955827563117184,0.6666666666666666
69,82,5,high,high,0.9908012974367073,0.6981565638178013,0.9869744341424155,0.9347709155220086,0.6590909090909092
69,118,5,high,high,0.991458334438669,0.6829664673089386,0.9876753405503136,0.9000722382384365,0.6000000000000001
69,178,5,high,high,0.9924288695891642,0.6902381934655998,0.9911445184107052,0.9001514270407623,0.6296296296296298
69,87,5,high,high,0.9930900082843004,0.7653898484290528,0.9909568097352398,0.9123386875699921,0.6428571428571428
69,86,5,high,high,0.9929576271535777,0.7329563364353877,0.9915951962409665,0.9524299153326472,0.6419413919413919
80,82,5,high,high,0.9873504876620017,0.653201588066941,0.9833876195393797,0.9326017363913954,0.6086956521739131
80,86,5,high,high,0.9904300867066825,0.6418321171314939,0.9857969562929175,0.9066428799967257,0.6129032258064516
80,118,5,high,high,0.9833945787162379,0.7839368340848685,0.9759424506097537,0.9241963484172048,0.6086956521739131
80,87,5,high,high,0.9902441561181031,0.6859288253342424,0.9869432021813292,0.8684980596365066,0.626453488372093
80,178,5,high,high,0.9872283493804456,0.6458178613313682,0.9827390517258572,0.8676209686422023,0.7407407407407407
82,118,5,high,high,0.9891367035678655,0.7729250298769139,0.9834476884708794,0.9144860196220777,0.6410256410256411
82,86,5,high,high,0.9925346501649926,0.7500774549927555,0.989337616447927,0.923674298351926,0.625
82,87,5,high,high,0.9919847040164746,0.7176294076152225,0.9906269156054358,0.8911686650681745,0.6274509803921569
82,178,5,high,high,0.9915359948808301,0.7675990608487259,0.9899258821360652,0.9128700553829118,0.5999999999999999
86,118,5,high,high,0.9912840621471594,0.699537066467091,0.9863750395218676,0.8926244401313647,0.657142857142857
86,178,5,high,high,0.9931465575554997,0.7702650859797145,0.9903365965750799,0.9114763909058896,0.5999999999999999
86,87,5,high,high,0.9936759037769117,0.7743825631977009,0.9907428820982735,0.8922018210490958,0.6
87,118,5,high,high,0.9912609747475705,0.6589592477415307,0.9878472659807664,0.9190787252867428,0.5714285714285714
87,178,5,high,high,0.9926530399436082,0.6946313640778234,0.9897494006295116,0.9595970168182987,0.5231481481481481
118,178,5,high,high,0.9897801653453373,0.7370074303635377,0.9861456189944502,0.927922615446336,0.629100529100529
