exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
21,114,vehicle,low,low,0.9920480585683087,0.597621564132077,0.989610622254897,0.9028937915973582,0.7142857142857142
10,41,vehicle,low,low,0.9933861400741799,0.6662273299556749,0.9910368638390844,0.8817316035960293,0.6888888888888889
21,124,vehicle,low,low,0.9927673158200055,0.6371267050046437,0.9897615137130327,0.9339194772072872,0.736842105263158
13,200,vehicle,low,low,0.9916094874229602,0.6246974814379816,0.9884078181540551,0.8869237322745063,0.6557112068965517
13,78,vehicle,low,low,0.991442981083588,0.5972913165026017,0.986345796673268,0.905274426515492,0.6666666666666666
21,140,vehicle,low,low,0.9928120500169734,0.6687099784622832,0.9910316925683904,0.8847525927630391,0.709005376344086
13,74,vehicle,low,low,0.9917405290026396,0.58288677188322,0.9864493454861707,0.9403621680274892,0.631578947368421
21,126,vehicle,low,low,0.9920909956244387,0.7129121406022817,0.9892232489426412,0.8899127232296529,0.6738636363636363
13,79,vehicle,low,low,0.9927847368193525,0.7053958027620717,0.9897222572810874,0.9347835435745907,0.6333333333333333
10,79,vehicle,low,low,0.9938520515329385,0.7393851537781243,0.9907179274189827,0.8798047537081168,0.6956521739130435
13,77,vehicle,low,low,0.9928036838828319,0.7575728342873274,0.9915324938668847,0.9229408541857087,0.6363636363636364
21,27,vehicle,low,low,0.992383053317915,0.6481686264602426,0.9876085184404134,0.9212876863560427,0.6666666666666666
13,43,vehicle,low,low,0.9916237413427829,0.6947329597683295,0.9893418376023423,0.9088593996708145,0.6086956521739131
21,132,vehicle,low,low,0.992254043764947,0.758155756937323,0.9905549047498539,0.8842973550771714,0.7058823529411764
21,164,vehicle,low,low,0.9919578614989089,0.6683464938005895,0.9898791755454156,0.877702858168462,0.7037037037037037
21,65,vehicle,low,low,0.989977938469873,0.6271721320345509,0.9884068706624084,0.9086177156268572,0.7391304347826088
21,29,vehicle,low,low,0.991010010421008,0.6907212093246939,0.988822105126514,0.9282118289944163,0.6818181818181819
21,170,vehicle,low,low,0.9926310145853855,0.7649136746871739,0.9900910182787226,0.922024898279259,0.6504112808460634
10,65,vehicle,low,low,0.9880713831295408,0.7450370228851715,0.984399812753097,0.9441248537102409,0.6666666666666666
10,35,vehicle,low,low,0.9902419802688224,0.697378883166929,0.9842308119619683,0.9138246807062992,0.5865817091454273
21,172,vehicle,low,low,0.993418413319825,0.7273881298751124,0.9909526468100138,0.9404004603790505,0.6348484848484849
13,94,vehicle,low,low,0.9914996748572167,0.6484292034380588,0.9879721164590123,0.9398125724146301,0.6700680272108844
10,31,vehicle,low,low,0.9928239733796191,0.6863484025078759,0.9904262905098982,0.9098727072139897,0.6923076923076923
10,200,vehicle,low,low,0.9903729176252689,0.7622802778317295,0.9888499082530483,0.9441473307933845,0.6666666666666666
21,176,vehicle,low,low,0.9935659326577986,0.7548713263229567,0.991588781039037,0.942089749968401,0.6715686274509804
13,65,vehicle,low,low,0.9900899541633299,0.5816862709134674,0.9850311028115827,0.8475469183151156,0.6363636363636365
21,179,vehicle,low,low,0.9926864669253654,0.7792625425476416,0.9902642742466046,0.9424158280832563,0.6363636363636365
21,34,vehicle,low,low,0.9914861570025169,0.6688177630406446,0.9884491981825834,0.933078235869477,0.6926536731634183
21,180,vehicle,low,low,0.9921607370229192,0.6870505686775465,0.9887097549941654,0.94991214874298,0.6666666666666666
13,99,vehicle,low,low,0.9924338887064339,0.7484349757664734,0.9890559926117402,0.9404178956443209,0.6099033816425121
21,182,vehicle,low,low,0.9923243775333056,0.7159913628422896,0.9899213378706221,0.8578776262849803,0.676470588235294
10,13,vehicle,low,low,0.9912857378398341,0.647503178683594,0.9869105598728489,0.8580847290997072,0.6082693947144076
10,37,vehicle,low,low,0.9921969749974886,0.7093697253634292,0.9889534117923895,0.9381019187450348,0.6085349462365591
13,101,vehicle,low,low,0.9921937214468602,0.7405766811806958,0.9898161978443315,0.9238271898888767,0.606060606060606
