exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
6,197,vehicle,medium,medium,0.990531314925252,0.7519407429112972,0.9892775040209749,0.9024174647910734,0.6339712918660287
6,57,vehicle,medium,medium,0.9929391932967763,0.7054586498034906,0.9909247662039761,0.9159861086009032,0.7599999999999999
4,53,vehicle,medium,medium,0.9921073698243921,0.7484147095989729,0.9897086452007143,0.8828489080077679,0.7
6,143,vehicle,medium,medium,0.9909090792546638,0.7261444017880654,0.988274605787379,0.9216077559289461,0.5142857142857142
4,145,vehicle,medium,medium,0.9930780012480966,0.7556523282449824,0.9927423563729318,0.9144245151054144,0.7272727272727273
4,215,vehicle,medium,medium,0.99215661388913,0.7415022773234827,0.9897243438815018,0.8574026789287753,0.6666666666666667
6,91,vehicle,medium,medium,0.991549228123292,0.7288477303160206,0.987400585493205,0.9326401753506169,0.5405405405405406
6,192,vehicle,medium,medium,0.9917309196550586,0.7974153897262097,0.9886899466112011,0.9273269097837773,0.5555555555555556
4,16,vehicle,medium,medium,0.9935373785900313,0.6744492523971498,0.9917602583359687,0.9363727039137218,0.6666666666666666
6,142,vehicle,medium,medium,0.9929162669021419,0.716172111535327,0.9920890060386321,0.8660017034016813,0.6818181818181819
4,214,vehicle,medium,medium,0.9932863511008612,0.7063847724819201,0.9911091873303889,0.9268941888616512,0.7
4,89,vehicle,medium,medium,0.9924366569702152,0.7439935968276744,0.9902928595370353,0.945339791542105,0.6756756756756758
4,105,vehicle,medium,medium,0.9940940604149228,0.6925177749102704,0.9919072940807713,0.9030459133379054,0.6809090909090909
4,83,vehicle,medium,medium,0.9928491038958642,0.7046812077110293,0.9915533172976321,0.9056336239774235,0.675
4,50,vehicle,medium,medium,0.9914071453107332,0.7156715798967388,0.9892252081720857,0.8949178803898425,0.7083333333333334
6,135,vehicle,medium,medium,0.9890900600777761,0.713276262188119,0.9839462460110731,0.8963773432788413,0.7777777777777779
4,6,vehicle,medium,medium,0.9918805626358449,0.6935601112851416,0.9899387975960056,0.9208841225313618,0.6726190476190477
4,97,vehicle,medium,medium,0.9934770006389793,0.7574493036386821,0.9907387985447531,0.9466275813297657,0.6348484848484849
6,191,vehicle,medium,medium,0.9917553393382187,0.7229995814408823,0.9912155781687981,0.9475970330597252,0.6428571428571428
6,215,vehicle,medium,medium,0.9924409126630274,0.6899678252346463,0.991608771829394,0.9005876151405189,0.6720430107526882
4,75,vehicle,medium,medium,0.9902585871860907,0.7365757729277482,0.987038328461983,0.9293538664342259,0.6849624060150376
6,20,vehicle,medium,medium,0.9907980452859947,0.7421574174745338,0.9890286057954769,0.9122947676709312,0.6333333333333333
6,133,vehicle,medium,medium,0.9920903188518173,0.7052449885788565,0.9905288097940433,0.9122881132816631,0.75
4,142,vehicle,medium,medium,0.9931830749063564,0.7355953663225734,0.9928185991621471,0.9193541658192239,0.6876847290640393
4,91,vehicle,medium,medium,0.9910263519061633,0.7832967053940167,0.9879633815533647,0.9273755610933453,0.6166666666666667
4,24,vehicle,medium,medium,0.9936642246097188,0.7946532432476572,0.9925109887431092,0.9219779598497194,0.5812382149591453
6,190,vehicle,medium,medium,0.9909687607046753,0.6661696047717846,0.9882101401316166,0.9387581571185601,0.6086956521739131
6,214,vehicle,medium,medium,0.9931331386683211,0.6957920500247672,0.9910181145747782,0.8972670525989163,0.72
6,145,vehicle,medium,medium,0.9930750605297864,0.7181207047112463,0.992962304505252,0.8998524547519031,0.75
4,88,vehicle,medium,medium,0.9910179842527929,0.6976078071653715,0.990147322216865,0.8856974788798018,0.6720430107526882
6,206,vehicle,medium,medium,0.9938216811773585,0.683737770216775,0.9933539376581558,0.930671567726238,0.6818181818181819
4,73,vehicle,medium,medium,0.9929154382061718,0.6965385466547906,0.9914531285182786,0.9369141156289241,0.6861407249466951
6,169,vehicle,medium,medium,0.990225006403927,0.702590813601189,0.9876130343871892,0.9078677310948989,0.736842105263158
4,72,vehicle,medium,medium,0.9924910353878583,0.7400517303698075,0.9908627738876814,0.9116632221786739,0.7272727272727273
6,117,vehicle,medium,medium,0.9921729994326719,0.7171280525548752,0.9906582570242378,0.9288151570001831,0.6199999999999999
6,168,vehicle,medium,medium,0.9919856736281562,0.7167108202215066,0.9902432666484443,0.8648807104837896,0.7407407407407407
4,70,vehicle,medium,medium,0.9931380009325911,0.7375774663657699,0.9921162779203007,0.9022205467758408,0.7142857142857142
4,203,vehicle,medium,medium,0.9919112040534096,0.5976842861116641,0.9896104293415566,0.9042001856096857,0.6666666666666667
4,108,vehicle,medium,medium,0.9922057051608496,0.6710838836782671,0.9874799072909093,0.9335232083296302,0.6551724137931034
6,115,vehicle,medium,medium,0.9916403645011141,0.6915798219654243,0.9883103783169436,0.9157860197734853,0.6774193548387097
6,207,vehicle,medium,medium,0.9940092246790752,0.6611724176085627,0.992680120593736,0.8798690538806307,0.6296296296296298
6,166,vehicle,medium,medium,0.9903745870607983,0.6724056617392911,0.9881119156582556,0.8705218383898534,0.75
4,66,vehicle,medium,medium,0.992335910137647,0.5947035277874101,0.989414905102908,0.891885216734925,0.7391304347826088
4,202,vehicle,medium,medium,0.9890892717510291,0.6753426694086961,0.9832660087815395,0.9414881443777898,0.6785714285714286
4,42,vehicle,medium,medium,0.9924529593574959,0.6987041703433499,0.9897241824740359,0.9272291978881092,0.6956521739130435
6,88,vehicle,medium,medium,0.9901778383446396,0.6844303144744398,0.9857052390453089,0.9083508542077865,0.7916666666666666
6,158,vehicle,medium,medium,0.9927047388085009,0.689624061942326,0.9892339189172847,0.9261818929314466,0.5641025641025641
4,197,vehicle,medium,medium,0.9912176894965058,0.726424269566812,0.9884535143091935,0.9489318090133649,0.6363636363636365
6,108,vehicle,medium,medium,0.9921533835000174,0.6627031225276419,0.9891121450191391,0.9260310041086612,0.736842105263158
6,97,vehicle,medium,medium,0.9925960608161787,0.7378682277201367,0.9901139922589719,0.9361043002965433,0.625
4,40,vehicle,medium,medium,0.9910575946297094,0.6787941877781456,0.9883372329606228,0.9035549662142282,0.6666666666666667
6,84,vehicle,medium,medium,0.9938487860889232,0.7336257674713806,0.9929002341649694,0.933838916164554,0.7320574162679426
6,155,vehicle,medium,medium,0.9909840954603674,0.7259662233084934,0.9894277544795348,0.9062069213668263,0.767948717948718
4,62,vehicle,medium,medium,0.9918271755514586,0.626179412102244,0.9910415632998726,0.909327345572945,0.7142857142857143
4,57,vehicle,medium,medium,0.9922279777894096,0.725438767572176,0.9893061843650147,0.939589375213074,0.72
6,105,vehicle,medium,medium,0.9941569316406499,0.7121775502206655,0.9933569289738403,0.9192174066080072,0.7113095238095237
4,84,vehicle,medium,medium,0.9922317041636005,0.7423679083807382,0.9911586808707941,0.9464659067255767,0.6923076923076923
6,89,vehicle,medium,medium,0.993020686922574,0.762511479060807,0.9907566143165336,0.9037119856220359,0.6348484848484849
6,83,vehicle,medium,medium,0.9920341974203729,0.7023407963477744,0.9891559454250949,0.9017763937162351,0.736842105263158
4,58,vehicle,medium,medium,0.9929964417240624,0.7955621018725263,0.9902800833926958,0.9453845547315765,0.6333333333333333
4,55,vehicle,medium,medium,0.9929129274284553,0.685710561812483,0.9907674795432182,0.948723522740798,0.5555555555555556
4,192,vehicle,medium,medium,0.9915114488868477,0.734940231003986,0.9887895577344179,0.941284445936146,0.6352549889135255
4,51,vehicle,medium,medium,0.9937407031071331,0.6580303692830405,0.9909050499907596,0.8876361749006398,0.6300751879699248
