exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
82,118,vehicle,high,high,0.9905052688737996,0.6956056631830023,0.9852525902690454,0.918597142226982,0.5833333333333335,Java_high_results.csv
68,80,vehicle,high,high,0.9893340531278138,0.6936815481559329,0.9871226446299928,0.8654972320209712,0.6799999999999999,Java_high_results.csv
26,86,vehicle,high,high,0.9912135287355872,0.7369955398080916,0.9877638960602864,0.8898259190156186,0.638888888888889,Java_high_results.csv
87,118,vehicle,high,high,0.9912609747475704,0.6589592477415307,0.9878472659807664,0.9190787252867428,0.5714285714285714,Java_high_results.csv
82,87,vehicle,high,high,0.9913729343196288,0.7362842915410114,0.9883129860797348,0.8978647813263673,0.6363636363636365,Java_high_results.csv
86,87,vehicle,high,high,0.9936759037769116,0.7743825631977009,0.9907428820982735,0.8922018210490958,0.6,Java_high_results.csv
26,178,vehicle,high,high,0.9906536097917822,0.7697025350821523,0.9877704229794846,0.8683669622774673,0.6363636363636365,Java_high_results.csv
80,86,vehicle,high,high,0.9911857483360074,0.6361825140507467,0.9880096052400672,0.8500018378220511,0.5946428571428571,Java_high_results.csv
48,80,vehicle,high,high,0.9915404983777149,0.611230404038326,0.988761303888966,0.8808909146636468,0.7619047619047619,Java_high_results.csv
26,82,vehicle,high,high,0.9899892463708208,0.7603021132416711,0.9868145089126802,0.8836781481091357,0.6511627906976745,Java_high_results.csv
69,178,vehicle,high,high,0.9924288695891642,0.6902381934655998,0.9911445184107052,0.9001514270407623,0.6296296296296298,Java_high_results.csv
1,178,vehicle,high,high,0.9901405460183912,0.7275181424455,0.9873145291977382,0.8749743978926718,0.736842105263158,Java_high_results.csv
82,178,vehicle,high,high,0.992035471438072,0.7394684732062411,0.9891592052576572,0.8975134021048915,0.5903532608695652,Java_high_results.csv
69,118,vehicle,high,high,0.991458334438669,0.6829664673089386,0.9876753405503136,0.9000722382384365,0.6000000000000001,Java_high_results.csv
82,86,vehicle,high,high,0.9923501304852904,0.7360595501925228,0.989192939953364,0.9542674427055536,0.6382978723404256,Java_high_results.csv
48,68,vehicle,high,high,0.9943683616991432,0.7385542712842471,0.992099094035566,0.9455076191653692,0.6904761904761905,Java_high_results.csv
1,82,vehicle,high,high,0.9914959669808818,0.7357020332959565,0.9866650281830583,0.9293662287278066,0.5925925925925926,Java_high_results.csv
48,82,vehicle,high,high,0.9920794267534953,0.7195125526651991,0.9886937001557986,0.9510248728283612,0.6129032258064516,Java_high_results.csv
1,69,vehicle,high,high,0.9913989595704598,0.651069953436641,0.989526107913476,0.9351304250805428,0.6363636363636365,Java_high_results.csv
87,178,vehicle,high,high,0.9926530399436082,0.6946313640778234,0.9897494006295116,0.9595970168182988,0.5231481481481481,Java_high_results.csv
