exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
10,15,Intermediate,Intermediate,r2,r2,c2,c2,0.9879389833937952,0.9175309630721618,0.984452632108136,0.941786839502679,0.7318840579710144
10,18,Intermediate,Intermediate,r2,r2,c2,c2,0.989074495209336,0.9018236693488102,0.9890199317829006,0.9617817463266963,0.7340920881971466
10,21,Intermediate,Intermediate,r2,r2,c2,c2,0.9909690783641769,0.9499288716887009,0.9900822545001701,0.9427069871623351,0.7580487804878049
10,22,Intermediate,Intermediate,r2,r2,c2,c2,0.9885958985812119,0.9027368382707815,0.9888775819620844,0.9392304733046607,0.7262773722627738
10,32,Intermediate,Intermediate,r2,r2,c2,c2,0.989173635431162,0.8621652344149313,0.988312915308545,0.912976438807297,0.7065217391304348
10,35,Intermediate,Intermediate,r2,r2,c2,c2,0.9914716812829379,0.92528012875378,0.9906885364483432,0.9228719342900927,0.7272727272727272
10,45,Intermediate,Intermediate,r2,r2,c2,c2,0.9925812798153572,0.9499177293255946,0.9901007920234336,0.9412960745040896,0.7497835974755661
10,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9911794542096499,0.9314030138585714,0.9911347604298901,0.9617052961881862,0.7504021349711194
11,12,Intermediate,Intermediate,r2,r2,c1,c1,0.9891190388519716,0.9117518854729157,0.9891824367139428,0.9552735793903367,0.752851711026616
11,13,Intermediate,Intermediate,r2,r2,c1,c1,0.9892985092494286,0.8892951716934479,0.985543327865383,0.9423317131696088,0.736111111111111
11,19,Intermediate,Intermediate,r2,r2,c1,c1,0.991035983444936,0.9340639259344001,0.9877461340934626,0.9530735312577907,0.7275541795665634
11,20,Intermediate,Intermediate,r2,r2,c1,c1,0.9882945948115225,0.9248423347868555,0.9884290172761896,0.8980523355108277,0.717718753593193
11,23,Intermediate,Intermediate,r2,r2,c1,c1,0.9897360366416483,0.9285377866202194,0.9886799334429279,0.9453870612227856,0.7406260269470917
11,34,Intermediate,Intermediate,r2,r2,c1,c1,0.9914854871644028,0.9302114718855707,0.9897805067832162,0.9534072180873282,0.6865300546448088
11,44,Intermediate,Intermediate,r2,r2,c1,c1,0.9908039299866847,0.932465641565158,0.9889100235676579,0.9600240718117548,0.7585847105513219
12,13,Intermediate,Intermediate,r2,r2,c1,c1,0.9891570778338624,0.8696842831369002,0.9873422431829327,0.9545508675565113,0.7155555555555555
12,19,Intermediate,Intermediate,r2,r2,c1,c1,0.9898854509140232,0.9351530718973637,0.988654151745723,0.9386906286498906,0.7467023946558979
12,20,Intermediate,Intermediate,r2,r2,c1,c1,0.9872724329534253,0.9069252655355934,0.98535339509736,0.9587422465919544,0.6979591836734694
12,23,Intermediate,Intermediate,r2,r2,c1,c1,0.990302518628453,0.9258388024381815,0.9885404862916974,0.8416341436316963,0.7809162899422298
12,34,Intermediate,Intermediate,r2,r2,c1,c1,0.9906050634392386,0.9319344719479229,0.9890668135337174,0.9567989112900122,0.6646766169154228
12,44,Intermediate,Intermediate,r2,r2,c1,c1,0.99021760053138,0.9097102076923725,0.9899109211604176,0.9029292580606144,0.7167832167832169
13,19,Intermediate,Intermediate,r2,r2,c1,c1,0.9893072315030017,0.8885203639692121,0.9854610545008498,0.9177268142811219,0.6574074074074073
13,20,Intermediate,Intermediate,r2,r2,c1,c1,0.9859503749719901,0.8384041410010112,0.9828248448794743,0.943306102407023,0.687373031995937
13,23,Intermediate,Intermediate,r2,r2,c1,c1,0.9865153363996014,0.9223294972243007,0.981137664019557,0.907157524006543,0.7253218884120172
13,34,Intermediate,Intermediate,r2,r2,c1,c1,0.9891793221826127,0.8459451505091292,0.9858862502344983,0.9466345912978372,0.674642103462043
13,44,Intermediate,Intermediate,r2,r2,c1,c1,0.9874414472609045,0.8950286763534783,0.984934738582248,0.9374376487633836,0.6871848181898611
14,17,Intermediate,Intermediate,r2,r2,c3,c3,0.9886367487447973,0.9208383903826965,0.986607509741576,0.9555985334037083,0.7551867219917012
14,31,Intermediate,Intermediate,r2,r2,c3,c3,0.9928514792686618,0.937936162705105,0.9925788541901696,0.9689445225226935,0.7847490347490347
14,42,Intermediate,Intermediate,r2,r2,c3,c3,0.9897996506088201,0.94156842020671,0.9863275895606642,0.960711663237507,0.610878661087866
14,51,Intermediate,Intermediate,r2,r2,c3,c3,0.987043959891967,0.9207725595389824,0.9840617519038674,0.9050471422344673,0.7376385771611236
15,18,Intermediate,Intermediate,r2,r2,c2,c2,0.989335258619427,0.9241760440330409,0.9879718205169842,0.9440949050439214,0.6741573033707864
15,21,Intermediate,Intermediate,r2,r2,c2,c2,0.9878926494426191,0.9343486669274693,0.9836341356207392,0.9511522365127677,0.7365435485451162
15,22,Intermediate,Intermediate,r2,r2,c2,c2,0.9874943645361217,0.8636064808133073,0.9854643745756401,0.945536240625092,0.715431627196333
15,32,Intermediate,Intermediate,r2,r2,c2,c2,0.9858035646753412,0.8437782523308537,0.9819753411203332,0.9520248903925294,0.7575757575757576
15,35,Intermediate,Intermediate,r2,r2,c2,c2,0.9872531634980322,0.9057756098544947,0.9853907031484963,0.960049144952929,0.7137404580152671
15,45,Intermediate,Intermediate,r2,r2,c2,c2,0.9902580404022505,0.9425420288823786,0.9857796380640808,0.938285627503675,0.7333476706761788
15,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9899242544061241,0.9398853820668946,0.9861993533243961,0.9473061787494373,0.7275474780477844
17,31,Intermediate,Intermediate,r2,r2,c3,c3,0.9892787339105299,0.9230298594150452,0.9871056317639672,0.9486413538701789,0.7352941176470589
17,42,Intermediate,Intermediate,r2,r2,c3,c3,0.9852428631868194,0.8813407709557015,0.9841160181829722,0.9569766946901724,0.6285493827160493
17,51,Intermediate,Intermediate,r2,r2,c3,c3,0.9802084427608988,0.8675893789811064,0.9773578638882185,0.9177424167487885,0.6830357142857142
18,21,Intermediate,Intermediate,r2,r2,c2,c2,0.9906539606076097,0.9248194238765376,0.9873661369228359,0.954823613502091,0.7579617834394904
18,22,Intermediate,Intermediate,r2,r2,c2,c2,0.9889768363317261,0.9072040331418131,0.9893550855865363,0.8967912376297571,0.7091780873636123
18,32,Intermediate,Intermediate,r2,r2,c2,c2,0.9890097442044031,0.8890762153862581,0.9878013045146016,0.9345379753090387,0.5913346952672796
18,35,Intermediate,Intermediate,r2,r2,c2,c2,0.9904315006911502,0.9344174925823779,0.9919285523241532,0.9580291074345308,0.7430132708821233
18,45,Intermediate,Intermediate,r2,r2,c2,c2,0.9917933263008208,0.9467004895386817,0.99142181320352,0.9128956201931377,0.7514970059880239
18,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9922862376039644,0.961281673782102,0.9934230399505114,0.9575520518313617,0.7376204523107178
19,20,Intermediate,Intermediate,r2,r2,c1,c1,0.9877870705491887,0.923857535528544,0.9847265854011645,0.9430223975869064,0.7391304347826088
19,23,Intermediate,Intermediate,r2,r2,c1,c1,0.9914099556089493,0.9303353402514102,0.9876818037432957,0.958161157664417,0.7447447447447447
19,34,Intermediate,Intermediate,r2,r2,c1,c1,0.9909907422915013,0.9398382668313716,0.988444145148029,0.9530173121564178,0.7115384615384615
19,44,Intermediate,Intermediate,r2,r2,c1,c1,0.9909646895247504,0.9224958166265264,0.9881965061028022,0.950173976320536,0.7263157894736842
20,23,Intermediate,Intermediate,r2,r2,c1,c1,0.9864546319506582,0.9094074375824882,0.9854128978726472,0.840494720887734,0.7457627118644068
20,34,Intermediate,Intermediate,r2,r2,c1,c1,0.9876925019837555,0.9170041502872555,0.9882077212415938,0.9557316222522421,0.7265917602996255
20,44,Intermediate,Intermediate,r2,r2,c1,c1,0.9846933792981232,0.8754460240570706,0.982077258735968,0.939589749159925,0.7500000000000001
21,22,Intermediate,Intermediate,r2,r2,c2,c2,0.9864969612794465,0.9070143705729412,0.9834464833747184,0.9426769682987447,0.7055837563451777
21,32,Intermediate,Intermediate,r2,r2,c2,c2,0.9882422453721453,0.9117406029846383,0.9870269589389102,0.8789071934545425,0.7811158798283261
21,35,Intermediate,Intermediate,r2,r2,c2,c2,0.9891601673762105,0.9342524812747519,0.9895616065558586,0.9474077787363919,0.725690933602966
21,45,Intermediate,Intermediate,r2,r2,c2,c2,0.9908737333761177,0.9405353986570181,0.9890752926241446,0.9555449863833406,0.7601809954751132
21,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9902212642085783,0.9423702418387861,0.9867498255340718,0.957390467527102,0.78125
22,32,Intermediate,Intermediate,r2,r2,c2,c2,0.9862675598490025,0.7961509534848148,0.9818327657304486,0.9408889682646594,0.6275752604555043
22,35,Intermediate,Intermediate,r2,r2,c2,c2,0.9897072307035639,0.919319787967325,0.9868893821520467,0.9240058716150699,0.7557251908396947
22,45,Intermediate,Intermediate,r2,r2,c2,c2,0.989449614390211,0.9273883149751014,0.9880785313533332,0.9378229994850675,0.7451264076366619
22,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9897412920558976,0.9352881002614706,0.9877007353610604,0.942849196163134,0.6962025316455696
23,34,Intermediate,Intermediate,r2,r2,c1,c1,0.9905070887790102,0.939018112630561,0.9894991961847817,0.9629869784120823,0.7287234042553192
23,44,Intermediate,Intermediate,r2,r2,c1,c1,0.9888169127523205,0.9227026200957599,0.9872894476576201,0.9580396485373396,0.7339007565643079
31,42,Intermediate,Intermediate,r2,r2,c3,c3,0.991240262937753,0.930066272205912,0.9896770922497329,0.9751123750728912,0.5958549222797928
31,51,Intermediate,Intermediate,r2,r2,c3,c3,0.9864987815410512,0.9004672058125007,0.9841638937395032,0.8719701415267495,0.6878504491569818
32,35,Intermediate,Intermediate,r2,r2,c2,c2,0.9898491834429737,0.8304046495209937,0.9850469696799887,0.9410487988226913,0.6492647796848339
32,45,Intermediate,Intermediate,r2,r2,c2,c2,0.9881148199591868,0.8924001548366898,0.9851304883117009,0.9229409464697892,0.672340425531915
32,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9907321710641563,0.8600720226073288,0.9864853124604663,0.9573428149960067,0.6319181613734848
34,44,Intermediate,Intermediate,r2,r2,c1,c1,0.9908052847745049,0.9235586822296328,0.98839798225174,0.9633208788251361,0.6889665653495441
35,45,Intermediate,Intermediate,r2,r2,c2,c2,0.9904209608974827,0.931753476905192,0.98887522885294,0.9661127229006015,0.7414965986394558
35,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9912063771410059,0.9537830076834551,0.9888283507904373,0.9479871353684589,0.7391304347826086
42,51,Intermediate,Intermediate,r2,r2,c3,c3,0.983611522559418,0.8647282886953725,0.9808517477412598,0.9113249120556073,0.576
45,53,Intermediate,Intermediate,r2,r2,c2,c2,0.9932693999835147,0.960335039124607,0.9922436436142406,0.949840274752261,0.7706422018348624
