exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
68,35,rectangle,high,low,193.0,0.8976744186046511
48,63,rectangle,high,low,255.0,0.9074733096085409
48,60,rectangle,high,low,247.0,0.96484375
48,56,rectangle,high,low,139.0,0.9788732394366197
48,44,rectangle,high,low,156.0,0.9811320754716981
68,41,rectangle,high,low,284.0,0.8930817610062893
48,179,rectangle,high,low,437.0,0.8792756539235412
48,43,rectangle,high,low,146.0,0.9419354838709677
48,101,rectangle,high,low,147.0,0.930379746835443
48,176,rectangle,high,low,468.0,0.9285714285714286
48,164,rectangle,high,low,188.0,0.8909952606635071
48,13,rectangle,high,low,242.0,0.9490196078431372
48,21,rectangle,high,low,299.0,0.943217665615142
48,162,rectangle,high,low,245.0,0.928030303030303
68,37,rectangle,high,low,208.0,0.9541284403669725
48,27,rectangle,high,low,119.0,0.9224806201550387
48,140,rectangle,high,low,125.0,0.9689922480620154
48,29,rectangle,high,low,163.0,0.9644970414201184
48,31,rectangle,high,low,263.0,0.942652329749104
48,138,rectangle,high,low,146.0,0.906832298136646
48,34,rectangle,high,low,232.0,0.9586776859504132
48,132,rectangle,high,low,379.0,0.9266503667481663
48,35,rectangle,high,low,159.0,0.9298245614035088
48,128,rectangle,high,low,232.0,0.9547325102880658
68,101,rectangle,high,low,184.0,0.8558139534883721
48,180,rectangle,high,low,148.0,0.9487179487179487
48,126,rectangle,high,low,276.0,0.9261744966442953
68,99,rectangle,high,low,182.0,0.8465116279069768
48,182,rectangle,high,low,261.0,0.9321428571428572
48,124,rectangle,high,low,194.0,0.8899082568807339
68,94,rectangle,high,low,202.0,0.9395348837209302
48,186,rectangle,high,low,214.0,0.9344978165938864
48,107,rectangle,high,low,193.0,0.9278846153846154
68,79,rectangle,high,low,245.0,0.928030303030303
48,200,rectangle,high,low,225.0,0.9782608695652174
48,104,rectangle,high,low,268.0,0.9436619718309859
68,78,rectangle,high,low,206.0,0.8841201716738197
48,41,rectangle,high,low,299.0,0.940251572327044
