exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
48,25,rectangle,high,medium,344.0,0.9502762430939227
48,61,rectangle,high,medium,319.0,0.9354838709677419
48,62,rectangle,high,medium,131.0,0.9562043795620438
48,66,rectangle,high,medium,127.0,0.9844961240310077
48,73,rectangle,high,medium,238.0,0.8814814814814815
48,40,rectangle,high,medium,167.0,0.9382022471910112
48,4,rectangle,high,medium,189.0,0.9264705882352942
48,6,rectangle,high,medium,124.0,0.9612403100775194
48,14,rectangle,high,medium,145.0,0.9235668789808917
48,15,rectangle,high,medium,175.0,0.9668508287292817
48,16,rectangle,high,medium,203.0,0.9441860465116279
48,17,rectangle,high,medium,195.0,0.8904109589041096
48,20,rectangle,high,medium,180.0,0.8955223880597015
48,24,rectangle,high,medium,172.0,0.8911917098445595
48,33,rectangle,high,medium,139.0,0.9586206896551724
48,42,rectangle,high,medium,121.0,0.937984496124031
48,51,rectangle,high,medium,142.0,0.9793103448275862
48,53,rectangle,high,medium,161.0,0.930635838150289
48,54,rectangle,high,medium,304.0,0.9712460063897763
48,55,rectangle,high,medium,345.0,0.8868894601542416
48,57,rectangle,high,medium,117.0,0.9069767441860465
48,32,rectangle,high,medium,139.0,0.9928571428571429
48,81,rectangle,high,medium,127.0,0.9844961240310077
48,105,rectangle,high,medium,130.0,0.9558823529411765
48,115,rectangle,high,medium,137.0,0.9513888888888888
48,75,rectangle,high,medium,183.0,0.9242424242424242
48,143,rectangle,high,medium,125.0,0.9689922480620154
48,84,rectangle,high,medium,250.0,0.9505703422053232
48,145,rectangle,high,medium,159.0,0.8736263736263736
48,83,rectangle,high,medium,330.0,0.9428571428571428
48,155,rectangle,high,medium,162.0,0.9529411764705882
48,88,rectangle,high,medium,123.0,0.9534883720930233
48,147,rectangle,high,medium,265.0,0.9498207885304659
48,158,rectangle,high,medium,190.0,0.9359605911330049
48,171,rectangle,high,medium,153.0,0.9745222929936306
48,112,rectangle,high,medium,211.0,0.9504504504504504
48,97,rectangle,high,medium,215.0,0.9347826086956522
48,125,rectangle,high,medium,123.0,0.9534883720930233
48,169,rectangle,high,medium,270.0,0.9278350515463918
48,151,rectangle,high,medium,487.0,0.9586614173228346
48,91,rectangle,high,medium,138.0,0.971830985915493
48,117,rectangle,high,medium,269.0,0.9057239057239057
48,202,rectangle,high,medium,170.0,0.8994708994708994
48,108,rectangle,high,medium,146.0,0.9419354838709677
48,210,rectangle,high,medium,125.0,0.9689922480620154
48,192,rectangle,high,medium,282.0,0.9155844155844156
48,203,rectangle,high,medium,120.0,0.9302325581395349
