exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
48,36,rectangle,high,none,113.0,0.875968992248062
82,12,rectangle,high,none,171.0,0.9144385026737968
48,30,rectangle,high,none,143.0,0.9794520547945206
82,5,rectangle,high,none,172.0,0.9197860962566845
69,154,rectangle,high,none,319.0,0.90625
48,28,rectangle,high,none,262.0,0.9390681003584229
82,3,rectangle,high,none,162.0,0.8663101604278075
68,93,rectangle,high,none,199.0,0.9255813953488372
80,201,rectangle,high,none,115.0,0.9583333333333334
69,110,rectangle,high,none,249.0,0.8767605633802817
69,96,rectangle,high,none,260.0,0.9154929577464789
80,204,rectangle,high,none,84.0,0.9032258064516129
82,154,rectangle,high,none,301.0,0.8551136363636364
69,93,rectangle,high,none,267.0,0.9401408450704225
48,93,rectangle,high,none,105.0,0.813953488372093
48,96,rectangle,high,none,208.0,0.9327354260089686
80,36,rectangle,high,none,93.0,1.0
69,38,rectangle,high,none,270.0,0.9507042253521126
69,36,rectangle,high,none,250.0,0.8802816901408451
69,5,rectangle,high,none,249.0,0.8767605633802817
68,110,rectangle,high,none,186.0,0.8651162790697674
69,30,rectangle,high,none,251.0,0.8838028169014085
48,5,rectangle,high,none,182.0,0.9732620320855615
68,38,rectangle,high,none,216.0,0.9953917050691244
69,28,rectangle,high,none,264.0,0.9295774647887324
48,12,rectangle,high,none,136.0,0.9714285714285714
68,36,rectangle,high,none,192.0,0.8930232558139535
69,12,rectangle,high,none,253.0,0.8908450704225352
80,28,rectangle,high,none,257.0,0.921146953405018
68,30,rectangle,high,none,194.0,0.9023255813953488
68,211,rectangle,high,none,254.0,0.8581081081081081
80,12,rectangle,high,none,125.0,0.8928571428571429
68,28,rectangle,high,none,254.0,0.910394265232975
80,30,rectangle,high,none,134.0,0.9178082191780822
48,201,rectangle,high,none,119.0,0.9224806201550387
80,5,rectangle,high,none,165.0,0.8823529411764706
68,12,rectangle,high,none,189.0,0.8790697674418605
48,211,rectangle,high,none,278.0,0.9391891891891891
80,3,rectangle,high,none,125.0,0.9328358208955224
68,5,rectangle,high,none,190.0,0.8837209302325582
86,38,rectangle,high,none,524.0,0.9441441441441442
80,211,rectangle,high,none,270.0,0.9121621621621622
68,3,rectangle,high,none,171.0,0.7953488372093023
86,36,rectangle,high,none,518.0,0.9333333333333333
69,211,rectangle,high,none,265.0,0.8952702702702703
48,204,rectangle,high,none,122.0,0.9457364341085271
86,30,rectangle,high,none,517.0,0.9315315315315316
69,204,rectangle,high,none,266.0,0.9366197183098591
80,196,rectangle,high,none,574.0,0.9471947194719472
69,201,rectangle,high,none,256.0,0.9014084507042254
80,189,rectangle,high,none,164.0,0.9162011173184358
86,12,rectangle,high,none,519.0,0.9351351351351351
69,196,rectangle,high,none,549.0,0.905940594059406
80,181,rectangle,high,none,90.0,0.9574468085106383
86,5,rectangle,high,none,502.0,0.9045045045045045
69,189,rectangle,high,none,245.0,0.8626760563380281
82,163,rectangle,high,none,176.0,0.9411764705882353
82,110,rectangle,high,none,164.0,0.8770053475935828
80,163,rectangle,high,none,144.0,0.9056603773584906
48,196,rectangle,high,none,574.0,0.9471947194719472
86,3,rectangle,high,none,507.0,0.9135135135135135
69,181,rectangle,high,none,245.0,0.8626760563380281
69,3,rectangle,high,none,255.0,0.897887323943662
80,154,rectangle,high,none,324.0,0.9204545454545454
48,189,rectangle,high,none,175.0,0.9776536312849162
68,204,rectangle,high,none,197.0,0.9162790697674419
82,96,rectangle,high,none,199.0,0.8923766816143498
48,181,rectangle,high,none,123.0,0.9534883720930233
82,211,rectangle,high,none,245.0,0.8277027027027027
68,201,rectangle,high,none,189.0,0.8790697674418605
82,93,rectangle,high,none,172.0,0.9197860962566845
48,163,rectangle,high,none,145.0,0.9119496855345912
82,204,rectangle,high,none,173.0,0.9251336898395722
68,196,rectangle,high,none,564.0,0.9306930693069307
80,110,rectangle,high,none,132.0,0.9103448275862069
48,154,rectangle,high,none,323.0,0.9176136363636364
48,3,rectangle,high,none,125.0,0.9328358208955224
82,201,rectangle,high,none,167.0,0.893048128342246
80,38,rectangle,high,none,207.0,0.9539170506912442
68,189,rectangle,high,none,188.0,0.8744186046511628
69,163,rectangle,high,none,259.0,0.9119718309859155
82,38,rectangle,high,none,205.0,0.9447004608294931
82,196,rectangle,high,none,547.0,0.9026402640264026
68,181,rectangle,high,none,183.0,0.8511627906976744
82,36,rectangle,high,none,168.0,0.8983957219251337
80,96,rectangle,high,none,197.0,0.8834080717488789
68,96,rectangle,high,none,212.0,0.9506726457399103
82,189,rectangle,high,none,169.0,0.9037433155080213
68,163,rectangle,high,none,194.0,0.9023255813953488
82,30,rectangle,high,none,164.0,0.8770053475935828
80,93,rectangle,high,none,90.0,0.967741935483871
48,110,rectangle,high,none,142.0,0.9793103448275862
68,154,rectangle,high,none,292.0,0.8295454545454546
