exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
21,14,rectangle,low,medium,296.0,0.9337539432176656
13,117,rectangle,low,medium,277.0,0.9326599326599326
13,33,rectangle,low,medium,229.0,0.8980392156862745
21,25,rectangle,low,medium,319.0,0.8812154696132597
13,158,rectangle,low,medium,238.0,0.9333333333333333
21,6,rectangle,low,medium,283.0,0.8927444794952681
13,151,rectangle,low,medium,448.0,0.8818897637795275
21,4,rectangle,low,medium,304.0,0.9589905362776026
13,125,rectangle,low,medium,230.0,0.9019607843137255
13,135,rectangle,low,medium,345.0,0.8891752577319587
13,55,rectangle,low,medium,348.0,0.8946015424164524
13,215,rectangle,low,medium,225.0,0.8823529411764706
13,115,rectangle,low,medium,214.0,0.8392156862745098
13,214,rectangle,low,medium,253.0,0.887719298245614
13,51,rectangle,low,medium,228.0,0.8941176470588236
13,75,rectangle,low,medium,228.0,0.8941176470588236
13,212,rectangle,low,medium,224.0,0.8784313725490196
21,32,rectangle,low,medium,280.0,0.8832807570977917
13,53,rectangle,low,medium,241.0,0.9450980392156862
13,210,rectangle,low,medium,232.0,0.9098039215686274
13,84,rectangle,low,medium,249.0,0.9467680608365019
13,62,rectangle,low,medium,228.0,0.8941176470588236
13,91,rectangle,low,medium,217.0,0.8509803921568627
13,207,rectangle,low,medium,239.0,0.9157088122605364
13,88,rectangle,low,medium,235.0,0.9215686274509803
13,24,rectangle,low,medium,234.0,0.9176470588235294
13,112,rectangle,low,medium,238.0,0.9333333333333333
13,155,rectangle,low,medium,225.0,0.8823529411764706
13,83,rectangle,low,medium,321.0,0.9171428571428571
13,120,rectangle,low,medium,238.0,0.9333333333333333
13,57,rectangle,low,medium,236.0,0.9254901960784314
13,17,rectangle,low,medium,241.0,0.9450980392156862
13,143,rectangle,low,medium,231.0,0.9058823529411765
13,40,rectangle,low,medium,233.0,0.9137254901960784
13,66,rectangle,low,medium,239.0,0.9372549019607843
21,73,rectangle,low,medium,298.0,0.9400630914826499
21,40,rectangle,low,medium,298.0,0.9400630914826499
21,33,rectangle,low,medium,286.0,0.9022082018927445
13,108,rectangle,low,medium,235.0,0.9215686274509803
13,4,rectangle,low,medium,238.0,0.9333333333333333
13,145,rectangle,low,medium,236.0,0.9254901960784314
13,142,rectangle,low,medium,318.0,0.9137931034482759
13,121,rectangle,low,medium,236.0,0.9254901960784314
13,32,rectangle,low,medium,231.0,0.9058823529411765
13,73,rectangle,low,medium,253.0,0.937037037037037
13,147,rectangle,low,medium,259.0,0.9283154121863799
21,66,rectangle,low,medium,288.0,0.9085173501577287
13,202,rectangle,low,medium,239.0,0.9372549019607843
