exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
13,36,rectangle,low,none,233.0,0.9137254901960784
31,30,rectangle,low,none,248.0,0.8888888888888888
31,36,rectangle,low,none,243.0,0.8709677419354839
27,154,rectangle,low,none,308.0,0.875
31,12,rectangle,low,none,241.0,0.8637992831541219
27,163,rectangle,low,none,143.0,0.89937106918239
21,93,rectangle,low,none,289.0,0.9116719242902208
27,181,rectangle,low,none,96.0,0.8807339449541285
21,110,rectangle,low,none,277.0,0.8738170347003155
27,189,rectangle,low,none,164.0,0.9162011173184358
27,196,rectangle,low,none,562.0,0.9273927392739274
31,211,rectangle,low,none,244.0,0.8243243243243243
34,154,rectangle,low,none,316.0,0.8977272727272727
21,154,rectangle,low,none,341.0,0.96875
21,5,rectangle,low,none,286.0,0.9022082018927445
21,163,rectangle,low,none,299.0,0.943217665615142
27,211,rectangle,low,none,255.0,0.8614864864864865
21,181,rectangle,low,none,279.0,0.8801261829652997
13,38,rectangle,low,none,246.0,0.9647058823529412
21,189,rectangle,low,none,269.0,0.8485804416403786
13,5,rectangle,low,none,229.0,0.8980392156862745
21,211,rectangle,low,none,300.0,0.9463722397476341
21,201,rectangle,low,none,292.0,0.9211356466876972
29,3,rectangle,low,none,150.0,0.8875739644970414
13,30,rectangle,low,none,225.0,0.8823529411764706
13,154,rectangle,low,none,318.0,0.9034090909090909
29,5,rectangle,low,none,163.0,0.8716577540106952
27,3,rectangle,low,none,116.0,0.8656716417910447
29,12,rectangle,low,none,154.0,0.9112426035502958
31,201,rectangle,low,none,246.0,0.8817204301075269
27,5,rectangle,low,none,168.0,0.8983957219251337
31,204,rectangle,low,none,249.0,0.8924731182795699
31,5,rectangle,low,none,238.0,0.8530465949820788
29,28,rectangle,low,none,240.0,0.8602150537634409
27,12,rectangle,low,none,122.0,0.8714285714285714
31,3,rectangle,low,none,240.0,0.8602150537634409
29,30,rectangle,low,none,153.0,0.9053254437869822
35,36,rectangle,low,none,150.0,0.8771929824561403
27,28,rectangle,low,none,254.0,0.910394265232975
29,36,rectangle,low,none,149.0,0.8816568047337278
35,30,rectangle,low,none,153.0,0.8947368421052632
29,211,rectangle,low,none,247.0,0.8344594594594594
29,38,rectangle,low,none,205.0,0.9447004608294931
27,201,rectangle,low,none,116.0,0.9666666666666667
27,36,rectangle,low,none,98.0,0.8990825688073395
35,28,rectangle,low,none,255.0,0.9139784946236559
29,204,rectangle,low,none,146.0,0.863905325443787
27,38,rectangle,low,none,202.0,0.9308755760368663
35,12,rectangle,low,none,156.0,0.9122807017543859
29,201,rectangle,low,none,161.0,0.9526627218934911
29,93,rectangle,low,none,152.0,0.8994082840236687
21,196,rectangle,low,none,547.0,0.9026402640264026
34,110,rectangle,low,none,217.0,0.8966942148760331
35,5,rectangle,low,none,167.0,0.893048128342246
31,189,rectangle,low,none,221.0,0.7921146953405018
