exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
17,96,rectangle,medium,none,205.0,0.9192825112107623
16,30,rectangle,medium,none,194.0,0.9023255813953488
4,28,rectangle,medium,none,250.0,0.8960573476702509
17,93,rectangle,medium,none,196.0,0.8949771689497716
14,211,rectangle,medium,none,249.0,0.8412162162162162
16,36,rectangle,medium,none,193.0,0.8976744186046511
16,3,rectangle,medium,none,190.0,0.8837209302325582
6,5,rectangle,medium,none,163.0,0.8716577540106952
14,3,rectangle,medium,none,139.0,0.8853503184713376
14,96,rectangle,medium,none,190.0,0.852017937219731
17,38,rectangle,medium,none,211.0,0.9634703196347032
6,28,rectangle,medium,none,246.0,0.8817204301075269
4,211,rectangle,medium,none,254.0,0.8581081081081081
4,181,rectangle,medium,none,169.0,0.8284313725490197
15,3,rectangle,medium,none,169.0,0.9337016574585635
15,93,rectangle,medium,none,160.0,0.8839779005524862
6,12,rectangle,medium,none,134.0,0.9571428571428572
14,110,rectangle,medium,none,148.0,0.9426751592356688
6,3,rectangle,medium,none,120.0,0.8955223880597015
17,110,rectangle,medium,none,196.0,0.8949771689497716
17,154,rectangle,medium,none,307.0,0.8721590909090909
4,12,rectangle,medium,none,177.0,0.8676470588235294
15,12,rectangle,medium,none,166.0,0.9171270718232044
17,30,rectangle,medium,none,199.0,0.908675799086758
4,38,rectangle,medium,none,207.0,0.9539170506912442
15,5,rectangle,medium,none,173.0,0.9251336898395722
4,189,rectangle,medium,none,187.0,0.9166666666666666
16,163,rectangle,medium,none,198.0,0.9209302325581395
17,163,rectangle,medium,none,189.0,0.863013698630137
14,5,rectangle,medium,none,168.0,0.8983957219251337
15,28,rectangle,medium,none,227.0,0.8136200716845878
15,110,rectangle,medium,none,167.0,0.9226519337016574
14,154,rectangle,medium,none,304.0,0.8636363636363636
14,201,rectangle,medium,none,149.0,0.9490445859872612
16,189,rectangle,medium,none,183.0,0.8511627906976744
6,93,rectangle,medium,none,119.0,0.9296875
17,189,rectangle,medium,none,198.0,0.9041095890410958
14,28,rectangle,medium,none,258.0,0.9247311827956989
15,36,rectangle,medium,none,150.0,0.8287292817679558
15,96,rectangle,medium,none,202.0,0.905829596412556
16,181,rectangle,medium,none,176.0,0.8186046511627907
17,36,rectangle,medium,none,186.0,0.8493150684931506
14,181,rectangle,medium,none,134.0,0.8535031847133758
4,110,rectangle,medium,none,179.0,0.8774509803921569
17,181,rectangle,medium,none,188.0,0.8584474885844748
14,12,rectangle,medium,none,145.0,0.9235668789808917
15,30,rectangle,medium,none,164.0,0.9060773480662984
16,201,rectangle,medium,none,191.0,0.8883720930232558
4,5,rectangle,medium,none,193.0,0.946078431372549
6,96,rectangle,medium,none,195.0,0.874439461883408
17,201,rectangle,medium,none,196.0,0.8949771689497716
14,36,rectangle,medium,none,135.0,0.8598726114649682
16,196,rectangle,medium,none,548.0,0.9042904290429042
14,163,rectangle,medium,none,154.0,0.9685534591194969
6,211,rectangle,medium,none,243.0,0.8209459459459459
17,196,rectangle,medium,none,569.0,0.9389438943894389
15,154,rectangle,medium,none,289.0,0.8210227272727273
6,30,rectangle,medium,none,134.0,0.9178082191780822
14,30,rectangle,medium,none,147.0,0.9363057324840764
4,3,rectangle,medium,none,181.0,0.8872549019607843
15,38,rectangle,medium,none,208.0,0.9585253456221198
14,196,rectangle,medium,none,560.0,0.9240924092409241
6,38,rectangle,medium,none,204.0,0.9400921658986175
16,154,rectangle,medium,none,311.0,0.8835227272727273
16,204,rectangle,medium,none,198.0,0.9209302325581395
14,189,rectangle,medium,none,162.0,0.9050279329608939
17,204,rectangle,medium,none,199.0,0.908675799086758
14,38,rectangle,medium,none,204.0,0.9400921658986175
6,110,rectangle,medium,none,126.0,0.8689655172413793
6,36,rectangle,medium,none,116.0,0.90625
15,181,rectangle,medium,none,160.0,0.8839779005524862
15,163,rectangle,medium,none,172.0,0.9502762430939227
4,36,rectangle,medium,none,160.0,0.7843137254901961
15,189,rectangle,medium,none,165.0,0.9116022099447514
16,211,rectangle,medium,none,249.0,0.8412162162162162
4,163,rectangle,medium,none,171.0,0.8382352941176471
17,5,rectangle,medium,none,198.0,0.9041095890410958
17,3,rectangle,medium,none,181.0,0.8264840182648402
6,181,rectangle,medium,none,115.0,0.8984375
14,204,rectangle,medium,none,141.0,0.8980891719745223
4,196,rectangle,medium,none,550.0,0.9075907590759076
15,211,rectangle,medium,none,252.0,0.8513513513513513
6,163,rectangle,medium,none,140.0,0.8805031446540881
16,110,rectangle,medium,none,186.0,0.8651162790697674
6,201,rectangle,medium,none,126.0,0.984375
17,12,rectangle,medium,none,183.0,0.8356164383561644
15,201,rectangle,medium,none,165.0,0.9116022099447514
6,189,rectangle,medium,none,150.0,0.8379888268156425
16,96,rectangle,medium,none,203.0,0.9103139013452914
15,196,rectangle,medium,none,549.0,0.905940594059406
17,211,rectangle,medium,none,265.0,0.8952702702702703
15,204,rectangle,medium,none,161.0,0.8895027624309392
4,204,rectangle,medium,none,186.0,0.9117647058823529
16,12,rectangle,medium,none,193.0,0.8976744186046511
4,154,rectangle,medium,none,310.0,0.8806818181818182
4,201,rectangle,medium,none,169.0,0.8284313725490197
4,93,rectangle,medium,none,175.0,0.8578431372549019
4,30,rectangle,medium,none,184.0,0.9019607843137255
17,28,rectangle,medium,none,247.0,0.8853046594982079
16,5,rectangle,medium,none,192.0,0.8930232558139535
6,154,rectangle,medium,none,297.0,0.84375
4,96,rectangle,medium,none,206.0,0.9237668161434978
14,93,rectangle,medium,none,146.0,0.9299363057324841
6,196,rectangle,medium,none,565.0,0.9323432343234324
16,93,rectangle,medium,none,198.0,0.9209302325581395
6,204,rectangle,medium,none,116.0,0.90625
16,28,rectangle,medium,none,252.0,0.9032258064516129
16,38,rectangle,medium,none,214.0,0.9861751152073732
20,204,rectangle,medium,none,185.0,0.9203980099502488
20,36,rectangle,medium,none,173.0,0.8606965174129353
20,201,rectangle,medium,none,165.0,0.8208955223880597
20,110,rectangle,medium,none,184.0,0.9154228855721394
20,12,rectangle,medium,none,169.0,0.8407960199004975
20,163,rectangle,medium,none,174.0,0.8656716417910447
24,3,rectangle,medium,none,152.0,0.7875647668393783
20,189,rectangle,medium,none,192.0,0.9552238805970149
20,93,rectangle,medium,none,179.0,0.8905472636815921
20,38,rectangle,medium,none,205.0,0.9447004608294931
24,36,rectangle,medium,none,159.0,0.8238341968911918
24,5,rectangle,medium,none,185.0,0.9585492227979274
24,12,rectangle,medium,none,166.0,0.8601036269430051
20,181,rectangle,medium,none,170.0,0.845771144278607
24,93,rectangle,medium,none,170.0,0.8808290155440415
24,30,rectangle,medium,none,157.0,0.8134715025906736
20,30,rectangle,medium,none,186.0,0.9253731343283582
24,110,rectangle,medium,none,169.0,0.8756476683937824
24,181,rectangle,medium,none,153.0,0.7927461139896373
24,38,rectangle,medium,none,206.0,0.9493087557603687
24,28,rectangle,medium,none,256.0,0.9175627240143369
24,201,rectangle,medium,none,157.0,0.8134715025906736
24,163,rectangle,medium,none,160.0,0.8290155440414507
24,204,rectangle,medium,none,174.0,0.9015544041450777
20,3,rectangle,medium,none,174.0,0.8656716417910447
25,3,rectangle,medium,none,321.0,0.8867403314917127
24,154,rectangle,medium,none,278.0,0.7897727272727273
20,5,rectangle,medium,none,197.0,0.9800995024875622
24,211,rectangle,medium,none,250.0,0.8445945945945946
25,12,rectangle,medium,none,325.0,0.8977900552486188
24,189,rectangle,medium,none,172.0,0.8911917098445595
25,30,rectangle,medium,none,325.0,0.8977900552486188
25,5,rectangle,medium,none,315.0,0.8701657458563536
24,96,rectangle,medium,none,197.0,0.8834080717488789
20,96,rectangle,medium,none,209.0,0.9372197309417041
25,93,rectangle,medium,none,343.0,0.9475138121546961
25,36,rectangle,medium,none,328.0,0.9060773480662984
24,196,rectangle,medium,none,542.0,0.8943894389438944
25,28,rectangle,medium,none,320.0,0.8839779005524862
25,110,rectangle,medium,none,308.0,0.850828729281768
20,28,rectangle,medium,none,264.0,0.946236559139785
32,5,rectangle,medium,none,161.0,0.8609625668449198
32,12,rectangle,medium,none,127.0,0.9071428571428571
32,3,rectangle,medium,none,132.0,0.9428571428571428
25,96,rectangle,medium,none,328.0,0.9060773480662984
25,189,rectangle,medium,none,298.0,0.8232044198895028
25,204,rectangle,medium,none,336.0,0.9281767955801105
20,211,rectangle,medium,none,263.0,0.8885135135135135
32,36,rectangle,medium,none,124.0,0.8857142857142857
32,93,rectangle,medium,none,131.0,0.9357142857142857
32,28,rectangle,medium,none,238.0,0.8530465949820788
32,30,rectangle,medium,none,137.0,0.9383561643835616
32,38,rectangle,medium,none,199.0,0.9170506912442397
32,96,rectangle,medium,none,186.0,0.8340807174887892
32,163,rectangle,medium,none,139.0,0.8742138364779874
25,181,rectangle,medium,none,315.0,0.8701657458563536
32,204,rectangle,medium,none,119.0,0.85
20,154,rectangle,medium,none,305.0,0.8664772727272727
32,189,rectangle,medium,none,148.0,0.8268156424581006
32,110,rectangle,medium,none,129.0,0.8896551724137931
25,201,rectangle,medium,none,340.0,0.9392265193370166
25,211,rectangle,medium,none,325.0,0.8977900552486188
25,154,rectangle,medium,none,344.0,0.9502762430939227
32,181,rectangle,medium,none,108.0,0.7714285714285715
33,12,rectangle,medium,none,143.0,0.9862068965517241
32,201,rectangle,medium,none,125.0,0.8928571428571429
33,30,rectangle,medium,none,143.0,0.9794520547945206
33,5,rectangle,medium,none,178.0,0.9518716577540107
33,93,rectangle,medium,none,141.0,0.9724137931034482
32,211,rectangle,medium,none,241.0,0.8141891891891891
33,36,rectangle,medium,none,143.0,0.9862068965517241
33,110,rectangle,medium,none,141.0,0.9724137931034482
33,163,rectangle,medium,none,152.0,0.9559748427672956
33,96,rectangle,medium,none,211.0,0.9461883408071748
33,204,rectangle,medium,none,134.0,0.9241379310344827
33,181,rectangle,medium,none,137.0,0.9448275862068966
33,189,rectangle,medium,none,172.0,0.9608938547486033
33,201,rectangle,medium,none,140.0,0.9655172413793104
33,3,rectangle,medium,none,143.0,0.9862068965517241
32,196,rectangle,medium,none,558.0,0.9207920792079208
40,36,rectangle,medium,none,162.0,0.9101123595505618
25,163,rectangle,medium,none,331.0,0.914364640883978
40,3,rectangle,medium,none,159.0,0.8932584269662921
40,30,rectangle,medium,none,166.0,0.9325842696629213
40,93,rectangle,medium,none,161.0,0.9044943820224719
40,5,rectangle,medium,none,173.0,0.9251336898395722
33,211,rectangle,medium,none,264.0,0.8918918918918919
33,28,rectangle,medium,none,258.0,0.9247311827956989
25,38,rectangle,medium,none,335.0,0.925414364640884
40,181,rectangle,medium,none,151.0,0.848314606741573
33,38,rectangle,medium,none,207.0,0.9539170506912442
40,12,rectangle,medium,none,154.0,0.8651685393258427
40,163,rectangle,medium,none,158.0,0.8876404494382022
33,196,rectangle,medium,none,559.0,0.9224422442244224
40,96,rectangle,medium,none,203.0,0.9103139013452914
25,196,rectangle,medium,none,554.0,0.9141914191419142
40,189,rectangle,medium,none,170.0,0.9497206703910615
40,204,rectangle,medium,none,162.0,0.9101123595505618
42,5,rectangle,medium,none,167.0,0.893048128342246
42,36,rectangle,medium,none,84.0,0.9130434782608695
32,154,rectangle,medium,none,306.0,0.8693181818181818
42,30,rectangle,medium,none,131.0,0.8972602739726028
42,3,rectangle,medium,none,115.0,0.8582089552238806
42,93,rectangle,medium,none,79.0,0.9294117647058824
42,28,rectangle,medium,none,255.0,0.9139784946236559
42,38,rectangle,medium,none,207.0,0.9539170506912442
42,181,rectangle,medium,none,82.0,0.8723404255319149
42,163,rectangle,medium,none,142.0,0.8930817610062893
42,12,rectangle,medium,none,124.0,0.8857142857142857
42,204,rectangle,medium,none,42.0,0.8936170212765957
42,189,rectangle,medium,none,161.0,0.8994413407821229
42,201,rectangle,medium,none,110.0,0.9166666666666666
40,201,rectangle,medium,none,160.0,0.898876404494382
40,154,rectangle,medium,none,303.0,0.8607954545454546
20,196,rectangle,medium,none,563.0,0.929042904290429
42,211,rectangle,medium,none,269.0,0.9087837837837838
42,110,rectangle,medium,none,130.0,0.896551724137931
40,211,rectangle,medium,none,259.0,0.875
42,196,rectangle,medium,none,587.0,0.9686468646864687
40,110,rectangle,medium,none,160.0,0.898876404494382
51,3,rectangle,medium,none,127.0,0.8758620689655172
42,154,rectangle,medium,none,332.0,0.9431818181818182
51,93,rectangle,medium,none,131.0,0.903448275862069
40,28,rectangle,medium,none,252.0,0.9032258064516129
42,96,rectangle,medium,none,208.0,0.9327354260089686
51,12,rectangle,medium,none,129.0,0.8896551724137931
51,30,rectangle,medium,none,138.0,0.9452054794520548
51,181,rectangle,medium,none,124.0,0.8551724137931035
51,110,rectangle,medium,none,129.0,0.8896551724137931
40,38,rectangle,medium,none,204.0,0.9400921658986175
33,154,rectangle,medium,none,323.0,0.9176136363636364
51,28,rectangle,medium,none,250.0,0.8960573476702509
51,204,rectangle,medium,none,132.0,0.9103448275862069
53,3,rectangle,medium,none,159.0,0.9190751445086706
51,36,rectangle,medium,none,131.0,0.903448275862069
40,196,rectangle,medium,none,556.0,0.9174917491749175
53,36,rectangle,medium,none,160.0,0.9248554913294798
53,12,rectangle,medium,none,163.0,0.9421965317919075
51,201,rectangle,medium,none,133.0,0.9172413793103448
53,93,rectangle,medium,none,158.0,0.9132947976878613
51,5,rectangle,medium,none,168.0,0.8983957219251337
51,211,rectangle,medium,none,247.0,0.8344594594594594
53,5,rectangle,medium,none,172.0,0.9197860962566845
51,154,rectangle,medium,none,296.0,0.8409090909090909
53,204,rectangle,medium,none,157.0,0.9075144508670521
51,189,rectangle,medium,none,157.0,0.8770949720670391
53,110,rectangle,medium,none,163.0,0.9421965317919075
53,201,rectangle,medium,none,162.0,0.9364161849710982
51,163,rectangle,medium,none,147.0,0.9245283018867925
53,163,rectangle,medium,none,161.0,0.930635838150289
53,189,rectangle,medium,none,167.0,0.9329608938547486
51,196,rectangle,medium,none,560.0,0.9240924092409241
51,38,rectangle,medium,none,200.0,0.9216589861751152
54,3,rectangle,medium,none,294.0,0.939297124600639
53,181,rectangle,medium,none,158.0,0.9132947976878613
51,96,rectangle,medium,none,194.0,0.8699551569506726
53,154,rectangle,medium,none,310.0,0.8806818181818182
54,12,rectangle,medium,none,285.0,0.9105431309904153
54,36,rectangle,medium,none,287.0,0.9169329073482428
53,30,rectangle,medium,none,159.0,0.9190751445086706
53,211,rectangle,medium,none,258.0,0.8716216216216216
54,93,rectangle,medium,none,297.0,0.9488817891373802
54,204,rectangle,medium,none,292.0,0.9329073482428115
54,181,rectangle,medium,none,281.0,0.8977635782747604
54,110,rectangle,medium,none,290.0,0.9265175718849841
54,38,rectangle,medium,none,301.0,0.9616613418530351
53,38,rectangle,medium,none,198.0,0.9124423963133641
53,28,rectangle,medium,none,248.0,0.8888888888888888
54,189,rectangle,medium,none,286.0,0.9137380191693291
53,96,rectangle,medium,none,204.0,0.9147982062780269
54,201,rectangle,medium,none,296.0,0.9456869009584664
55,3,rectangle,medium,none,336.0,0.8637532133676092
54,30,rectangle,medium,none,283.0,0.9041533546325878
55,12,rectangle,medium,none,337.0,0.8663239074550129
54,28,rectangle,medium,none,299.0,0.9552715654952076
55,93,rectangle,medium,none,352.0,0.9048843187660668
55,5,rectangle,medium,none,337.0,0.8663239074550129
54,211,rectangle,medium,none,306.0,0.9776357827476039
55,36,rectangle,medium,none,339.0,0.87146529562982
54,5,rectangle,medium,none,282.0,0.9009584664536742
55,110,rectangle,medium,none,340.0,0.8740359897172236
57,3,rectangle,medium,none,121.0,0.9029850746268657
54,96,rectangle,medium,none,291.0,0.9297124600638977
55,38,rectangle,medium,none,356.0,0.9151670951156813
55,201,rectangle,medium,none,337.0,0.8663239074550129
55,204,rectangle,medium,none,368.0,0.9460154241645244
55,28,rectangle,medium,none,349.0,0.897172236503856
55,163,rectangle,medium,none,340.0,0.8740359897172236
57,5,rectangle,medium,none,171.0,0.9144385026737968
54,163,rectangle,medium,none,293.0,0.9361022364217252
57,28,rectangle,medium,none,255.0,0.9139784946236559
57,93,rectangle,medium,none,83.0,0.9651162790697675
55,189,rectangle,medium,none,331.0,0.8508997429305912
