exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
68,35,rectangle,high,low,193.0,0.8976744186046511,Java_high_Java_low_results.csv
48,63,rectangle,high,low,255.0,0.9074733096085408,Java_high_Java_low_results.csv
48,60,rectangle,high,low,247.0,0.96484375,Java_high_Java_low_results.csv
48,56,rectangle,high,low,139.0,0.9788732394366196,Java_high_Java_low_results.csv
48,44,rectangle,high,low,156.0,0.981132075471698,Java_high_Java_low_results.csv
68,41,rectangle,high,low,284.0,0.8930817610062893,Java_high_Java_low_results.csv
48,179,rectangle,high,low,437.0,0.8792756539235412,Java_high_Java_low_results.csv
48,43,rectangle,high,low,146.0,0.9419354838709676,Java_high_Java_low_results.csv
48,101,rectangle,high,low,147.0,0.930379746835443,Java_high_Java_low_results.csv
48,176,rectangle,high,low,468.0,0.9285714285714286,Java_high_Java_low_results.csv
48,164,rectangle,high,low,188.0,0.8909952606635071,Java_high_Java_low_results.csv
48,13,rectangle,high,low,242.0,0.9490196078431372,Java_high_Java_low_results.csv
48,21,rectangle,high,low,299.0,0.943217665615142,Java_high_Java_low_results.csv
48,162,rectangle,high,low,245.0,0.928030303030303,Java_high_Java_low_results.csv
68,37,rectangle,high,low,208.0,0.9541284403669724,Java_high_Java_low_results.csv
48,27,rectangle,high,low,119.0,0.9224806201550388,Java_high_Java_low_results.csv
48,140,rectangle,high,low,125.0,0.9689922480620154,Java_high_Java_low_results.csv
48,29,rectangle,high,low,163.0,0.9644970414201184,Java_high_Java_low_results.csv
48,31,rectangle,high,low,263.0,0.942652329749104,Java_high_Java_low_results.csv
48,138,rectangle,high,low,146.0,0.906832298136646,Java_high_Java_low_results.csv
48,34,rectangle,high,low,232.0,0.9586776859504132,Java_high_Java_low_results.csv
48,132,rectangle,high,low,379.0,0.9266503667481664,Java_high_Java_low_results.csv
48,35,rectangle,high,low,159.0,0.9298245614035088,Java_high_Java_low_results.csv
48,128,rectangle,high,low,232.0,0.9547325102880658,Java_high_Java_low_results.csv
68,101,rectangle,high,low,184.0,0.8558139534883721,Java_high_Java_low_results.csv
48,180,rectangle,high,low,148.0,0.9487179487179488,Java_high_Java_low_results.csv
48,126,rectangle,high,low,276.0,0.9261744966442952,Java_high_Java_low_results.csv
68,99,rectangle,high,low,182.0,0.8465116279069768,Java_high_Java_low_results.csv
48,182,rectangle,high,low,261.0,0.9321428571428572,Java_high_Java_low_results.csv
48,124,rectangle,high,low,194.0,0.8899082568807339,Java_high_Java_low_results.csv
68,94,rectangle,high,low,202.0,0.9395348837209302,Java_high_Java_low_results.csv
48,186,rectangle,high,low,214.0,0.9344978165938864,Java_high_Java_low_results.csv
48,107,rectangle,high,low,193.0,0.9278846153846154,Java_high_Java_low_results.csv
68,79,rectangle,high,low,245.0,0.928030303030303,Java_high_Java_low_results.csv
48,200,rectangle,high,low,225.0,0.9782608695652174,Java_high_Java_low_results.csv
48,104,rectangle,high,low,268.0,0.943661971830986,Java_high_Java_low_results.csv
68,78,rectangle,high,low,206.0,0.8841201716738197,Java_high_Java_low_results.csv
48,41,rectangle,high,low,299.0,0.940251572327044,Java_high_Java_low_results.csv
48,208,rectangle,high,low,228.0,0.8702290076335878,Java_high_Java_low_results.csv
68,77,rectangle,high,low,326.0,0.9261363636363636,Java_high_Java_low_results.csv
68,74,rectangle,high,low,191.0,0.8883720930232558,Java_high_Java_low_results.csv
48,79,rectangle,high,low,250.0,0.946969696969697,Java_high_Java_low_results.csv
68,43,rectangle,high,low,196.0,0.9116279069767442,Java_high_Java_low_results.csv
68,13,rectangle,high,low,228.0,0.8941176470588236,Java_high_Java_low_results.csv
68,71,rectangle,high,low,198.0,0.9209302325581395,Java_high_Java_low_results.csv
48,94,rectangle,high,low,127.0,0.9769230769230768,Java_high_Java_low_results.csv
48,78,rectangle,high,low,205.0,0.8798283261802575,Java_high_Java_low_results.csv
68,21,rectangle,high,low,303.0,0.9558359621451104,Java_high_Java_low_results.csv
68,67,rectangle,high,low,189.0,0.8790697674418605,Java_high_Java_low_results.csv
48,77,rectangle,high,low,329.0,0.9346590909090908,Java_high_Java_low_results.csv
68,27,rectangle,high,low,180.0,0.8372093023255814,Java_high_Java_low_results.csv
68,65,rectangle,high,low,204.0,0.9488372093023256,Java_high_Java_low_results.csv
48,74,rectangle,high,low,120.0,0.9302325581395348,Java_high_Java_low_results.csv
48,99,rectangle,high,low,169.0,0.976878612716763,Java_high_Java_low_results.csv
48,37,rectangle,high,low,203.0,0.9311926605504588,Java_high_Java_low_results.csv
68,29,rectangle,high,low,184.0,0.8558139534883721,Java_high_Java_low_results.csv
68,64,rectangle,high,low,352.0,0.9539295392953928,Java_high_Java_low_results.csv
48,71,rectangle,high,low,117.0,0.9069767441860463,Java_high_Java_low_results.csv
68,31,rectangle,high,low,247.0,0.8853046594982079,Java_high_Java_low_results.csv
68,63,rectangle,high,low,255.0,0.9074733096085408,Java_high_Java_low_results.csv
48,67,rectangle,high,low,152.0,0.9681528662420382,Java_high_Java_low_results.csv
68,44,rectangle,high,low,193.0,0.8976744186046511,Java_high_Java_low_results.csv
68,34,rectangle,high,low,222.0,0.9173553719008264,Java_high_Java_low_results.csv
68,60,rectangle,high,low,231.0,0.90234375,Java_high_Java_low_results.csv
48,65,rectangle,high,low,116.0,0.8992248062015504,Java_high_Java_low_results.csv
68,56,rectangle,high,low,185.0,0.8604651162790697,Java_high_Java_low_results.csv
48,64,rectangle,high,low,338.0,0.9159891598915988,Java_high_Java_low_results.csv
68,164,rectangle,high,low,206.0,0.958139534883721,Java_high_Java_low_results.csv
68,104,rectangle,high,low,254.0,0.8943661971830986,Java_high_Java_low_results.csv
68,124,rectangle,high,low,206.0,0.944954128440367,Java_high_Java_low_results.csv
68,186,rectangle,high,low,203.0,0.8864628820960698,Java_high_Java_low_results.csv
68,200,rectangle,high,low,208.0,0.9043478260869564,Java_high_Java_low_results.csv
68,162,rectangle,high,low,237.0,0.8977272727272727,Java_high_Java_low_results.csv
68,208,rectangle,high,low,241.0,0.9198473282442748,Java_high_Java_low_results.csv
68,182,rectangle,high,low,247.0,0.8821428571428571,Java_high_Java_low_results.csv
68,140,rectangle,high,low,171.0,0.7953488372093023,Java_high_Java_low_results.csv
69,13,rectangle,high,low,251.0,0.8838028169014085,Java_high_Java_low_results.csv
68,138,rectangle,high,low,182.0,0.8465116279069768,Java_high_Java_low_results.csv
68,180,rectangle,high,low,180.0,0.8372093023255814,Java_high_Java_low_results.csv
68,107,rectangle,high,low,198.0,0.9209302325581395,Java_high_Java_low_results.csv
69,27,rectangle,high,low,258.0,0.908450704225352,Java_high_Java_low_results.csv
69,29,rectangle,high,low,247.0,0.8697183098591549,Java_high_Java_low_results.csv
68,176,rectangle,high,low,466.0,0.9246031746031746,Java_high_Java_low_results.csv
69,35,rectangle,high,low,231.0,0.8133802816901409,Java_high_Java_low_results.csv
68,128,rectangle,high,low,222.0,0.9135802469135802,Java_high_Java_low_results.csv
