exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
1,21,2,high,low,289.0,0.9116719242902208
1,78,2,high,low,119.0,0.8947368421052632
1,99,2,high,low,160.0,0.9248554913294798
1,126,2,high,low,283.0,0.8871473354231975
1,64,2,high,low,523.0,0.8834459459459459
1,35,2,high,low,159.0,0.9298245614035088
1,65,2,high,low,126.0,0.9473684210526315
1,63,2,high,low,205.0,0.7884615384615384
1,37,2,high,low,193.0,0.8853211009174312
1,13,2,high,low,235.0,0.9215686274509803
1,41,2,high,low,293.0,0.9213836477987422
1,74,2,high,low,125.0,0.9398496240601504
1,60,2,high,low,258.0,0.8431372549019608
1,27,2,high,low,119.0,0.8947368421052632
1,79,2,high,low,256.0,0.8258064516129032
1,43,2,high,low,234.0,0.8068965517241379
1,29,2,high,low,160.0,0.8743169398907104
1,71,2,high,low,123.0,0.924812030075188
1,107,2,high,low,188.0,0.9038461538461539
1,56,2,high,low,137.0,0.9383561643835616
1,94,2,high,low,131.0,0.9849624060150376
1,138,2,high,low,145.0,0.9006211180124224
1,67,2,high,low,149.0,0.9490445859872612
1,104,2,high,low,263.0,0.926056338028169
1,31,2,high,low,252.0,0.9032258064516129
1,132,2,high,low,376.0,0.9193154034229829
1,34,2,high,low,178.0,0.8725490196078431
1,44,2,high,low,244.0,0.8327645051194539
1,77,2,high,low,338.0,0.8688946015424165
1,101,2,high,low,142.0,0.8987341772151899
1,128,2,high,low,227.0,0.934156378600823
1,124,2,high,low,247.0,0.8666666666666667
1,172,2,high,low,155.0,0.8908045977011494
1,180,2,high,low,141.0,0.8924050632911392
1,140,2,high,low,184.0,0.8288288288288288
1,164,2,high,low,210.0,0.8936170212765957
1,162,2,high,low,242.0,0.9166666666666666
1,182,2,high,low,365.0,0.9125
1,179,2,high,low,331.0,0.8642297650130548
1,200,2,high,low,161.0,0.9096045197740112
1,186,2,high,low,205.0,0.8951965065502183
1,183,2,high,low,246.0,0.8785714285714286
26,27,2,high,low,156.0,0.861878453038674
1,176,2,high,low,478.0,0.9484126984126984
26,13,2,high,low,241.0,0.9450980392156862
26,29,2,high,low,168.0,0.9180327868852459
26,34,2,high,low,187.0,0.9166666666666666
26,35,2,high,low,177.0,0.9779005524861878
26,21,2,high,low,288.0,0.9085173501577287
26,31,2,high,low,251.0,0.899641577060932
26,37,2,high,low,199.0,0.9128440366972477
26,56,2,high,low,164.0,0.9060773480662984
26,41,2,high,low,299.0,0.940251572327044
26,65,2,high,low,166.0,0.9171270718232044
26,43,2,high,low,258.0,0.8896551724137931
26,71,2,high,low,171.0,0.9447513812154696
26,44,2,high,low,250.0,0.8532423208191127
26,63,2,high,low,214.0,0.823076923076923
26,74,2,high,low,173.0,0.9558011049723757
26,60,2,high,low,247.0,0.8071895424836601
26,67,2,high,low,174.0,0.9613259668508287
26,78,2,high,low,151.0,0.8342541436464088
26,94,2,high,low,177.0,0.9779005524861878
26,101,2,high,low,169.0,0.9337016574585635
26,99,2,high,low,175.0,0.9668508287292817
26,107,2,high,low,192.0,0.9230769230769231
26,79,2,high,low,267.0,0.8612903225806452
26,104,2,high,low,266.0,0.9366197183098591
26,77,2,high,low,336.0,0.8637532133676092
26,64,2,high,low,525.0,0.8868243243243243
26,124,2,high,low,239.0,0.8385964912280702
26,128,2,high,low,230.0,0.9465020576131687
26,138,2,high,low,176.0,0.9723756906077348
26,126,2,high,low,280.0,0.877742946708464
26,140,2,high,low,197.0,0.8873873873873874
26,162,2,high,low,245.0,0.928030303030303
26,172,2,high,low,156.0,0.861878453038674
26,164,2,high,low,212.0,0.902127659574468
26,132,2,high,low,378.0,0.9242053789731052
26,180,2,high,low,148.0,0.8176795580110497
26,200,2,high,low,167.0,0.9226519337016574
26,186,2,high,low,219.0,0.9563318777292577
26,183,2,high,low,244.0,0.8714285714285714
26,179,2,high,low,332.0,0.8668407310704961
48,27,2,high,low,176.0,0.88
