exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
1,42,2,high,medium,108.0,0.8120300751879699
1,6,2,high,medium,129.0,0.9699248120300752
1,58,2,high,medium,136.0,0.8774193548387097
1,15,2,high,medium,160.0,0.8839779005524862
1,62,2,high,medium,129.0,0.9416058394160584
1,83,2,high,medium,271.0,0.865814696485623
1,20,2,high,medium,190.0,0.945273631840796
1,66,2,high,medium,126.0,0.9473684210526315
1,73,2,high,medium,271.0,0.8041543026706232
1,84,2,high,medium,209.0,0.8326693227091634
1,14,2,high,medium,145.0,0.9235668789808917
1,50,2,high,medium,296.0,0.9107692307692308
1,53,2,high,medium,161.0,0.930635838150289
1,32,2,high,medium,138.0,0.9857142857142858
1,75,2,high,medium,241.0,0.8607142857142858
1,81,2,high,medium,262.0,0.8478964401294499
1,88,2,high,medium,128.0,0.9624060150375939
1,72,2,high,medium,281.0,0.8593272171253823
1,54,2,high,medium,126.0,0.8689655172413793
1,25,2,high,medium,334.0,0.9226519337016574
1,89,2,high,medium,372.0,0.8899521531100478
1,51,2,high,medium,114.0,0.8571428571428571
1,33,2,high,medium,204.0,0.796875
1,55,2,high,medium,355.0,0.9125964010282777
1,18,2,high,medium,264.0,0.8741721854304636
1,91,2,high,medium,193.0,0.8616071428571429
1,4,2,high,medium,186.0,0.9117647058823529
1,24,2,high,medium,186.0,0.8942307692307693
1,40,2,high,medium,170.0,0.9550561797752809
1,16,2,high,medium,199.0,0.9255813953488372
1,57,2,high,medium,122.0,0.9172932330827067
1,17,2,high,medium,206.0,0.9406392694063926
1,61,2,high,medium,171.0,0.8181818181818182
1,108,2,high,medium,114.0,0.8571428571428571
1,105,2,high,medium,136.0,1.0
1,125,2,high,medium,124.0,0.9323308270676691
1,115,2,high,medium,139.0,0.9652777777777778
1,112,2,high,medium,207.0,0.9324324324324325
1,117,2,high,medium,209.0,0.8600823045267489
1,120,2,high,medium,204.0,0.8908296943231441
1,143,2,high,medium,123.0,0.924812030075188
1,97,2,high,medium,237.0,0.8464285714285714
1,145,2,high,medium,171.0,0.9395604395604396
1,142,2,high,medium,188.0,0.8430493273542601
1,135,2,high,medium,368.0,0.9484536082474226
1,155,2,high,medium,165.0,0.8168316831683168
1,158,2,high,medium,183.0,0.9014778325123153
1,147,2,high,medium,260.0,0.931899641577061
1,169,2,high,medium,130.0,0.8125
1,190,2,high,medium,114.0,0.8571428571428571
1,185,2,high,medium,126.0,0.9473684210526315
1,171,2,high,medium,238.0,0.8439716312056738
1,191,2,high,medium,196.0,0.7935222672064778
1,192,2,high,medium,289.0,0.9383116883116883
1,151,2,high,medium,477.0,0.9389763779527559
1,203,2,high,medium,121.0,0.9097744360902256
1,168,2,high,medium,472.0,0.9516129032258065
1,197,2,high,medium,208.0,0.8221343873517787
1,210,2,high,medium,125.0,0.9057971014492754
1,212,2,high,medium,151.0,0.9320987654320988
1,206,2,high,medium,214.0,0.8014981273408239
1,194,2,high,medium,478.0,0.9390962671905697
1,214,2,high,medium,267.0,0.9368421052631579
1,215,2,high,medium,228.0,0.8837209302325582
1,207,2,high,medium,281.0,0.8541033434650456
26,6,2,high,medium,173.0,0.9558011049723757
1,202,2,high,medium,514.0,0.8831615120274914
26,14,2,high,medium,174.0,0.9613259668508287
26,4,2,high,medium,194.0,0.9509803921568627
26,15,2,high,medium,181.0,1.0
26,16,2,high,medium,201.0,0.9348837209302325
26,17,2,high,medium,210.0,0.958904109589041
26,32,2,high,medium,173.0,0.9558011049723757
26,20,2,high,medium,196.0,0.9751243781094527
26,24,2,high,medium,195.0,0.9375
26,18,2,high,medium,260.0,0.8609271523178808
26,42,2,high,medium,162.0,0.8950276243093923
26,51,2,high,medium,159.0,0.8784530386740331
26,33,2,high,medium,215.0,0.83984375
26,40,2,high,medium,178.0,0.9834254143646409
26,54,2,high,medium,165.0,0.9116022099447514
26,25,2,high,medium,336.0,0.9281767955801105
