exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
13,36,2,low,none,233.0,0.9137254901960784
13,5,2,low,none,229.0,0.8980392156862745
13,38,2,low,none,246.0,0.9647058823529412
13,59,2,low,none,270.0,0.9574468085106383
13,3,2,low,none,243.0,0.9529411764705882
13,12,2,low,none,361.0,0.95
13,93,2,low,none,249.0,0.9764705882352941
13,28,2,low,none,264.0,0.946236559139785
13,96,2,low,none,251.0,0.984313725490196
13,30,2,low,none,241.0,0.9450980392156862
13,106,2,low,none,248.0,0.9725490196078431
13,110,2,low,none,228.0,0.8941176470588236
13,181,2,low,none,223.0,0.8745098039215686
13,189,2,low,none,240.0,0.9411764705882353
13,201,2,low,none,239.0,0.9372549019607843
13,204,2,low,none,246.0,0.9647058823529412
13,163,2,low,none,241.0,0.9450980392156862
13,116,2,low,none,247.0,0.9686274509803922
13,141,2,low,none,247.0,0.9686274509803922
13,216,2,low,none,245.0,0.9607843137254902
21,3,2,low,none,294.0,0.9274447949526814
13,196,2,low,none,385.0,0.9697732997481109
21,30,2,low,none,300.0,0.9463722397476341
21,5,2,low,none,286.0,0.9022082018927445
13,211,2,low,none,269.0,0.9087837837837838
13,154,2,low,none,414.0,0.9627906976744186
21,36,2,low,none,291.0,0.917981072555205
21,93,2,low,none,304.0,0.9589905362776026
21,28,2,low,none,293.0,0.9242902208201893
21,38,2,low,none,289.0,0.9116719242902208
21,110,2,low,none,277.0,0.8738170347003155
21,106,2,low,none,307.0,0.9684542586750788
21,12,2,low,none,359.0,0.9447368421052632
21,59,2,low,none,306.0,0.9652996845425867
21,96,2,low,none,313.0,0.9873817034700315
21,116,2,low,none,312.0,0.9842271293375394
21,181,2,low,none,279.0,0.8801261829652997
21,189,2,low,none,297.0,0.9369085173501577
21,204,2,low,none,308.0,0.9716088328075709
21,141,2,low,none,300.0,0.9463722397476341
21,201,2,low,none,292.0,0.9211356466876972
27,5,2,low,none,171.0,0.9144385026737968
21,163,2,low,none,300.0,0.9463722397476341
27,3,2,low,none,160.0,0.8791208791208791
27,36,2,low,none,82.0,0.8913043478260869
27,30,2,low,none,111.0,0.8222222222222222
21,216,2,low,none,298.0,0.9400630914826499
27,93,2,low,none,62.0,0.8732394366197183
27,28,2,low,none,254.0,0.910394265232975
27,12,2,low,none,342.0,0.9
27,38,2,low,none,203.0,0.9354838709677419
27,59,2,low,none,258.0,0.9148936170212766
27,106,2,low,none,174.0,0.8923076923076924
27,110,2,low,none,129.0,0.8896551724137931
27,96,2,low,none,212.0,0.8617886178861789
