exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
3,87,2,none,high,212.0,0.8945147679324894
5,87,2,none,high,213.0,0.8987341772151899
5,48,2,none,high,191.0,0.955
5,1,2,none,high,168.0,0.8983957219251337
3,80,2,none,high,158.0,0.8681318681318682
12,69,2,none,high,367.0,0.9657894736842105
12,68,2,none,high,350.0,0.9210526315789473
3,69,2,none,high,273.0,0.9612676056338029
12,1,2,none,high,320.0,0.8421052631578947
12,26,2,none,high,340.0,0.8947368421052632
3,48,2,none,high,185.0,0.925
5,69,2,none,high,249.0,0.8767605633802817
3,178,2,none,high,221.0,0.9525862068965517
3,68,2,none,high,205.0,0.9534883720930233
5,178,2,none,high,204.0,0.8793103448275862
12,48,2,none,high,329.0,0.8657894736842106
12,87,2,none,high,345.0,0.9078947368421053
5,68,2,none,high,190.0,0.8837209302325582
3,86,2,none,high,528.0,0.9513513513513514
12,82,2,none,high,323.0,0.85
5,26,2,none,high,181.0,0.9679144385026738
5,80,2,none,high,179.0,0.9572192513368984
5,123,2,none,high,182.0,0.9732620320855615
3,82,2,none,high,224.0,0.896
12,123,2,none,high,342.0,0.9
5,86,2,none,high,502.0,0.9045045045045045
3,26,2,none,high,179.0,0.9835164835164835
12,80,2,none,high,338.0,0.8894736842105263
5,82,2,none,high,234.0,0.936
3,123,2,none,high,172.0,0.9398907103825137
3,1,2,none,high,165.0,0.9065934065934066
28,80,2,none,high,265.0,0.9498207885304659
28,1,2,none,high,255.0,0.9139784946236559
28,26,2,none,high,256.0,0.9175627240143369
28,68,2,none,high,254.0,0.910394265232975
28,48,2,none,high,261.0,0.9354838709677419
28,69,2,none,high,264.0,0.9295774647887324
12,86,2,none,high,525.0,0.9459459459459459
12,178,2,none,high,344.0,0.9052631578947369
28,82,2,none,high,261.0,0.9354838709677419
30,1,2,none,high,117.0,0.8666666666666667
30,26,2,none,high,161.0,0.8895027624309392
30,80,2,none,high,121.0,0.8962962962962963
28,123,2,none,high,253.0,0.9068100358422939
30,48,2,none,high,168.0,0.84
30,68,2,none,high,195.0,0.9069767441860465
28,87,2,none,high,261.0,0.9354838709677419
30,69,2,none,high,270.0,0.9507042253521126
28,178,2,none,high,255.0,0.9139784946236559
36,1,2,none,high,124.0,0.9323308270676691
36,26,2,none,high,174.0,0.9613259668508287
30,123,2,none,high,169.0,0.9234972677595629
30,82,2,none,high,214.0,0.856
30,87,2,none,high,211.0,0.890295358649789
